VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1765;Årjäng;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1765;Årjäng;ANARKISTERNA; ;1628;;;
KF;1765;Årjäng;ANDOPARTIET; ;1602;;;
KF;1765;Årjäng;Arbetarepartiet-Socialdemokraterna;S;2;35.39212386401885;https://www.socialdemokraterna.se/;#EE2020
KF;1765;Årjäng;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1765;Årjäng;Bjornpartiet; ;1629;;;
KF;1765;Årjäng;Centerpartiet;C;4;15.66812521036688;https://www.centerpartiet.se/;#009933
KF;1765;Årjäng;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1765;Årjäng;Det minst dåliga partiet; ;1622;;;
KF;1765;Årjäng;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1765;Årjäng;Drivkraft; ;1621;;;
KF;1765;Årjäng;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1765;Årjäng;Enad Politik; ;1589;;;
KF;1765;Årjäng;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1765;Årjäng;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1765;Årjäng;Enskild person/Riksdagen val; ;1614;;;
KF;1765;Årjäng;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1765;Årjäng;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1765;Årjäng;EUSEC; ;1534;;;
KF;1765;Årjäng;FAMILJENS FRIHET; ;1606;;;
KF;1765;Årjäng;Fattigmans parti; ;1618;;;
KF;1765;Årjäng;Feministiskt initiativ;FI;532;0.05048805116122518;https://feministisktinitiativ.se/;
KF;1765;Årjäng;FN Parti art.27; ;1631;;;
KF;1765;Årjäng;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1765;Årjäng;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1765;Årjäng;Fredspartiet; ;1484;;;
KF;1765;Årjäng;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1765;Årjäng;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1765;Årjäng;Fritt val; ;1479;;;
KF;1765;Årjäng;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1765;Årjäng;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1765;Årjäng;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1765;Årjäng;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1765;Årjäng;Humanistisk demokrati (HD);HD;1480;;;
KF;1765;Årjäng;Invandrarpartiet; ;1624;;;
KF;1765;Årjäng;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1765;Årjäng;Kalle ankapartiet; ;1579;;;
KF;1765;Årjäng;Kapitalism med vänligt ansikte; ;1495;;;
KF;1765;Årjäng;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1765;Årjäng;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1765;Årjäng;Kristdemokraterna;KD;68;19.57253450016829;https://kristdemokraterna.se/;#231977
KF;1765;Årjäng;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1765;Årjäng;KSP; ;1612;;;
KF;1765;Årjäng;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1765;Årjäng;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1765;Årjäng;Liberalerna (tidigare Folkpartiet);L;3;5.334904072702794;https://www.liberalerna.se/;#6BB7EC
KF;1765;Årjäng;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1765;Årjäng;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1765;Årjäng;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1765;Årjäng;Miljöpartiet de gröna;MP;55;2.2046449007068327;https://www.mp.se/;#83CF39
KF;1765;Årjäng;Min röst; ;1437;;;
KF;1765;Årjäng;MITT SVERIGE; ;1591;;;
KF;1765;Årjäng;MoD; ;1568;;https://partietmod.se/;
KF;1765;Årjäng;Moderaterna;M;1;8.885897004375632;https://moderaterna.se/;#1B49DD
KF;1765;Årjäng;Monisterna; ;1502;;;
KF;1765;Årjäng;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1765;Årjäng;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1765;Årjäng;NaturFilosoferna; ;1460;;;
KF;1765;Årjäng;Naturistpartiet; ;1627;;;
KF;1765;Årjäng;Neoteknokraterna; ;1613;;;
KF;1765;Årjäng;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1765;Årjäng;Nu får det fan vara nog; ;1623;;;
KF;1765;Årjäng;Ny Demokrati; ;1596;;;
KF;1765;Årjäng;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1765;Årjäng;Nya Frihetspartiet; ;1443;;;
KF;1765;Årjäng;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1765;Årjäng;OK; ;1478;;;
KF;1765;Årjäng;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1765;Årjäng;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1765;Årjäng;Partiet Frihet; ;1599;;;
KF;1765;Årjäng;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1765;Årjäng;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1765;Årjäng;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1765;Årjäng;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1765;Årjäng;Politiskt Skifte; ;1617;;;
KF;1765;Årjäng;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1765;Årjäng;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1765;Årjäng;Reformpartiet; ;1616;;;
KF;1765;Årjäng;Rikspolitiska partiet; ;1496;;;
KF;1765;Årjäng;SKP;Skp;1586;;https://skp.se;
KF;1765;Årjäng;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1765;Årjäng;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1765;Årjäng;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1765;Årjäng;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1765;Årjäng;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1765;Årjäng;Svensk Jobbdemokrati; ;1603;;;
KF;1765;Årjäng;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1765;Årjäng;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1765;Årjäng;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1765;Årjäng;Sverigedemokraterna;SD;110;10.821272298889264;https://sd.se/;#DDDD00
KF;1765;Årjäng;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
