VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;561;Åtvidaberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;561;Åtvidaberg;ANARKISTERNA; ;1628;;;
KF;561;Åtvidaberg;ANDOPARTIET; ;1602;;;
KF;561;Åtvidaberg;Arbetarepartiet-Socialdemokraterna;S;2;32.441302701338046;https://www.socialdemokraterna.se/;#EE2020
KF;561;Åtvidaberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;561;Åtvidaberg;Bjornpartiet; ;1629;;;
KF;561;Åtvidaberg;Centerpartiet;C;4;11.827821257258268;https://www.centerpartiet.se/;#009933
KF;561;Åtvidaberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;561;Åtvidaberg;Det minst dåliga partiet; ;1622;;;
KF;561;Åtvidaberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;561;Åtvidaberg;Drivkraft; ;1621;;;
KF;561;Åtvidaberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;561;Åtvidaberg;Enad Politik; ;1589;;;
KF;561;Åtvidaberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;561;Åtvidaberg;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;561;Åtvidaberg;Enskild person/Riksdagen val; ;1614;;;
KF;561;Åtvidaberg;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;561;Åtvidaberg;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;561;Åtvidaberg;EUSEC; ;1534;;;
KF;561;Åtvidaberg;FAMILJENS FRIHET; ;1606;;;
KF;561;Åtvidaberg;Fattigmans parti; ;1618;;;
KF;561;Åtvidaberg;Feministiskt initiativ;FI;532;0.2650845746023731;https://feministisktinitiativ.se/;
KF;561;Åtvidaberg;FN Parti art.27; ;1631;;;
KF;561;Åtvidaberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;561;Åtvidaberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;561;Åtvidaberg;Fredspartiet; ;1484;;;
KF;561;Åtvidaberg;Fria Wermland; ;1548;;https://friawermland.se/;
KF;561;Åtvidaberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;561;Åtvidaberg;Fritt val; ;1479;;;
KF;561;Åtvidaberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;561;Åtvidaberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;561;Åtvidaberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;561;Åtvidaberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;561;Åtvidaberg;Humanistisk demokrati (HD);HD;1480;;;
KF;561;Åtvidaberg;Invandrarpartiet; ;1624;;;
KF;561;Åtvidaberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;561;Åtvidaberg;Kalle ankapartiet; ;1579;;;
KF;561;Åtvidaberg;Kapitalism med vänligt ansikte; ;1495;;;
KF;561;Åtvidaberg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
