VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1257;Örkelljunga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1257;Örkelljunga;ANARKISTERNA; ;1628;;
KF;1257;Örkelljunga;ANDOPARTIET; ;1602;;
KF;1257;Örkelljunga;Arbetarepartiet-Socialdemokraterna;S;2;19.98095540390414;https://www.socialdemokraterna.se/
KF;1257;Örkelljunga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1257;Örkelljunga;Bjornpartiet; ;1629;;
KF;1257;Örkelljunga;Centerpartiet;C;4;8.776384700841136;https://www.centerpartiet.se/
KF;1257;Örkelljunga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1257;Örkelljunga;Det minst dåliga partiet; ;1622;;
KF;1257;Örkelljunga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1257;Örkelljunga;Drivkraft; ;1621;;
KF;1257;Örkelljunga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1257;Örkelljunga;Enad Politik; ;1589;;
KF;1257;Örkelljunga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1257;Örkelljunga;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1257;Örkelljunga;Enskild person/Riksdagen val; ;1614;;
KF;1257;Örkelljunga;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1257;Örkelljunga;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1257;Örkelljunga;EUSEC; ;1534;;
KF;1257;Örkelljunga;FAMILJENS FRIHET; ;1606;;
KF;1257;Örkelljunga;Fattigmans parti; ;1618;;
KF;1257;Örkelljunga;Feministiskt initiativ;FI;532;0.23805745119822252;https://feministisktinitiativ.se/
KF;1257;Örkelljunga;FN Parti art.27; ;1631;;
KF;1257;Örkelljunga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1257;Örkelljunga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1257;Örkelljunga;Fredspartiet; ;1484;;
KF;1257;Örkelljunga;Fria Wermland; ;1548;;https://friawermland.se/
KF;1257;Örkelljunga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1257;Örkelljunga;Fritt val; ;1479;;
KF;1257;Örkelljunga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1257;Örkelljunga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1257;Örkelljunga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1257;Örkelljunga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1257;Örkelljunga;Humanistisk demokrati (HD);HD;1480;;
KF;1257;Örkelljunga;Invandrarpartiet; ;1624;;
KF;1257;Örkelljunga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1257;Örkelljunga;Kalle ankapartiet; ;1579;;
KF;1257;Örkelljunga;Kapitalism med vänligt ansikte; ;1495;;
KF;1257;Örkelljunga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1257;Örkelljunga;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1257;Örkelljunga;Kristdemokraterna;KD;68;10.966513251864782;https://kristdemokraterna.se/
KF;1257;Örkelljunga;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1257;Örkelljunga;KSP; ;1612;;
KF;1257;Örkelljunga;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1257;Örkelljunga;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1257;Örkelljunga;Liberalerna (tidigare Folkpartiet);L;3;1.4124742104427868;https://www.liberalerna.se/
KF;1257;Örkelljunga;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1257;Örkelljunga;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1257;Örkelljunga;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1257;Örkelljunga;Miljöpartiet de gröna;MP;55;2.2377400412632915;https://www.mp.se/
KF;1257;Örkelljunga;Min röst; ;1437;;
KF;1257;Örkelljunga;MITT SVERIGE; ;1591;;
KF;1257;Örkelljunga;MoD; ;1568;;https://partietmod.se/
KF;1257;Örkelljunga;Moderaterna;M;1;22.377400412632916;https://moderaterna.se/
KF;1257;Örkelljunga;Monisterna; ;1502;;
KF;1257;Örkelljunga;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1257;Örkelljunga;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1257;Örkelljunga;NaturFilosoferna; ;1460;;
KF;1257;Örkelljunga;Naturistpartiet; ;1627;;
KF;1257;Örkelljunga;Neoteknokraterna; ;1613;;
KF;1257;Örkelljunga;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1257;Örkelljunga;Nordiska motståndsrörelsen;NMR;1273;0.0;https://motståndsrörelsen.se/
KF;1257;Örkelljunga;Nu får det fan vara nog; ;1623;;
KF;1257;Örkelljunga;Ny Demokrati; ;1596;;
KF;1257;Örkelljunga;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1257;Örkelljunga;Nya Frihetspartiet; ;1443;;
KF;1257;Örkelljunga;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1257;Örkelljunga;OK; ;1478;;
KF;1257;Örkelljunga;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1257;Örkelljunga;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1257;Örkelljunga;Partiet Frihet; ;1599;;
KF;1257;Örkelljunga;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1257;Örkelljunga;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1257;Örkelljunga;Pax; ;1491;;https://www.paxpartiet.se/
KF;1257;Örkelljunga;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1257;Örkelljunga;Politiskt Skifte; ;1617;;
KF;1257;Örkelljunga;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1257;Örkelljunga;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1257;Örkelljunga;Reformpartiet; ;1616;;
KF;1257;Örkelljunga;Rikspolitiska partiet; ;1496;;
KF;1257;Örkelljunga;SKP;Skp;1586;;https://skp.se
KF;1257;Örkelljunga;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1257;Örkelljunga;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1257;Örkelljunga;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1257;Örkelljunga;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1257;Örkelljunga;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
