VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;117;Österåker;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;117;Österåker;ANARKISTERNA; ;1628;;;
KF;117;Österåker;ANDOPARTIET; ;1602;;;
KF;117;Österåker;Arbetarepartiet-Socialdemokraterna;S;2;17.446024036586664;https://www.socialdemokraterna.se/;#EE2020
KF;117;Österåker;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;117;Österåker;Bjornpartiet; ;1629;;;
KF;117;Österåker;Centerpartiet;C;4;6.2537667954763;https://www.centerpartiet.se/;#009933
KF;117;Österåker;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;117;Österåker;Det minst dåliga partiet; ;1622;;;
KF;117;Österåker;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;117;Österåker;Drivkraft; ;1621;;;
KF;117;Österåker;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;117;Österåker;Enad Politik; ;1589;;;
KF;117;Österåker;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;117;Österåker;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;117;Österåker;Enskild person/Riksdagen val; ;1614;;;
KF;117;Österåker;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;117;Österåker;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;117;Österåker;EUSEC; ;1534;;;
KF;117;Österåker;FAMILJENS FRIHET; ;1606;;;
KF;117;Österåker;Fattigmans parti; ;1618;;;
KF;117;Österåker;Feministiskt initiativ;FI;532;0.18789662140603397;https://feministisktinitiativ.se/;
KF;117;Österåker;FN Parti art.27; ;1631;;;
KF;117;Österåker;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;117;Österåker;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;117;Österåker;Fredspartiet; ;1484;;;
KF;117;Österåker;Fria Wermland; ;1548;;https://friawermland.se/;
