VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
RF;21;Gävleborg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
RF;21;Gävleborg;ANARKISTERNA; ;1628;;;
RF;21;Gävleborg;ANDOPARTIET; ;1602;;;
RF;21;Gävleborg;Arbetarepartiet-Socialdemokraterna;S;2;31.62767320070691;https://www.socialdemokraterna.se/;#EE2020
RF;21;Gävleborg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
RF;21;Gävleborg;Bjornpartiet; ;1629;;;
RF;21;Gävleborg;Centerpartiet;C;4;9.807005312623291;https://www.centerpartiet.se/;#009933
RF;21;Gävleborg;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/;
RF;21;Gävleborg;Det minst dåliga partiet; ;1622;;;
RF;21;Gävleborg;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/;
RF;21;Gävleborg;Drivkraft; ;1621;;;
RF;21;Gävleborg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
RF;21;Gävleborg;Enad Politik; ;1589;;;
RF;21;Gävleborg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
RF;21;Gävleborg;Enhet;ENH;189;0.0;https://www.enhet.se/;
RF;21;Gävleborg;Enskild person/Riksdagen val; ;1614;;;
RF;21;Gävleborg;Eropean radical reflektion a european dream party ERR; ;1626;;;
RF;21;Gävleborg;Europeiska Arbetarpartiet-EAP;EAP;29;;;
RF;21;Gävleborg;EUSEC; ;1534;;;
RF;21;Gävleborg;FAMILJENS FRIHET; ;1606;;;
RF;21;Gävleborg;Fattigmans parti; ;1618;;;
RF;21;Gävleborg;Feministiskt initiativ;FI;532;0.28319578881376634;https://feministisktinitiativ.se/;
RF;21;Gävleborg;FN Parti art.27; ;1631;;;
RF;21;Gävleborg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
RF;21;Gävleborg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
RF;21;Gävleborg;Fredspartiet; ;1484;;;
RF;21;Gävleborg;Fria Wermland; ;1548;;https://friawermland.se/;
RF;21;Gävleborg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
RF;21;Gävleborg;Fritt val; ;1479;;;
RF;21;Gävleborg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
RF;21;Gävleborg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
RF;21;Gävleborg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
RF;21;Gävleborg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
RF;21;Gävleborg;Gävleborgspartiet; ;1558;;;
RF;21;Gävleborg;Humanistisk demokrati (HD);HD;1480;;;
RF;21;Gävleborg;Invandrarpartiet; ;1624;;;
RF;21;Gävleborg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
RF;21;Gävleborg;Kalle ankapartiet; ;1579;;;
RF;21;Gävleborg;Kapitalism med vänligt ansikte; ;1495;;;
RF;21;Gävleborg;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/;
RF;21;Gävleborg;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
RF;21;Gävleborg;Kristdemokraterna;KD;68;5.060773600099442;https://kristdemokraterna.se/;#231977
RF;21;Gävleborg;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
RF;21;Gävleborg;KSP; ;1612;;;
RF;21;Gävleborg;Kärlek; ;1465;;http://www.karlekspartiet.se/;
RF;21;Gävleborg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
RF;21;Gävleborg;Liberalerna (tidigare Folkpartiet);L;3;4.561397819824786;https://www.liberalerna.se/;#6BB7EC
RF;21;Gävleborg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
RF;21;Gävleborg;Medborgarresan; ;1330;;https://citizenwell.se/;
RF;21;Gävleborg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
RF;21;Gävleborg;Miljöpartiet de gröna;MP;55;3.0913738778907316;https://www.mp.se/;#83CF39
RF;21;Gävleborg;Min röst; ;1437;;;
RF;21;Gävleborg;MITT SVERIGE; ;1591;;;
RF;21;Gävleborg;MoD; ;1568;;https://partietmod.se/;
RF;21;Gävleborg;Moderaterna;M;1;14.892639611740735;https://moderaterna.se/;#1B49DD
RF;21;Gävleborg;Monisterna; ;1502;;;
RF;21;Gävleborg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
RF;21;Gävleborg;Nationalsocialistiska reformistiska Partiet; ;1595;;;
RF;21;Gävleborg;NaturFilosoferna; ;1460;;;
RF;21;Gävleborg;Naturistpartiet; ;1627;;;
RF;21;Gävleborg;Neoteknokraterna; ;1613;;;
RF;21;Gävleborg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
RF;21;Gävleborg;Nu får det fan vara nog; ;1623;;;
RF;21;Gävleborg;Ny Demokrati; ;1596;;;
RF;21;Gävleborg;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
