VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
RF;23;Jämtland;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
RF;23;Jämtland;ANARKISTERNA; ;1628;;
RF;23;Jämtland;ANDOPARTIET; ;1602;;
RF;23;Jämtland;Arbetarepartiet-Socialdemokraterna;S;2;31.395835075687884;https://www.socialdemokraterna.se/
RF;23;Jämtland;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
RF;23;Jämtland;Bjornpartiet; ;1629;;
RF;23;Jämtland;Centerpartiet;C;4;20.41601452825004;https://www.centerpartiet.se/
RF;23;Jämtland;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/
RF;23;Jämtland;Det minst dåliga partiet; ;1622;;
RF;23;Jämtland;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/
RF;23;Jämtland;Drivkraft; ;1621;;
RF;23;Jämtland;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
RF;23;Jämtland;Enad Politik; ;1589;;
RF;23;Jämtland;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
RF;23;Jämtland;Enhet;ENH;189;0.0;https://www.enhet.se/
RF;23;Jämtland;Enskild person/Riksdagen val; ;1614;;
RF;23;Jämtland;Eropean radical reflektion a european dream party ERR; ;1626;;
RF;23;Jämtland;Europeiska Arbetarpartiet-EAP;EAP;29;;
RF;23;Jämtland;EUSEC; ;1534;;
RF;23;Jämtland;FAMILJENS FRIHET; ;1606;;
RF;23;Jämtland;Fattigmans parti; ;1618;;
RF;23;Jämtland;Feministiskt initiativ;FI;532;0.2962998363182356;https://feministisktinitiativ.se/
RF;23;Jämtland;FN Parti art.27; ;1631;;
RF;23;Jämtland;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
RF;23;Jämtland;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
RF;23;Jämtland;Fredspartiet; ;1484;;
RF;23;Jämtland;Fria Wermland; ;1548;;https://friawermland.se/
RF;23;Jämtland;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
RF;23;Jämtland;Fritt val; ;1479;;
RF;23;Jämtland;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
RF;23;Jämtland;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
RF;23;Jämtland;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
RF;23;Jämtland;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
RF;23;Jämtland;Humanistisk demokrati (HD);HD;1480;;
RF;23;Jämtland;Invandrarpartiet; ;1624;;
RF;23;Jämtland;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
RF;23;Jämtland;Kalle ankapartiet; ;1579;;
RF;23;Jämtland;Kapitalism med vänligt ansikte; ;1495;;
RF;23;Jämtland;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/
RF;23;Jämtland;Knapptryckarna; ;1505;;https://knapptryckarna.se/
RF;23;Jämtland;Kristdemokraterna;KD;68;7.344173765516912;https://kristdemokraterna.se/
RF;23;Jämtland;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
RF;23;Jämtland;KSP; ;1612;;
RF;23;Jämtland;Kärlek; ;1465;;http://www.karlekspartiet.se/
RF;23;Jämtland;Landsbygdspartiet Oberoende;LPo;1011;0.6941540520197375;https://landsbygdspartiet.org/
RF;23;Jämtland;Liberalerna (tidigare Folkpartiet);L;3;3.4731597749077054;https://www.liberalerna.se/
RF;23;Jämtland;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
RF;23;Jämtland;Medborgarresan; ;1330;;https://citizenwell.se/
RF;23;Jämtland;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
RF;23;Jämtland;Miljöpartiet de gröna;MP;55;3.4576279286490883;https://www.mp.se/
RF;23;Jämtland;Min röst; ;1437;;
RF;23;Jämtland;MITT SVERIGE; ;1591;;
RF;23;Jämtland;MoD; ;1568;;https://partietmod.se/
RF;23;Jämtland;Moderaterna;M;1;15.0563328116226;https://moderaterna.se/
RF;23;Jämtland;Monisterna; ;1502;;
RF;23;Jämtland;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
RF;23;Jämtland;Nationalsocialistiska reformistiska Partiet; ;1595;;
RF;23;Jämtland;NaturFilosoferna; ;1460;;
RF;23;Jämtland;Naturistpartiet; ;1627;;
RF;23;Jämtland;Neoteknokraterna; ;1613;;
RF;23;Jämtland;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
RF;23;Jämtland;Nu får det fan vara nog; ;1623;;
RF;23;Jämtland;Ny Demokrati; ;1596;;
RF;23;Jämtland;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
RF;23;Jämtland;Nya Frihetspartiet; ;1443;;
RF;23;Jämtland;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
RF;23;Jämtland;OK; ;1478;;
RF;23;Jämtland;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
RF;23;Jämtland;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
RF;23;Jämtland;Partiet Frihet; ;1599;;
RF;23;Jämtland;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
RF;23;Jämtland;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
RF;23;Jämtland;Pax; ;1491;;https://www.paxpartiet.se/
RF;23;Jämtland;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
RF;23;Jämtland;Politiskt Skifte; ;1617;;
RF;23;Jämtland;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
RF;23;Jämtland;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
RF;23;Jämtland;Reformpartiet; ;1616;;
RF;23;Jämtland;Rikspolitiska partiet; ;1496;;
RF;23;Jämtland;SKP;Skp;1586;;https://skp.se
RF;23;Jämtland;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
RF;23;Jämtland;Socialisterna-Välfärdspartiet;S-V;977;;https://www.valfardspartiet.org/
RF;23;Jämtland;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
RF;23;Jämtland;Stora Norrlands oberoende Frihetsparti; ;1559;;
