VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
RF;6;Jönköping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
RF;6;Jönköping;ANARKISTERNA; ;1628;;;
RF;6;Jönköping;ANDOPARTIET; ;1602;;;
RF;6;Jönköping;Arbetarepartiet-Socialdemokraterna;S;2;26.446187116363397;https://www.socialdemokraterna.se/;#EE2020
RF;6;Jönköping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
RF;6;Jönköping;Bevara akutsjukhusen;BA;1355;8.893160619498024;https://bevaraakutsjukhusen.se/;
RF;6;Jönköping;Bjornpartiet; ;1629;;;
RF;6;Jönköping;Centerpartiet;C;4;9.471591777889426;https://www.centerpartiet.se/;#009933
RF;6;Jönköping;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/;
RF;6;Jönköping;Det minst dåliga partiet; ;1622;;;
RF;6;Jönköping;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/;
RF;6;Jönköping;Drivkraft; ;1621;;;
RF;6;Jönköping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
RF;6;Jönköping;Enad Politik; ;1589;;;
RF;6;Jönköping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
RF;6;Jönköping;Enhet;ENH;189;0.0;https://www.enhet.se/;
RF;6;Jönköping;Enskild person/Riksdagen val; ;1614;;;
RF;6;Jönköping;Eropean radical reflektion a european dream party ERR; ;1626;;;
RF;6;Jönköping;Europeiska Arbetarpartiet-EAP;EAP;29;;;
RF;6;Jönköping;EUSEC; ;1534;;;
RF;6;Jönköping;FAMILJENS FRIHET; ;1606;;;
RF;6;Jönköping;Fattigmans parti; ;1618;;;
RF;6;Jönköping;Feministiskt initiativ;FI;532;0.1529085388496909;https://feministisktinitiativ.se/;
RF;6;Jönköping;FN Parti art.27; ;1631;;;
RF;6;Jönköping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
RF;6;Jönköping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
RF;6;Jönköping;Fredspartiet; ;1484;;;
RF;6;Jönköping;Fria Wermland; ;1548;;https://friawermland.se/;
RF;6;Jönköping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
RF;6;Jönköping;Fritt val; ;1479;;;
RF;6;Jönköping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
RF;6;Jönköping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
RF;6;Jönköping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
RF;6;Jönköping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
RF;6;Jönköping;Humanistisk demokrati (HD);HD;1480;;;
RF;6;Jönköping;Invandrarpartiet; ;1624;;;
RF;6;Jönköping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
RF;6;Jönköping;Kalle ankapartiet; ;1579;;;
RF;6;Jönköping;Kapitalism med vänligt ansikte; ;1495;;;
RF;6;Jönköping;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/;
RF;6;Jönköping;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
RF;6;Jönköping;Kristdemokraterna;KD;68;12.674807226020665;https://kristdemokraterna.se/;#231977
RF;6;Jönköping;Kristna Värdepartiet;KrVP;1551;0.1913541143318989;https://www.kristnavardepartiet.se/;
RF;6;Jönköping;KSP; ;1612;;;
RF;6;Jönköping;Kärlek; ;1465;;http://www.karlekspartiet.se/;
RF;6;Jönköping;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
RF;6;Jönköping;Liberalerna (tidigare Folkpartiet);L;3;3.8930513991131304;https://www.liberalerna.se/;#6BB7EC
RF;6;Jönköping;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
RF;6;Jönköping;Medborgarresan; ;1330;;https://citizenwell.se/;
RF;6;Jönköping;Medborgerlig Samling;MED;1296;0.1712575635116538;https://www.medborgerligsamling.se/;
RF;6;Jönköping;Miljöpartiet de gröna;MP;55;3.2901548745057774;https://www.mp.se/;#83CF39
RF;6;Jönköping;Min röst; ;1437;;;
RF;6;Jönköping;MITT SVERIGE; ;1591;;;
RF;6;Jönköping;MoD; ;1568;;https://partietmod.se/;
RF;6;Jönköping;Moderaterna;M;1;15.471285960811725;https://moderaterna.se/;#1B49DD
RF;6;Jönköping;Monisterna; ;1502;;;
