VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
RF;14;Västra Götaland;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
RF;14;Västra Götaland;ANARKISTERNA; ;1628;;;
RF;14;Västra Götaland;ANDOPARTIET; ;1602;;;
RF;14;Västra Götaland;Arbetarepartiet-Socialdemokraterna;S;2;26.94606067953752;https://www.socialdemokraterna.se/;#EE2020
RF;14;Västra Götaland;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
RF;14;Västra Götaland;Bjornpartiet; ;1629;;;
RF;14;Västra Götaland;BOHUSLÄNPARTIET; ;1506;;https://www.bohuslanpartiet.se/;
RF;14;Västra Götaland;Centerpartiet;C;4;7.6210818959972375;https://www.centerpartiet.se/;#009933
RF;14;Västra Götaland;Common sense in Sweden;CSIS;1318;;https://common-sene-in-sweden.webnode.se/;
RF;14;Västra Götaland;Demokraterna;DEM;1297;3.4393338818301036;https://demokraterna.se/;
RF;14;Västra Götaland;Det minst dåliga partiet; ;1622;;;
RF;14;Västra Götaland;Direktdemokraterna;DD;1150;;https://direktdemokraterna.se/en/;
RF;14;Västra Götaland;Drivkraft; ;1621;;;
RF;14;Västra Götaland;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
RF;14;Västra Götaland;Enad Politik; ;1589;;;
RF;14;Västra Götaland;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
RF;14;Västra Götaland;Enhet;ENH;189;0.0;https://www.enhet.se/;
RF;14;Västra Götaland;Enskild person/Riksdagen val; ;1614;;;
RF;14;Västra Götaland;Eropean radical reflektion a european dream party ERR; ;1626;;;
RF;14;Västra Götaland;Europeiska Arbetarpartiet-EAP;EAP;29;;;
RF;14;Västra Götaland;EUSEC; ;1534;;;
RF;14;Västra Götaland;FAMILJENS FRIHET; ;1606;;;
RF;14;Västra Götaland;Fattigmans parti; ;1618;;;
RF;14;Västra Götaland;Feministiskt initiativ;FI;532;0.8009965489126158;https://feministisktinitiativ.se/;
RF;14;Västra Götaland;FN Parti art.27; ;1631;;;
RF;14;Västra Götaland;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
RF;14;Västra Götaland;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
RF;14;Västra Götaland;Fredspartiet; ;1484;;;
RF;14;Västra Götaland;Fria Wermland; ;1548;;https://friawermland.se/;
RF;14;Västra Götaland;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
RF;14;Västra Götaland;Fritt val; ;1479;;;
RF;14;Västra Götaland;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
RF;14;Västra Götaland;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
RF;14;Västra Götaland;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
RF;14;Västra Götaland;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
RF;14;Västra Götaland;Humanistisk demokrati (HD);HD;1480;;;
RF;14;Västra Götaland;Invandrarpartiet; ;1624;;;
RF;14;Västra Götaland;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
RF;14;Västra Götaland;Kalle ankapartiet; ;1579;;;
RF;14;Västra Götaland;Kapitalism med vänligt ansikte; ;1495;;;
RF;14;Västra Götaland;Klassiskt liberala partiet;KLP;638;;https://www.liberalapartiet.se/;
RF;14;Västra Götaland;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
RF;14;Västra Götaland;Kristdemokraterna;KD;68;7.552411827910219;https://kristdemokraterna.se/;#231977
RF;14;Västra Götaland;Kristna Värdepartiet;KrVP;1551;0.08616150052428023;https://www.kristnavardepartiet.se/;
RF;14;Västra Götaland;KSP; ;1612;;;
RF;14;Västra Götaland;Kärlek; ;1465;;http://www.karlekspartiet.se/;
RF;14;Västra Götaland;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
RF;14;Västra Götaland;Liberalerna (tidigare Folkpartiet);L;3;6.879223047229644;https://www.liberalerna.se/;#6BB7EC
RF;14;Västra Götaland;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
RF;14;Västra Götaland;Medborgarresan; ;1330;;https://citizenwell.se/;
RF;14;Västra Götaland;Medborgerlig Samling;MED;1296;0.23118305940886363;https://www.medborgerligsamling.se/;
RF;14;Västra Götaland;Miljöpartiet de gröna;MP;55;4.631250063626243;https://www.mp.se/;#83CF39
RF;14;Västra Götaland;Min röst; ;1437;;;
RF;14;Västra Götaland;MITT SVERIGE; ;1591;;;
RF;14;Västra Götaland;MoD; ;1568;;https://partietmod.se/;
RF;14;Västra Götaland;Moderaterna;M;1;18.553597358330965;https://moderaterna.se/;#1B49DD
RF;14;Västra Götaland;Monisterna; ;1502;;;
RF;14;Västra Götaland;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
RF;14;Västra Götaland;Nationalsocialistiska reformistiska Partiet; ;1595;;;
