VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2506;Arjeplog;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2506;Arjeplog;ANDOPARTIET; ;1602;;
KF;2506;Arjeplog;Arbetarepartiet-Socialdemokraterna;S;2;39.63210702341137;https://www.socialdemokraterna.se/
KF;2506;Arjeplog;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2506;Arjeplog;Centerpartiet;C;4;18.78483835005574;https://www.centerpartiet.se/
KF;2506;Arjeplog;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2506;Arjeplog;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2506;Arjeplog;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2506;Arjeplog;Enad Politik; ;1589;;
KF;2506;Arjeplog;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2506;Arjeplog;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2506;Arjeplog;EUSEC; ;1534;;
KF;2506;Arjeplog;Feministiskt initiativ;FI;532;0.055741360089186176;https://feministisktinitiativ.se/
KF;2506;Arjeplog;Folkinitiativet Arjeplog; ;1514;;https://www.facebook.com/Folkinitiativet-Arjeplog-101831949208183/
KF;2506;Arjeplog;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2506;Arjeplog;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2506;Arjeplog;Fredspartiet; ;1484;;
KF;2506;Arjeplog;Fria Wermland; ;1548;;https://friawermland.se/
KF;2506;Arjeplog;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2506;Arjeplog;Fritt val; ;1479;;
KF;2506;Arjeplog;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2506;Arjeplog;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2506;Arjeplog;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2506;Arjeplog;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2506;Arjeplog;Humanistisk demokrati (HD);HD;1480;;
KF;2506;Arjeplog;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2506;Arjeplog;Kalle ankapartiet; ;1579;;
KF;2506;Arjeplog;Kapitalism med vänligt ansikte; ;1495;;
KF;2506;Arjeplog;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2506;Arjeplog;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2506;Arjeplog;Kristdemokraterna;KD;68;0.7803790412486065;https://kristdemokraterna.se/
KF;2506;Arjeplog;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2506;Arjeplog;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2506;Arjeplog;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2506;Arjeplog;Liberalerna (tidigare Folkpartiet);L;3;9.92196209587514;https://www.liberalerna.se/
KF;2506;Arjeplog;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2506;Arjeplog;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2506;Arjeplog;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2506;Arjeplog;Miljöpartiet de gröna;MP;55;0.5016722408026756;https://www.mp.se/
KF;2506;Arjeplog;Min röst; ;1437;;
KF;2506;Arjeplog;MITT SVERIGE; ;1591;;
KF;2506;Arjeplog;Moderaterna;M;1;0.6131549609810479;https://moderaterna.se/
KF;2506;Arjeplog;Monisterna; ;1502;;
KF;2506;Arjeplog;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2506;Arjeplog;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2506;Arjeplog;NaturFilosoferna; ;1460;;
KF;2506;Arjeplog;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2506;Arjeplog;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2506;Arjeplog;Nya Frihetspartiet; ;1443;;
KF;2506;Arjeplog;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2506;Arjeplog;OK; ;1478;;
KF;2506;Arjeplog;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2506;Arjeplog;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2506;Arjeplog;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2506;Arjeplog;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2506;Arjeplog;Pax; ;1491;;https://www.paxpartiet.se/
KF;2506;Arjeplog;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2506;Arjeplog;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2506;Arjeplog;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2506;Arjeplog;Rikspolitiska partiet; ;1496;;
KF;2506;Arjeplog;SKP; ;1586;;https://skp.se
KF;2506;Arjeplog;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2506;Arjeplog;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2506;Arjeplog;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2506;Arjeplog;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2506;Arjeplog;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2506;Arjeplog;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2506;Arjeplog;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2506;Arjeplog;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2506;Arjeplog;Sverigedemokraterna;SD;110;2.564102564102564;https://sd.se/
KF;2506;Arjeplog;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2506;Arjeplog;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2506;Arjeplog;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2506;Arjeplog;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2506;Arjeplog;Valsamverkanspartiet; ;1526;;
KF;2506;Arjeplog;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2506;Arjeplog;Vänsterpartiet;V;5;27.09030100334448;https://www.vansterpartiet.se/
KF;2506;Arjeplog;Yggdrasil; ;1454;;
KF;2506;Arjeplog;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
