VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2505;Arvidsjaur;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2505;Arvidsjaur;ANARKISTERNA; ;1628;;
KF;2505;Arvidsjaur;ANDOPARTIET; ;1602;;
KF;2505;Arvidsjaur;Arbetarepartiet-Socialdemokraterna;S;2;36.68269230769231;https://www.socialdemokraterna.se/
KF;2505;Arvidsjaur;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2505;Arvidsjaur;Bjornpartiet; ;1629;;
KF;2505;Arvidsjaur;Centerpartiet;C;4;34.32692307692308;https://www.centerpartiet.se/
KF;2505;Arvidsjaur;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2505;Arvidsjaur;Det minst dåliga partiet; ;1622;;
KF;2505;Arvidsjaur;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2505;Arvidsjaur;Drivkraft; ;1621;;
KF;2505;Arvidsjaur;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2505;Arvidsjaur;Enad Politik; ;1589;;
KF;2505;Arvidsjaur;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2505;Arvidsjaur;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2505;Arvidsjaur;Enskild person/Riksdagen val; ;1614;;
KF;2505;Arvidsjaur;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2505;Arvidsjaur;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2505;Arvidsjaur;EUSEC; ;1534;;
KF;2505;Arvidsjaur;FAMILJENS FRIHET; ;1606;;
KF;2505;Arvidsjaur;Fattigmans parti; ;1618;;
KF;2505;Arvidsjaur;Feministiskt initiativ;FI;532;0.07211538461538462;https://feministisktinitiativ.se/
KF;2505;Arvidsjaur;FN Parti art.27; ;1631;;
KF;2505;Arvidsjaur;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2505;Arvidsjaur;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2505;Arvidsjaur;Fredspartiet; ;1484;;
KF;2505;Arvidsjaur;Fria Wermland; ;1548;;https://friawermland.se/
KF;2505;Arvidsjaur;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2505;Arvidsjaur;Fritt val; ;1479;;
KF;2505;Arvidsjaur;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2505;Arvidsjaur;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2505;Arvidsjaur;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2505;Arvidsjaur;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2505;Arvidsjaur;Humanistisk demokrati (HD);HD;1480;;
KF;2505;Arvidsjaur;Invandrarpartiet; ;1624;;
KF;2505;Arvidsjaur;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2505;Arvidsjaur;Kalle ankapartiet; ;1579;;
KF;2505;Arvidsjaur;Kapitalism med vänligt ansikte; ;1495;;
