VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1784;Arvika;Alternativ för Sverige;AfS;1325;
KF;1784;Arvika;ANDOPARTIET; ;1602;
KF;1784;Arvika;Arbetarepartiet-Socialdemokraterna;S;2;39.18197288891497
KF;1784;Arvika;Arvikapartiet;ArvP;1521;
KF;1784;Arvika;Basinkomstpartiet; ;1525;
KF;1784;Arvika;Centerpartiet;C;4;12.464057273634177
KF;1784;Arvika;Common sense in Sweden;CSIS;1318;0.0
KF;1784;Arvika;Direktdemokraterna;DD;1150;0.0
KF;1784;Arvika;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1784;Arvika;Enad Politik; ;1589;
KF;1784;Arvika;Enade Sverige; ;1448;
KF;1784;Arvika;Enhet;ENH;189;0.0
KF;1784;Arvika;EUSEC; ;1534;
KF;1784;Arvika;Feministiskt initiativ;FI;532;1.8719558711343232
KF;1784;Arvika;FOLKOMROSTA2021.SE; ;1489;
KF;1784;Arvika;FramtidsTro;FT;1449;
KF;1784;Arvika;Fredspartiet; ;1484;
KF;1784;Arvika;Fria Wermland; ;1548;
KF;1784;Arvika;Frihetsrörelsen; ;1573;
KF;1784;Arvika;Fritt val; ;1479;
KF;1784;Arvika;Förenade Demokratiska Partiet; ;1577;
KF;1784;Arvika;Företaget Sverige; ;1510;
KF;1784;Arvika;GRÖNA DEMOKRATER; ;1601;
KF;1784;Arvika;Gula västarna; ;1436;
KF;1784;Arvika;Humanistisk demokrati (HD);HD;1480;
KF;1784;Arvika;John Mikkonen; ;1598;
KF;1784;Arvika;Kalle ankapartiet; ;1579;
KF;1784;Arvika;Kapitalism med vänligt ansikte; ;1495;
KF;1784;Arvika;Klassiskt liberala partiet;KLP;638;0.0
KF;1784;Arvika;Knapptryckarna; ;1505;
KF;1784;Arvika;Kristdemokraterna;KD;68;2.8402089079279382
KF;1784;Arvika;Kristna Värdepartiet; ;1551;
KF;1784;Arvika;Kärlek; ;1465;
KF;1784;Arvika;Landsbygdspartiet Oberoende;LPo;1011;0.005868200222991608
KF;1784;Arvika;Liberalerna (tidigare Folkpartiet);L;3;3.368346927997183
KF;1784;Arvika;Majspartiet; ;1471;
KF;1784;Arvika;Medborgarresan; ;1330;
KF;1784;Arvika;Medborgerlig Samling;MED;1296;0.0
KF;1784;Arvika;Miljöpartiet de gröna;MP;55;3.045595915732645
KF;1784;Arvika;Min röst; ;1437;
KF;1784;Arvika;MITT SVERIGE; ;1591;
KF;1784;Arvika;Moderaterna;M;1;18.361598497740744
KF;1784;Arvika;Monisterna; ;1502;
KF;1784;Arvika;Mälaröarnas parti; ;1440;
KF;1784;Arvika;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1784;Arvika;NaturFilosoferna; ;1460;
KF;1784;Arvika;Nix to the Six; ;1519;
KF;1784;Arvika;NY REFORM; ;1528;
KF;1784;Arvika;Nya Frihetspartiet; ;1443;
KF;1784;Arvika;Nya Samhällspartiet; ;1438;
KF;1784;Arvika;OK; ;1478;
KF;1784;Arvika;Ond Kyckling Partiet; ;1472;
KF;1784;Arvika;Partiet Folkomröstning; ;1578;
KF;1784;Arvika;Partiet Nyans; ;1439;
KF;1784;Arvika;Partiet Vändpunkt;PV;1430;
KF;1784;Arvika;Pax; ;1491;
KF;1784;Arvika;Piratpartiet;PP;524;0.0
KF;1784;Arvika;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1784;Arvika;Rastliberalerna; ;1508;
KF;1784;Arvika;Rikspolitiska partiet; ;1496;
KF;1784;Arvika;SKP; ;1586;
KF;1784;Arvika;SKÅNEPARTIET;SKÅ;54;0.0
KF;1784;Arvika;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1784;Arvika;Sociallibertarianerna; ;1507;
KF;1784;Arvika;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1784;Arvika;Stram Kurs Sverige; ;1592;
KF;1784;Arvika;Svenska Rikslagen; ;1513;
KF;1784;Arvika;SVENSKARNA; ;1444;
KF;1784;Arvika;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1784;Arvika;Sverigedemokraterna;SD;110;11.953523854233907
KF;1784;Arvika;Sverigepartiet; ;1457;
KF;1784;Arvika;Swexitpartiet; ;1461;
KF;1784;Arvika;Säkerhetspartiet; ;1466;
KF;1784;Arvika;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1784;Arvika;Valsamverkanspartiet; ;1526;
KF;1784;Arvika;Vinningspartiet; ;1468;
KF;1784;Arvika;Vänsterpartiet;V;5;6.75429845666334
KF;1784;Arvika;Yggdrasil; ;1454;
KF;1784;Arvika;Ändrings partiet revolution; ;1404;
