VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1882;Askersund;Alternativ för Sverige;AfS;1325;
KF;1882;Askersund;ANDOPARTIET; ;1602;
KF;1882;Askersund;Arbetarepartiet-Socialdemokraterna;S;2;32.81568228105906
KF;1882;Askersund;Basinkomstpartiet; ;1525;
KF;1882;Askersund;Centerpartiet;C;4;9.228615071283096
KF;1882;Askersund;Common sense in Sweden;CSIS;1318;0.0
KF;1882;Askersund;Direktdemokraterna;DD;1150;0.0
KF;1882;Askersund;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1882;Askersund;Enad Politik; ;1589;
KF;1882;Askersund;Enade Sverige; ;1448;
KF;1882;Askersund;Enhet;ENH;189;0.0
KF;1882;Askersund;EUSEC; ;1534;
KF;1882;Askersund;Feministiskt initiativ;FI;532;0.12729124236252545
KF;1882;Askersund;FOLKOMROSTA2021.SE; ;1489;
KF;1882;Askersund;FramtidsTro;FT;1449;
KF;1882;Askersund;Fredspartiet; ;1484;
KF;1882;Askersund;Fria Wermland; ;1548;
KF;1882;Askersund;Frihetsrörelsen; ;1573;
KF;1882;Askersund;Fritt val; ;1479;
KF;1882;Askersund;Förenade Demokratiska Partiet; ;1577;
KF;1882;Askersund;Företaget Sverige; ;1510;
KF;1882;Askersund;GRÖNA DEMOKRATER; ;1601;
KF;1882;Askersund;Gula västarna; ;1436;
KF;1882;Askersund;Humanistisk demokrati (HD);HD;1480;
KF;1882;Askersund;John Mikkonen; ;1598;
KF;1882;Askersund;Kalle ankapartiet; ;1579;
KF;1882;Askersund;Kapitalism med vänligt ansikte; ;1495;
KF;1882;Askersund;Klassiskt liberala partiet;KLP;638;0.0
KF;1882;Askersund;Knapptryckarna; ;1505;
KF;1882;Askersund;Kristdemokraterna;KD;68;6.0336048879837065
KF;1882;Askersund;Kristna Värdepartiet; ;1551;
KF;1882;Askersund;Kärlek; ;1465;
KF;1882;Askersund;Landsbygdspartiet Oberoende;LPo;1011;2.303971486761711
KF;1882;Askersund;Liberalerna (tidigare Folkpartiet);L;3;2.4694501018329937
KF;1882;Askersund;Majspartiet; ;1471;
KF;1882;Askersund;Medborgarresan; ;1330;
KF;1882;Askersund;Medborgerlig Samling;MED;1296;0.0
KF;1882;Askersund;Miljöpartiet de gröna;MP;55;2.3167006109979633
KF;1882;Askersund;Min röst; ;1437;
KF;1882;Askersund;MITT SVERIGE; ;1591;
KF;1882;Askersund;Moderaterna;M;1;23.943482688391036
KF;1882;Askersund;Monisterna; ;1502;
KF;1882;Askersund;Mälaröarnas parti; ;1440;
KF;1882;Askersund;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1882;Askersund;NaturFilosoferna; ;1460;
KF;1882;Askersund;Nix to the Six; ;1519;
KF;1882;Askersund;NY REFORM; ;1528;
KF;1882;Askersund;Nya Frihetspartiet; ;1443;
KF;1882;Askersund;Nya Samhällspartiet; ;1438;
KF;1882;Askersund;OK; ;1478;
KF;1882;Askersund;Ond Kyckling Partiet; ;1472;
KF;1882;Askersund;Partiet Folkomröstning; ;1578;
KF;1882;Askersund;Partiet Nyans; ;1439;
KF;1882;Askersund;Partiet Vändpunkt;PV;1430;
KF;1882;Askersund;Pax; ;1491;
KF;1882;Askersund;Piratpartiet;PP;524;0.0
KF;1882;Askersund;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1882;Askersund;Rastliberalerna; ;1508;
KF;1882;Askersund;Rikspolitiska partiet; ;1496;
KF;1882;Askersund;SKP; ;1586;
KF;1882;Askersund;SKÅNEPARTIET;SKÅ;54;0.0
KF;1882;Askersund;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1882;Askersund;Sociallibertarianerna; ;1507;
KF;1882;Askersund;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1882;Askersund;Stram Kurs Sverige; ;1592;
KF;1882;Askersund;Svenska Rikslagen; ;1513;
KF;1882;Askersund;SVENSKARNA; ;1444;
KF;1882;Askersund;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1882;Askersund;Sverigedemokraterna;SD;110;14.180244399185336
KF;1882;Askersund;Sverigepartiet; ;1457;
KF;1882;Askersund;Swexitpartiet; ;1461;
KF;1882;Askersund;Säkerhetspartiet; ;1466;
KF;1882;Askersund;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1882;Askersund;Valsamverkanspartiet; ;1526;
KF;1882;Askersund;Vinningspartiet; ;1468;
KF;1882;Askersund;Vänsterpartiet;V;5;6.555498981670062
KF;1882;Askersund;Yggdrasil; ;1454;
KF;1882;Askersund;Ändrings partiet revolution; ;1404;
