VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2084;Avesta;Alternativ för Sverige;AfS;1325;
KF;2084;Avesta;ANDOPARTIET; ;1602;
KF;2084;Avesta;Arbetarepartiet-Socialdemokraterna;S;2;46.4778358109013
KF;2084;Avesta;Basinkomstpartiet; ;1525;
KF;2084;Avesta;Centerpartiet;C;4;6.716218025980983
KF;2084;Avesta;Common sense in Sweden;CSIS;1318;0.0
KF;2084;Avesta;Direktdemokraterna;DD;1150;0.0
KF;2084;Avesta;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2084;Avesta;Enad Politik; ;1589;
KF;2084;Avesta;Enade Sverige; ;1448;
KF;2084;Avesta;Enhet;ENH;189;0.0
KF;2084;Avesta;EUSEC; ;1534;
KF;2084;Avesta;Feministiskt initiativ;FI;532;0.12053033346725592
KF;2084;Avesta;FOLKOMROSTA2021.SE; ;1489;
KF;2084;Avesta;FramtidsTro;FT;1449;
KF;2084;Avesta;Fredspartiet; ;1484;
KF;2084;Avesta;Fria Wermland; ;1548;
KF;2084;Avesta;Frihetsrörelsen; ;1573;
KF;2084;Avesta;Fritt val; ;1479;
KF;2084;Avesta;Förenade Demokratiska Partiet; ;1577;
KF;2084;Avesta;Företaget Sverige; ;1510;
KF;2084;Avesta;GRÖNA DEMOKRATER; ;1601;
KF;2084;Avesta;Gula västarna; ;1436;
KF;2084;Avesta;Humanistisk demokrati (HD);HD;1480;
KF;2084;Avesta;John Mikkonen; ;1598;
KF;2084;Avesta;Kalle ankapartiet; ;1579;
KF;2084;Avesta;Kapitalism med vänligt ansikte; ;1495;
KF;2084;Avesta;Klassiskt liberala partiet;KLP;638;0.0
KF;2084;Avesta;Knapptryckarna; ;1505;
KF;2084;Avesta;Kristdemokraterna;KD;68;2.5980982991830723
KF;2084;Avesta;Kristna Värdepartiet; ;1551;
KF;2084;Avesta;Kärlek; ;1465;
KF;2084;Avesta;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2084;Avesta;Liberalerna (tidigare Folkpartiet);L;3;2.303468595152002
KF;2084;Avesta;Majspartiet; ;1471;
KF;2084;Avesta;Medborgarresan; ;1330;
KF;2084;Avesta;Medborgerlig Samling;MED;1296;0.0
KF;2084;Avesta;Miljöpartiet de gröna;MP;55;1.687424668541583
KF;2084;Avesta;Min röst; ;1437;
KF;2084;Avesta;MITT SVERIGE; ;1591;
KF;2084;Avesta;Moderaterna;M;1;21.32717289406723
KF;2084;Avesta;Monisterna; ;1502;
KF;2084;Avesta;Mälaröarnas parti; ;1440;
KF;2084;Avesta;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2084;Avesta;NaturFilosoferna; ;1460;
KF;2084;Avesta;Nix to the Six; ;1519;
KF;2084;Avesta;NY REFORM; ;1528;
KF;2084;Avesta;Nya Frihetspartiet; ;1443;
KF;2084;Avesta;Nya Samhällspartiet; ;1438;
KF;2084;Avesta;OK; ;1478;
KF;2084;Avesta;Ond Kyckling Partiet; ;1472;
KF;2084;Avesta;Partiet Folkomröstning; ;1578;
KF;2084;Avesta;Partiet Nyans; ;1439;
KF;2084;Avesta;Partiet Vändpunkt;PV;1430;
KF;2084;Avesta;Pax; ;1491;
KF;2084;Avesta;Piratpartiet;PP;524;0.0
KF;2084;Avesta;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2084;Avesta;Rastliberalerna; ;1508;
KF;2084;Avesta;Rikspolitiska partiet; ;1496;
KF;2084;Avesta;SKP; ;1586;
KF;2084;Avesta;SKÅNEPARTIET;SKÅ;54;0.0
KF;2084;Avesta;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2084;Avesta;Sociallibertarianerna; ;1507;
KF;2084;Avesta;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2084;Avesta;Stram Kurs Sverige; ;1592;
KF;2084;Avesta;Svenska Rikslagen; ;1513;
KF;2084;Avesta;SVENSKARNA; ;1444;
KF;2084;Avesta;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2084;Avesta;Sverigedemokraterna;SD;110;14.18909870095085
KF;2084;Avesta;Sverigepartiet; ;1457;
KF;2084;Avesta;Swexitpartiet; ;1461;
KF;2084;Avesta;Säkerhetspartiet; ;1466;
KF;2084;Avesta;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2084;Avesta;Valsamverkanspartiet; ;1526;
KF;2084;Avesta;Vinningspartiet; ;1468;
KF;2084;Avesta;Vänsterpartiet;V;5;4.392661041917772
KF;2084;Avesta;Yggdrasil; ;1454;
KF;2084;Avesta;Ändrings partiet revolution; ;1404;
