VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1460;Bengtsfors;Alternativ för Sverige;AfS;1325;
KF;1460;Bengtsfors;ANDOPARTIET; ;1602;
KF;1460;Bengtsfors;Arbetarepartiet-Socialdemokraterna;S;2;37.06383662968323
KF;1460;Bengtsfors;Basinkomstpartiet; ;1525;
KF;1460;Bengtsfors;Centerpartiet;C;4;17.092780189741116
KF;1460;Bengtsfors;Common sense in Sweden;CSIS;1318;0.0
KF;1460;Bengtsfors;Direktdemokraterna;DD;1150;0.0
KF;1460;Bengtsfors;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1460;Bengtsfors;Enad Politik; ;1589;
KF;1460;Bengtsfors;Enade Sverige; ;1448;
KF;1460;Bengtsfors;Enhet;ENH;189;0.0
KF;1460;Bengtsfors;EUSEC; ;1534;
KF;1460;Bengtsfors;Feministiskt initiativ;FI;532;0.0964785335262904
KF;1460;Bengtsfors;FOLKOMROSTA2021.SE; ;1489;
KF;1460;Bengtsfors;FramtidsTro;FT;1449;
KF;1460;Bengtsfors;Fredspartiet; ;1484;
KF;1460;Bengtsfors;Fria Wermland; ;1548;
KF;1460;Bengtsfors;Frihetsrörelsen; ;1573;
KF;1460;Bengtsfors;Fritt val; ;1479;
KF;1460;Bengtsfors;Förenade Demokratiska Partiet; ;1577;
KF;1460;Bengtsfors;Företaget Sverige; ;1510;
KF;1460;Bengtsfors;GRÖNA DEMOKRATER; ;1601;
KF;1460;Bengtsfors;Gula västarna; ;1436;
KF;1460;Bengtsfors;Humanistisk demokrati (HD);HD;1480;
KF;1460;Bengtsfors;John Mikkonen; ;1598;
KF;1460;Bengtsfors;Kalle ankapartiet; ;1579;
KF;1460;Bengtsfors;Kapitalism med vänligt ansikte; ;1495;
KF;1460;Bengtsfors;Klassiskt liberala partiet;KLP;638;0.0
KF;1460;Bengtsfors;Knapptryckarna; ;1505;
KF;1460;Bengtsfors;Kristdemokraterna;KD;68;3.7787425631130405
KF;1460;Bengtsfors;Kristna Värdepartiet; ;1551;
KF;1460;Bengtsfors;Kärlek; ;1465;
KF;1460;Bengtsfors;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1460;Bengtsfors;Liberalerna (tidigare Folkpartiet);L;3;3.65010451841132
KF;1460;Bengtsfors;Majspartiet; ;1471;
KF;1460;Bengtsfors;Medborgarresan; ;1330;
KF;1460;Bengtsfors;Medborgerlig Samling;MED;1296;0.0
KF;1460;Bengtsfors;Miljöpartiet de gröna;MP;55;1.0773436243769094
KF;1460;Bengtsfors;Min röst; ;1437;
KF;1460;Bengtsfors;MITT SVERIGE; ;1591;
KF;1460;Bengtsfors;Moderaterna;M;1;19.19922817173179
KF;1460;Bengtsfors;Monisterna; ;1502;
KF;1460;Bengtsfors;Mälaröarnas parti; ;1440;
KF;1460;Bengtsfors;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1460;Bengtsfors;NaturFilosoferna; ;1460;
KF;1460;Bengtsfors;Nix to the Six; ;1519;
KF;1460;Bengtsfors;NY REFORM; ;1528;
KF;1460;Bengtsfors;Nya Frihetspartiet; ;1443;
KF;1460;Bengtsfors;Nya Samhällspartiet; ;1438;
KF;1460;Bengtsfors;OK; ;1478;
KF;1460;Bengtsfors;Ond Kyckling Partiet; ;1472;
KF;1460;Bengtsfors;Partiet Folkomröstning; ;1578;
KF;1460;Bengtsfors;Partiet Nyans; ;1439;
KF;1460;Bengtsfors;Partiet Vändpunkt;PV;1430;
KF;1460;Bengtsfors;Pax; ;1491;
KF;1460;Bengtsfors;Piratpartiet;PP;524;0.0
KF;1460;Bengtsfors;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1460;Bengtsfors;Rastliberalerna; ;1508;
KF;1460;Bengtsfors;Rikspolitiska partiet; ;1496;
KF;1460;Bengtsfors;SKP; ;1586;
KF;1460;Bengtsfors;SKÅNEPARTIET;SKÅ;54;0.0
KF;1460;Bengtsfors;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1460;Bengtsfors;Sociallibertarianerna; ;1507;
KF;1460;Bengtsfors;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1460;Bengtsfors;Stram Kurs Sverige; ;1592;
KF;1460;Bengtsfors;Svenska Rikslagen; ;1513;
KF;1460;Bengtsfors;SVENSKARNA; ;1444;
KF;1460;Bengtsfors;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1460;Bengtsfors;Sverigedemokraterna;SD;110;13.683872005145522
KF;1460;Bengtsfors;Sverigepartiet; ;1457;
KF;1460;Bengtsfors;Swexitpartiet; ;1461;
KF;1460;Bengtsfors;Säkerhetspartiet; ;1466;
KF;1460;Bengtsfors;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1460;Bengtsfors;Valsamverkanspartiet; ;1526;
KF;1460;Bengtsfors;Vinningspartiet; ;1468;
KF;1460;Bengtsfors;Vänsterpartiet;V;5;4.277214986332208
KF;1460;Bengtsfors;Yggdrasil; ;1454;
KF;1460;Bengtsfors;Ändrings partiet revolution; ;1404;
