VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2326;Berg;Alternativ för Sverige;AfS;1325;
KF;2326;Berg;ANDOPARTIET; ;1602;
KF;2326;Berg;Arbetarepartiet-Socialdemokraterna;S;2;40.595134665508255
KF;2326;Berg;Basinkomstpartiet; ;1525;
KF;2326;Berg;Bergspartiet; ;1597;
KF;2326;Berg;Centerpartiet;C;4;17.267593397046046
KF;2326;Berg;Common sense in Sweden;CSIS;1318;0.0
KF;2326;Berg;Direktdemokraterna;DD;1150;0.0
KF;2326;Berg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2326;Berg;Enad Politik; ;1589;
KF;2326;Berg;Enade Sverige; ;1448;
KF;2326;Berg;Enhet;ENH;189;0.0
KF;2326;Berg;EUSEC; ;1534;
KF;2326;Berg;Feministiskt initiativ;FI;532;0.13032145960034752
KF;2326;Berg;FOLKOMROSTA2021.SE; ;1489;
KF;2326;Berg;FramtidsTro;FT;1449;
KF;2326;Berg;Fredspartiet; ;1484;
KF;2326;Berg;Fria Wermland; ;1548;
KF;2326;Berg;Frihetsrörelsen; ;1573;
KF;2326;Berg;Fritt val; ;1479;
KF;2326;Berg;Förenade Demokratiska Partiet; ;1577;
KF;2326;Berg;Företaget Sverige; ;1510;
KF;2326;Berg;GRÖNA DEMOKRATER; ;1601;
KF;2326;Berg;Gula västarna; ;1436;
KF;2326;Berg;Humanistisk demokrati (HD);HD;1480;
KF;2326;Berg;John Mikkonen; ;1598;
KF;2326;Berg;Kalle ankapartiet; ;1579;
KF;2326;Berg;Kapitalism med vänligt ansikte; ;1495;
KF;2326;Berg;Klassiskt liberala partiet;KLP;638;0.0
KF;2326;Berg;Knapptryckarna; ;1505;
KF;2326;Berg;Kristdemokraterna;KD;68;1.8679409209383144
KF;2326;Berg;Kristna Värdepartiet; ;1551;
KF;2326;Berg;Kärlek; ;1465;
KF;2326;Berg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2326;Berg;Liberalerna (tidigare Folkpartiet);L;3;0.8688097306689836
KF;2326;Berg;Majspartiet; ;1471;
KF;2326;Berg;Medborgarresan; ;1330;
KF;2326;Berg;Medborgerlig Samling;MED;1296;0.0
KF;2326;Berg;Miljöpartiet de gröna;MP;55;0.6081668114682884
KF;2326;Berg;Min röst; ;1437;
KF;2326;Berg;MITT SVERIGE; ;1591;
KF;2326;Berg;Moderaterna;M;1;22.219808861859253
KF;2326;Berg;Monisterna; ;1502;
KF;2326;Berg;Mälaröarnas parti; ;1440;
KF;2326;Berg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2326;Berg;NaturFilosoferna; ;1460;
KF;2326;Berg;Nix to the Six; ;1519;
KF;2326;Berg;NY REFORM; ;1528;
KF;2326;Berg;Nya Frihetspartiet; ;1443;
KF;2326;Berg;Nya Samhällspartiet; ;1438;
KF;2326;Berg;OK; ;1478;
KF;2326;Berg;Ond Kyckling Partiet; ;1472;
KF;2326;Berg;Partiet Folkomröstning; ;1578;
KF;2326;Berg;Partiet Nyans; ;1439;
KF;2326;Berg;Partiet Vändpunkt;PV;1430;
KF;2326;Berg;Pax; ;1491;
KF;2326;Berg;Piratpartiet;PP;524;0.0
KF;2326;Berg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2326;Berg;Rastliberalerna; ;1508;
KF;2326;Berg;Rikspolitiska partiet; ;1496;
KF;2326;Berg;SKP; ;1586;
KF;2326;Berg;SKÅNEPARTIET;SKÅ;54;0.0
KF;2326;Berg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2326;Berg;Sociallibertarianerna; ;1507;
KF;2326;Berg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2326;Berg;Stram Kurs Sverige; ;1592;
KF;2326;Berg;Svenska Rikslagen; ;1513;
KF;2326;Berg;SVENSKARNA; ;1444;
KF;2326;Berg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2326;Berg;Sverigedemokraterna;SD;110;11.055603822762814
KF;2326;Berg;Sverigepartiet; ;1457;
KF;2326;Berg;Swexitpartiet; ;1461;
KF;2326;Berg;Säkerhetspartiet; ;1466;
KF;2326;Berg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2326;Berg;Valsamverkanspartiet; ;1526;
KF;2326;Berg;Vinningspartiet; ;1468;
KF;2326;Berg;Vänsterpartiet;V;5;5.321459600347524
KF;2326;Berg;Yggdrasil; ;1454;
KF;2326;Berg;Ändrings partiet revolution; ;1404;
