VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2582;Boden;Aktiv samling - Bodenalternativet;ASB;1373;12.185968935682268
KF;2582;Boden;Alternativ för Sverige;AfS;1325;
KF;2582;Boden;ANDOPARTIET; ;1602;
KF;2582;Boden;Arbetarepartiet-Socialdemokraterna;S;2;34.16553737099969
KF;2582;Boden;Basinkomstpartiet; ;1525;
KF;2582;Boden;Centerpartiet;C;4;5.3580735953299286
KF;2582;Boden;Common sense in Sweden;CSIS;1318;0.0
KF;2582;Boden;Direktdemokraterna;DD;1150;0.0
KF;2582;Boden;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2582;Boden;Enad Politik; ;1589;
KF;2582;Boden;Enade Sverige; ;1448;
KF;2582;Boden;Enhet;ENH;189;0.0
KF;2582;Boden;EUSEC; ;1534;
KF;2582;Boden;Feministiskt initiativ;FI;532;1.1779422495569685
KF;2582;Boden;FOLKOMROSTA2021.SE; ;1489;
KF;2582;Boden;FramtidsTro;FT;1449;
KF;2582;Boden;Fredspartiet; ;1484;
KF;2582;Boden;Fria Wermland; ;1548;
KF;2582;Boden;Frihetsrörelsen; ;1573;
KF;2582;Boden;Fritt val; ;1479;
KF;2582;Boden;Förenade Demokratiska Partiet; ;1577;
KF;2582;Boden;Företaget Sverige; ;1510;
KF;2582;Boden;GRÖNA DEMOKRATER; ;1601;
KF;2582;Boden;Gula västarna; ;1436;
KF;2582;Boden;Humanistisk demokrati (HD);HD;1480;
KF;2582;Boden;John Mikkonen; ;1598;
KF;2582;Boden;Kalle ankapartiet; ;1579;
KF;2582;Boden;Kapitalism med vänligt ansikte; ;1495;
KF;2582;Boden;Klassiskt liberala partiet;KLP;638;0.0
KF;2582;Boden;Knapptryckarna; ;1505;
KF;2582;Boden;Kristdemokraterna;KD;68;1.7043677681642864
KF;2582;Boden;Kristna Värdepartiet; ;1551;
KF;2582;Boden;Kärlek; ;1465;
KF;2582;Boden;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2582;Boden;Liberalerna (tidigare Folkpartiet);L;3;2.955279891587616
KF;2582;Boden;Majspartiet; ;1471;
KF;2582;Boden;Medborgarresan; ;1330;
KF;2582;Boden;Medborgerlig Samling;MED;1296;0.0
KF;2582;Boden;Miljöpartiet de gröna;MP;55;2.121338475972063
KF;2582;Boden;Min röst; ;1437;
KF;2582;Boden;MITT SVERIGE; ;1591;
KF;2582;Boden;Moderaterna;M;1;16.02731158136141
KF;2582;Boden;Monisterna; ;1502;
KF;2582;Boden;Mälaröarnas parti; ;1440;
KF;2582;Boden;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2582;Boden;NaturFilosoferna; ;1460;
KF;2582;Boden;Nix to the Six; ;1519;
KF;2582;Boden;NY REFORM; ;1528;
KF;2582;Boden;Nya Frihetspartiet; ;1443;
KF;2582;Boden;Nya Samhällspartiet; ;1438;
KF;2582;Boden;OK; ;1478;
KF;2582;Boden;Ond Kyckling Partiet; ;1472;
KF;2582;Boden;Partiet Folkomröstning; ;1578;
KF;2582;Boden;Partiet Nyans; ;1439;
KF;2582;Boden;Partiet Vändpunkt;PV;1430;
KF;2582;Boden;Pax; ;1491;
KF;2582;Boden;Piratpartiet;PP;524;0.0
KF;2582;Boden;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2582;Boden;Rastliberalerna; ;1508;
KF;2582;Boden;Rikspolitiska partiet; ;1496;
KF;2582;Boden;Sjukvårdspartiet;SJV;193;8.11529240070885
KF;2582;Boden;SKP; ;1586;
KF;2582;Boden;SKÅNEPARTIET;SKÅ;54;0.0
KF;2582;Boden;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2582;Boden;Sociallibertarianerna; ;1507;
KF;2582;Boden;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2582;Boden;Stram Kurs Sverige; ;1592;
KF;2582;Boden;Svenska Rikslagen; ;1513;
KF;2582;Boden;SVENSKARNA; ;1444;
KF;2582;Boden;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2582;Boden;Sverigedemokraterna;SD;110;9.413113728760553
KF;2582;Boden;Sverigepartiet; ;1457;
KF;2582;Boden;Swexitpartiet; ;1461;
KF;2582;Boden;Säkerhetspartiet; ;1466;
KF;2582;Boden;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2582;Boden;Valsamverkanspartiet; ;1526;
KF;2582;Boden;Vinningspartiet; ;1468;
KF;2582;Boden;Vänsterpartiet;V;5;6.395288231001772
KF;2582;Boden;Yggdrasil; ;1454;
KF;2582;Boden;Ändrings partiet revolution; ;1404;
