VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2183;Bollnäs;Alternativ för Sverige;AfS;1325;
KF;2183;Bollnäs;ANDOPARTIET; ;1602;
KF;2183;Bollnäs;Arbetarepartiet-Socialdemokraterna;S;2;29.819552306989493
KF;2183;Bollnäs;Basinkomstpartiet; ;1525;
KF;2183;Bollnäs;Bollnäspartiet;Bollp;1013;14.966879853814527
KF;2183;Bollnäs;Centerpartiet;C;4;11.180904522613066
KF;2183;Bollnäs;Common sense in Sweden;CSIS;1318;0.0
KF;2183;Bollnäs;Direktdemokraterna;DD;1150;0.0
KF;2183;Bollnäs;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2183;Bollnäs;Enad Politik; ;1589;
KF;2183;Bollnäs;Enade Sverige; ;1448;
KF;2183;Bollnäs;Enhet;ENH;189;0.0
KF;2183;Bollnäs;EUSEC; ;1534;
KF;2183;Bollnäs;Feministiskt initiativ;FI;532;0.13133851073549566
KF;2183;Bollnäs;FOLKOMROSTA2021.SE; ;1489;
KF;2183;Bollnäs;FramtidsTro;FT;1449;
KF;2183;Bollnäs;Fredspartiet; ;1484;
KF;2183;Bollnäs;Fria Wermland; ;1548;
KF;2183;Bollnäs;Frihetsrörelsen; ;1573;
KF;2183;Bollnäs;Fritt val; ;1479;
KF;2183;Bollnäs;Förenade Demokratiska Partiet; ;1577;
KF;2183;Bollnäs;Företaget Sverige; ;1510;
KF;2183;Bollnäs;GRÖNA DEMOKRATER; ;1601;
KF;2183;Bollnäs;Gula västarna; ;1436;
KF;2183;Bollnäs;Humanistisk demokrati (HD);HD;1480;
KF;2183;Bollnäs;John Mikkonen; ;1598;
KF;2183;Bollnäs;Kalle ankapartiet; ;1579;
KF;2183;Bollnäs;Kapitalism med vänligt ansikte; ;1495;
KF;2183;Bollnäs;Klassiskt liberala partiet;KLP;638;0.0
KF;2183;Bollnäs;Knapptryckarna; ;1505;
KF;2183;Bollnäs;Kristdemokraterna;KD;68;3.0036546368204657
KF;2183;Bollnäs;Kristna Värdepartiet; ;1551;
KF;2183;Bollnäs;Kärlek; ;1465;
KF;2183;Bollnäs;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2183;Bollnäs;Liberalerna (tidigare Folkpartiet);L;3;9.77044312471448
KF;2183;Bollnäs;Majspartiet; ;1471;
KF;2183;Bollnäs;Medborgarresan; ;1330;
KF;2183;Bollnäs;Medborgerlig Samling;MED;1296;0.0
KF;2183;Bollnäs;Miljöpartiet de gröna;MP;55;2.164230242119689
KF;2183;Bollnäs;Min röst; ;1437;
KF;2183;Bollnäs;MITT SVERIGE; ;1591;
KF;2183;Bollnäs;Moderaterna;M;1;8.73686614892645
KF;2183;Bollnäs;Monisterna; ;1502;
KF;2183;Bollnäs;Mälaröarnas parti; ;1440;
KF;2183;Bollnäs;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2183;Bollnäs;NaturFilosoferna; ;1460;
KF;2183;Bollnäs;Nix to the Six; ;1519;
KF;2183;Bollnäs;NY REFORM; ;1528;
KF;2183;Bollnäs;Nya Frihetspartiet; ;1443;
KF;2183;Bollnäs;Nya Samhällspartiet; ;1438;
KF;2183;Bollnäs;OK; ;1478;
KF;2183;Bollnäs;Ond Kyckling Partiet; ;1472;
KF;2183;Bollnäs;Partiet Folkomröstning; ;1578;
KF;2183;Bollnäs;Partiet Nyans; ;1439;
KF;2183;Bollnäs;Partiet Vändpunkt;PV;1430;
KF;2183;Bollnäs;Pax; ;1491;
KF;2183;Bollnäs;Piratpartiet;PP;524;0.0
KF;2183;Bollnäs;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2183;Bollnäs;Rastliberalerna; ;1508;
KF;2183;Bollnäs;Rikspolitiska partiet; ;1496;
KF;2183;Bollnäs;Sjukvårdspartiet Bollnäs;SJVB;590;2.7238465052535403
KF;2183;Bollnäs;SKP; ;1586;
KF;2183;Bollnäs;SKÅNEPARTIET;SKÅ;54;0.0
KF;2183;Bollnäs;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2183;Bollnäs;Sociallibertarianerna; ;1507;
KF;2183;Bollnäs;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2183;Bollnäs;Stram Kurs Sverige; ;1592;
KF;2183;Bollnäs;Svenska Rikslagen; ;1513;
KF;2183;Bollnäs;SVENSKARNA; ;1444;
KF;2183;Bollnäs;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2183;Bollnäs;Sverigedemokraterna;SD;110;11.780493375970764
KF;2183;Bollnäs;Sverigepartiet; ;1457;
KF;2183;Bollnäs;Swexitpartiet; ;1461;
KF;2183;Bollnäs;Säkerhetspartiet; ;1466;
KF;2183;Bollnäs;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2183;Bollnäs;Valsamverkanspartiet; ;1526;
KF;2183;Bollnäs;Vinningspartiet; ;1468;
KF;2183;Bollnäs;Vänsterpartiet;V;5;5.619004111466423
KF;2183;Bollnäs;Yggdrasil; ;1454;
KF;2183;Bollnäs;Ändrings partiet revolution; ;1404;
