VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;885;Borgholm;Alternativ för Sverige;AfS;1325;
KF;885;Borgholm;ANDOPARTIET; ;1602;
KF;885;Borgholm;Arbetarepartiet-Socialdemokraterna;S;2;33.96349413298566
KF;885;Borgholm;Basinkomstpartiet; ;1525;
KF;885;Borgholm;Centerpartiet;C;4;13.78096479791395
KF;885;Borgholm;Common sense in Sweden;CSIS;1318;0.0
KF;885;Borgholm;Direktdemokraterna;DD;1150;0.0
KF;885;Borgholm;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;885;Borgholm;Enad Politik; ;1589;
KF;885;Borgholm;Enade Sverige; ;1448;
KF;885;Borgholm;Enhet;ENH;189;0.0
KF;885;Borgholm;EUSEC; ;1534;
KF;885;Borgholm;Feministiskt initiativ;FI;532;0.18252933507170796
KF;885;Borgholm;FOLKOMROSTA2021.SE; ;1489;
KF;885;Borgholm;Framtid Öland;FÖL;1142;11.225554106910039
KF;885;Borgholm;FramtidsTro;FT;1449;
KF;885;Borgholm;Fredspartiet; ;1484;
KF;885;Borgholm;Fria Wermland; ;1548;
KF;885;Borgholm;Frihetsrörelsen; ;1573;
KF;885;Borgholm;Fritt val; ;1479;
KF;885;Borgholm;Förenade Demokratiska Partiet; ;1577;
KF;885;Borgholm;Företaget Sverige; ;1510;
KF;885;Borgholm;GRÖNA DEMOKRATER; ;1601;
KF;885;Borgholm;Gula västarna; ;1436;
KF;885;Borgholm;Humanistisk demokrati (HD);HD;1480;
KF;885;Borgholm;John Mikkonen; ;1598;
KF;885;Borgholm;Kalle ankapartiet; ;1579;
KF;885;Borgholm;Kapitalism med vänligt ansikte; ;1495;
KF;885;Borgholm;Klassiskt liberala partiet;KLP;638;0.0
KF;885;Borgholm;Knapptryckarna; ;1505;
KF;885;Borgholm;Kristdemokraterna;KD;68;4.054758800521512
KF;885;Borgholm;Kristna Värdepartiet; ;1551;
KF;885;Borgholm;Kärlek; ;1465;
KF;885;Borgholm;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;885;Borgholm;Liberalerna (tidigare Folkpartiet);L;3;1.3820078226857888
KF;885;Borgholm;Majspartiet; ;1471;
KF;885;Borgholm;Medborgarresan; ;1330;
KF;885;Borgholm;Medborgerlig Samling;MED;1296;0.0
KF;885;Borgholm;Miljöpartiet de gröna;MP;55;1.7731421121251632
KF;885;Borgholm;Min röst; ;1437;
KF;885;Borgholm;MITT SVERIGE; ;1591;
KF;885;Borgholm;Moderaterna;M;1;15.867014341590613
KF;885;Borgholm;Monisterna; ;1502;
KF;885;Borgholm;Mälaröarnas parti; ;1440;
KF;885;Borgholm;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;885;Borgholm;NaturFilosoferna; ;1460;
KF;885;Borgholm;Nix to the Six; ;1519;
KF;885;Borgholm;NY REFORM; ;1528;
KF;885;Borgholm;Nya Frihetspartiet; ;1443;
KF;885;Borgholm;Nya Samhällspartiet; ;1438;
KF;885;Borgholm;OK; ;1478;
KF;885;Borgholm;Ond Kyckling Partiet; ;1472;
KF;885;Borgholm;Partiet Folkomröstning; ;1578;
KF;885;Borgholm;Partiet Nyans; ;1439;
KF;885;Borgholm;Partiet Vändpunkt;PV;1430;
KF;885;Borgholm;Pax; ;1491;
KF;885;Borgholm;Piratpartiet;PP;524;0.0
KF;885;Borgholm;Positivt Samhällsinitiativ (PSI); ;1475;
KF;885;Borgholm;Rastliberalerna; ;1508;
KF;885;Borgholm;Rikspolitiska partiet; ;1496;
KF;885;Borgholm;SKP; ;1586;
KF;885;Borgholm;SKÅNEPARTIET;SKÅ;54;0.0
KF;885;Borgholm;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;885;Borgholm;Sociallibertarianerna; ;1507;
KF;885;Borgholm;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;885;Borgholm;Stram Kurs Sverige; ;1592;
KF;885;Borgholm;Svenska Rikslagen; ;1513;
KF;885;Borgholm;SVENSKARNA; ;1444;
KF;885;Borgholm;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;885;Borgholm;Sverigedemokraterna;SD;110;9.556714471968709
KF;885;Borgholm;Sverigepartiet; ;1457;
KF;885;Borgholm;Swexitpartiet; ;1461;
KF;885;Borgholm;Säkerhetspartiet; ;1466;
KF;885;Borgholm;TRYGGHETSPARTIET;TRP;1309;0.0
KF;885;Borgholm;Valsamverkanspartiet; ;1526;
KF;885;Borgholm;Vinningspartiet; ;1468;
KF;885;Borgholm;Vänsterpartiet;V;5;3.6245110821382007
KF;885;Borgholm;Yggdrasil; ;1454;
KF;885;Borgholm;Ändrings partiet revolution; ;1404;
KF;885;Borgholm;Ölandspartiet;Öland;336;4.485006518904823
