VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2081;Borlänge;Alternativ för Sverige;AfS;1325;
KF;2081;Borlänge;ANDOPARTIET; ;1602;
KF;2081;Borlänge;Arbetarepartiet-Socialdemokraterna;S;2;32.24535226520667
KF;2081;Borlänge;Basinkomstpartiet; ;1525;
KF;2081;Borlänge;Centerpartiet;C;4;8.110222008302749
KF;2081;Borlänge;Common sense in Sweden;CSIS;1318;0.0
KF;2081;Borlänge;Direktdemokraterna;DD;1150;0.0
KF;2081;Borlänge;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2081;Borlänge;Enad Politik; ;1589;
KF;2081;Borlänge;Enade Sverige; ;1448;
KF;2081;Borlänge;Enhet;ENH;189;0.0
KF;2081;Borlänge;EUSEC; ;1534;
KF;2081;Borlänge;Feministiskt initiativ;FI;532;0.24968413452860835
KF;2081;Borlänge;FOLKOMROSTA2021.SE; ;1489;
KF;2081;Borlänge;FramtidsTro;FT;1449;
KF;2081;Borlänge;Fredspartiet; ;1484;
KF;2081;Borlänge;Fria Wermland; ;1548;
KF;2081;Borlänge;Frihetsrörelsen; ;1573;
KF;2081;Borlänge;Fritt val; ;1479;
KF;2081;Borlänge;Förenade Demokratiska Partiet; ;1577;
KF;2081;Borlänge;Företaget Sverige; ;1510;
KF;2081;Borlänge;GRÖNA DEMOKRATER; ;1601;
KF;2081;Borlänge;Gula västarna; ;1436;
KF;2081;Borlänge;Humanistisk demokrati (HD);HD;1480;
KF;2081;Borlänge;John Mikkonen; ;1598;
KF;2081;Borlänge;Kalle ankapartiet; ;1579;
KF;2081;Borlänge;Kapitalism med vänligt ansikte; ;1495;
KF;2081;Borlänge;Klassiskt liberala partiet;KLP;638;0.0
KF;2081;Borlänge;Knapptryckarna; ;1505;
KF;2081;Borlänge;Kristdemokraterna;KD;68;4.443174297575356
KF;2081;Borlänge;Kristna Värdepartiet; ;1551;
KF;2081;Borlänge;Kärlek; ;1465;
KF;2081;Borlänge;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2081;Borlänge;Liberalerna (tidigare Folkpartiet);L;3;5.468985018951928
KF;2081;Borlänge;Majspartiet; ;1471;
KF;2081;Borlänge;Medborgarresan; ;1330;
KF;2081;Borlänge;Medborgerlig Samling;MED;1296;0.0
KF;2081;Borlänge;Miljöpartiet de gröna;MP;55;3.4985861259851996
KF;2081;Borlänge;Min röst; ;1437;
KF;2081;Borlänge;MITT SVERIGE; ;1591;
KF;2081;Borlänge;Moderaterna;M;1;19.282834967811805
KF;2081;Borlänge;Monisterna; ;1502;
KF;2081;Borlänge;Mälaröarnas parti; ;1440;
KF;2081;Borlänge;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2081;Borlänge;NaturFilosoferna; ;1460;
KF;2081;Borlänge;Nix to the Six; ;1519;
KF;2081;Borlänge;NY REFORM; ;1528;
KF;2081;Borlänge;Nya Frihetspartiet; ;1443;
KF;2081;Borlänge;Nya Samhällspartiet; ;1438;
KF;2081;Borlänge;NyFramtid; ;1367;
KF;2081;Borlänge;OK; ;1478;
KF;2081;Borlänge;Omsorg för alla;Ofa;1369;2.180975873894471
KF;2081;Borlänge;Ond Kyckling Partiet; ;1472;
KF;2081;Borlänge;Partiet Folkomröstning; ;1578;
KF;2081;Borlänge;Partiet Nyans; ;1439;
KF;2081;Borlänge;Partiet Vändpunkt;PV;1430;
KF;2081;Borlänge;Pax; ;1491;
KF;2081;Borlänge;Piratpartiet;PP;524;0.0
KF;2081;Borlänge;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2081;Borlänge;Rastliberalerna; ;1508;
KF;2081;Borlänge;Rikspolitiska partiet; ;1496;
KF;2081;Borlänge;SKP; ;1586;
KF;2081;Borlänge;SKÅNEPARTIET;SKÅ;54;0.0
KF;2081;Borlänge;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2081;Borlänge;Sociallibertarianerna; ;1507;
KF;2081;Borlänge;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2081;Borlänge;Stram Kurs Sverige; ;1592;
KF;2081;Borlänge;Svenska Rikslagen; ;1513;
KF;2081;Borlänge;SVENSKARNA; ;1444;
KF;2081;Borlänge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2081;Borlänge;Sverigedemokraterna;SD;110;16.100114313218217
KF;2081;Borlänge;Sverigepartiet; ;1457;
KF;2081;Borlänge;Swexitpartiet; ;1461;
KF;2081;Borlänge;Säkerhetspartiet; ;1466;
KF;2081;Borlänge;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2081;Borlänge;Valsamverkanspartiet; ;1526;
KF;2081;Borlänge;Vinningspartiet; ;1468;
KF;2081;Borlänge;Vänsterpartiet;V;5;7.135551410865772
KF;2081;Borlänge;Yggdrasil; ;1454;
KF;2081;Borlänge;Ändrings partiet revolution; ;1404;
