VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1231;Burlöv;Alternativ Burlövs Väl; ;1504;
KF;1231;Burlöv;Alternativ för Sverige;AfS;1325;
KF;1231;Burlöv;ANDOPARTIET; ;1602;
KF;1231;Burlöv;Arbetarepartiet-Socialdemokraterna;S;2;32.20840734162226
KF;1231;Burlöv;Basinkomstpartiet; ;1525;
KF;1231;Burlöv;Centerpartiet;C;4;4.9437537004144465
KF;1231;Burlöv;Common sense in Sweden;CSIS;1318;0.0
KF;1231;Burlöv;Direktdemokraterna;DD;1150;0.0
KF;1231;Burlöv;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1231;Burlöv;Enad Politik; ;1589;
KF;1231;Burlöv;Enade Sverige; ;1448;
KF;1231;Burlöv;Enhet;ENH;189;0.0
KF;1231;Burlöv;EUSEC; ;1534;
KF;1231;Burlöv;Feministiskt initiativ;FI;532;0.700611801855141
KF;1231;Burlöv;FOLKOMROSTA2021.SE; ;1489;
KF;1231;Burlöv;FramtidsTro;FT;1449;
KF;1231;Burlöv;Fredspartiet; ;1484;
KF;1231;Burlöv;Fria Wermland; ;1548;
KF;1231;Burlöv;Frihetsrörelsen; ;1573;
KF;1231;Burlöv;Fritt val; ;1479;
KF;1231;Burlöv;Förenade Demokratiska Partiet; ;1577;
KF;1231;Burlöv;Företaget Sverige; ;1510;
KF;1231;Burlöv;GRÖNA DEMOKRATER; ;1601;
KF;1231;Burlöv;Gula västarna; ;1436;
KF;1231;Burlöv;Humanistisk demokrati (HD);HD;1480;
KF;1231;Burlöv;John Mikkonen; ;1598;
KF;1231;Burlöv;Kalle ankapartiet; ;1579;
KF;1231;Burlöv;Kapitalism med vänligt ansikte; ;1495;
KF;1231;Burlöv;Klassiskt liberala partiet;KLP;638;0.0
KF;1231;Burlöv;Knapptryckarna; ;1505;
KF;1231;Burlöv;Kristdemokraterna;KD;68;1.588711268995461
KF;1231;Burlöv;Kristna Värdepartiet; ;1551;
KF;1231;Burlöv;Kärlek; ;1465;
KF;1231;Burlöv;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1231;Burlöv;Liberalerna (tidigare Folkpartiet);L;3;6.650878231695283
KF;1231;Burlöv;Majspartiet; ;1471;
KF;1231;Burlöv;Medborgarresan; ;1330;
KF;1231;Burlöv;Medborgerlig Samling;MED;1296;0.0
KF;1231;Burlöv;Miljöpartiet de gröna;MP;55;3.7892243931320304
KF;1231;Burlöv;Min röst; ;1437;
KF;1231;Burlöv;MITT SVERIGE; ;1591;
KF;1231;Burlöv;Moderaterna;M;1;20.120386816656797
KF;1231;Burlöv;Monisterna; ;1502;
KF;1231;Burlöv;Mälaröarnas parti; ;1440;
KF;1231;Burlöv;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1231;Burlöv;NaturFilosoferna; ;1460;
KF;1231;Burlöv;Nix to the Six; ;1519;
KF;1231;Burlöv;NY REFORM; ;1528;
KF;1231;Burlöv;Nya Frihetspartiet; ;1443;
KF;1231;Burlöv;Nya Samhällspartiet; ;1438;
KF;1231;Burlöv;OK; ;1478;
KF;1231;Burlöv;Ond Kyckling Partiet; ;1472;
KF;1231;Burlöv;Partiet Folkomröstning; ;1578;
KF;1231;Burlöv;Partiet Nyans; ;1439;
KF;1231;Burlöv;Partiet Vändpunkt;PV;1430;
KF;1231;Burlöv;Pax; ;1491;
KF;1231;Burlöv;Piratpartiet;PP;524;0.0
KF;1231;Burlöv;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1231;Burlöv;Rastliberalerna; ;1508;
KF;1231;Burlöv;Rikspolitiska partiet; ;1496;
KF;1231;Burlöv;SKP; ;1586;
KF;1231;Burlöv;SKÅNEPARTIET;SKÅ;54;0.0
KF;1231;Burlöv;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1231;Burlöv;Sociallibertarianerna; ;1507;
KF;1231;Burlöv;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1231;Burlöv;Stram Kurs Sverige; ;1592;
KF;1231;Burlöv;Svenska Rikslagen; ;1513;
KF;1231;Burlöv;SVENSKARNA; ;1444;
KF;1231;Burlöv;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1231;Burlöv;Sverigedemokraterna;SD;110;23.80106571936057
KF;1231;Burlöv;Sverigepartiet; ;1457;
KF;1231;Burlöv;Swexitpartiet; ;1461;
KF;1231;Burlöv;Säkerhetspartiet; ;1466;
KF;1231;Burlöv;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1231;Burlöv;Valsamverkanspartiet; ;1526;
KF;1231;Burlöv;Vinningspartiet; ;1468;
KF;1231;Burlöv;Vänsterpartiet;V;5;5.999605289125715
KF;1231;Burlöv;Yggdrasil; ;1454;
KF;1231;Burlöv;Ändrings partiet revolution; ;1404;
