VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1278;Båstad;Alternativ för Sverige;AfS;1325;
KF;1278;Båstad;ANDOPARTIET; ;1602;
KF;1278;Båstad;Arbetarepartiet-Socialdemokraterna;S;2;14.102812803103781
KF;1278;Båstad;Basinkomstpartiet; ;1525;
KF;1278;Båstad;Bjärepartiet;BJP;163;22.21144519883608
KF;1278;Båstad;Centerpartiet;C;4;14.151309408341417
KF;1278;Båstad;Common sense in Sweden;CSIS;1318;0.0
KF;1278;Båstad;Direktdemokraterna;DD;1150;0.0
KF;1278;Båstad;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1278;Båstad;Enad Politik; ;1589;
KF;1278;Båstad;Enade Sverige; ;1448;
KF;1278;Båstad;Enhet;ENH;189;0.0
KF;1278;Båstad;EUSEC; ;1534;
KF;1278;Båstad;Feministiskt initiativ;FI;532;0.15518913676042675
KF;1278;Båstad;FOLKOMROSTA2021.SE; ;1489;
KF;1278;Båstad;FramtidsTro;FT;1449;
KF;1278;Båstad;Fredspartiet; ;1484;
KF;1278;Båstad;Fria Wermland; ;1548;
KF;1278;Båstad;Frihetsrörelsen; ;1573;
KF;1278;Båstad;Fritt val; ;1479;
KF;1278;Båstad;Förenade Demokratiska Partiet; ;1577;
KF;1278;Båstad;Företaget Sverige; ;1510;
KF;1278;Båstad;GRÖNA DEMOKRATER; ;1601;
KF;1278;Båstad;Gula västarna; ;1436;
KF;1278;Båstad;Humanistisk demokrati (HD);HD;1480;
KF;1278;Båstad;John Mikkonen; ;1598;
KF;1278;Båstad;Kalle ankapartiet; ;1579;
KF;1278;Båstad;Kapitalism med vänligt ansikte; ;1495;
KF;1278;Båstad;Klassiskt liberala partiet;KLP;638;0.0
KF;1278;Båstad;Knapptryckarna; ;1505;
KF;1278;Båstad;Kristdemokraterna;KD;68;2.046556741028128
KF;1278;Båstad;Kristna Värdepartiet; ;1551;
KF;1278;Båstad;Kärlek; ;1465;
KF;1278;Båstad;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1278;Båstad;Liberalerna (tidigare Folkpartiet);L;3;8.709990300678951
KF;1278;Båstad;Majspartiet; ;1471;
KF;1278;Båstad;Medborgarresan; ;1330;
KF;1278;Båstad;Medborgerlig Samling;MED;1296;0.0
KF;1278;Båstad;Miljöpartiet de gröna;MP;55;4.073714839961203
KF;1278;Båstad;Min röst; ;1437;
KF;1278;Båstad;MITT SVERIGE; ;1591;
KF;1278;Båstad;Moderaterna;M;1;25.014548981571288
KF;1278;Båstad;Monisterna; ;1502;
KF;1278;Båstad;Mälaröarnas parti; ;1440;
KF;1278;Båstad;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1278;Båstad;NaturFilosoferna; ;1460;
KF;1278;Båstad;Nix to the Six; ;1519;
KF;1278;Båstad;NY REFORM; ;1528;
KF;1278;Båstad;Nya Frihetspartiet; ;1443;
KF;1278;Båstad;Nya Samhällspartiet; ;1438;
KF;1278;Båstad;OK; ;1478;
KF;1278;Båstad;Ond Kyckling Partiet; ;1472;
KF;1278;Båstad;Partiet Folkomröstning; ;1578;
KF;1278;Båstad;Partiet Nyans; ;1439;
KF;1278;Båstad;Partiet Vändpunkt;PV;1430;
KF;1278;Båstad;Pax; ;1491;
KF;1278;Båstad;Piratpartiet;PP;524;0.0
KF;1278;Båstad;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1278;Båstad;Rastliberalerna; ;1508;
KF;1278;Båstad;Rikspolitiska partiet; ;1496;
KF;1278;Båstad;SKP; ;1586;
KF;1278;Båstad;SKÅNEPARTIET;SKÅ;54;0.0
KF;1278;Båstad;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1278;Båstad;Sociallibertarianerna; ;1507;
KF;1278;Båstad;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1278;Båstad;Stram Kurs Sverige; ;1592;
KF;1278;Båstad;Svenska Rikslagen; ;1513;
KF;1278;Båstad;SVENSKARNA; ;1444;
KF;1278;Båstad;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1278;Båstad;Sverigedemokraterna;SD;110;8.506304558680892
KF;1278;Båstad;Sverigepartiet; ;1457;
KF;1278;Båstad;Swexitpartiet; ;1461;
KF;1278;Båstad;Säkerhetspartiet; ;1466;
KF;1278;Båstad;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1278;Båstad;Valsamverkanspartiet; ;1526;
KF;1278;Båstad;Vinningspartiet; ;1468;
KF;1278;Båstad;Vänsterpartiet;V;5;0.9020368574199806
KF;1278;Båstad;Yggdrasil; ;1454;
KF;1278;Båstad;Ändrings partiet revolution; ;1404;
