VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2425;Dorotea;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2425;Dorotea;ANARKISTERNA; ;1628;;
KF;2425;Dorotea;ANDOPARTIET; ;1602;;
KF;2425;Dorotea;Arbetarepartiet-Socialdemokraterna;S;2;32.345828295042324;https://www.socialdemokraterna.se/
KF;2425;Dorotea;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2425;Dorotea;Bjornpartiet; ;1629;;
KF;2425;Dorotea;Centerpartiet;C;4;18.198307134220073;https://www.centerpartiet.se/
KF;2425;Dorotea;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2425;Dorotea;Det minst dåliga partiet; ;1622;;
KF;2425;Dorotea;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2425;Dorotea;Dorotea Kommunlista;DKL;187;18.500604594921402;https://www.facebook.com/dkldoroteakommunlista/
KF;2425;Dorotea;Drivkraft; ;1621;;
KF;2425;Dorotea;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2425;Dorotea;Enad Politik; ;1589;;
KF;2425;Dorotea;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2425;Dorotea;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2425;Dorotea;Enskild person/Riksdagen val; ;1614;;
KF;2425;Dorotea;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2425;Dorotea;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2425;Dorotea;EUSEC; ;1534;;
KF;2425;Dorotea;FAMILJENS FRIHET; ;1606;;
KF;2425;Dorotea;Fattigmans parti; ;1618;;
KF;2425;Dorotea;Feministiskt initiativ;FI;532;0.3022974607013301;https://feministisktinitiativ.se/
KF;2425;Dorotea;FN Parti art.27; ;1631;;
KF;2425;Dorotea;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2425;Dorotea;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2425;Dorotea;Fredspartiet; ;1484;;
KF;2425;Dorotea;Fria Wermland; ;1548;;https://friawermland.se/
KF;2425;Dorotea;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2425;Dorotea;Fritt val; ;1479;;
KF;2425;Dorotea;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2425;Dorotea;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2425;Dorotea;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2425;Dorotea;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2425;Dorotea;Humanistisk demokrati (HD);HD;1480;;
KF;2425;Dorotea;Invandrarpartiet; ;1624;;
KF;2425;Dorotea;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2425;Dorotea;Kalle ankapartiet; ;1579;;
KF;2425;Dorotea;Kapitalism med vänligt ansikte; ;1495;;
KF;2425;Dorotea;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2425;Dorotea;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2425;Dorotea;Kristdemokraterna;KD;68;2.841596130592503;https://kristdemokraterna.se/
KF;2425;Dorotea;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2425;Dorotea;KSP; ;1612;;
KF;2425;Dorotea;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2425;Dorotea;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2425;Dorotea;Liberalerna (tidigare Folkpartiet);L;3;16.26360338573156;https://www.liberalerna.se/
KF;2425;Dorotea;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2425;Dorotea;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2425;Dorotea;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2425;Dorotea;Miljöpartiet de gröna;MP;55;0.36275695284159615;https://www.mp.se/
KF;2425;Dorotea;Min röst; ;1437;;
KF;2425;Dorotea;MITT SVERIGE; ;1591;;
KF;2425;Dorotea;MoD; ;1568;;https://partietmod.se/
KF;2425;Dorotea;Moderaterna;M;1;0.6650544135429262;https://moderaterna.se/
KF;2425;Dorotea;Monisterna; ;1502;;
KF;2425;Dorotea;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2425;Dorotea;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2425;Dorotea;NaturFilosoferna; ;1460;;
KF;2425;Dorotea;Naturistpartiet; ;1627;;
KF;2425;Dorotea;Neoteknokraterna; ;1613;;
KF;2425;Dorotea;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2425;Dorotea;Nu får det fan vara nog; ;1623;;
KF;2425;Dorotea;Ny Demokrati; ;1596;;
KF;2425;Dorotea;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2425;Dorotea;Nya Frihetspartiet; ;1443;;
KF;2425;Dorotea;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2425;Dorotea;OK; ;1478;;
KF;2425;Dorotea;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2425;Dorotea;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2425;Dorotea;Partiet Frihet; ;1599;;
KF;2425;Dorotea;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;2425;Dorotea;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2425;Dorotea;Pax; ;1491;;https://www.paxpartiet.se/
KF;2425;Dorotea;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2425;Dorotea;Politiskt Skifte; ;1617;;
KF;2425;Dorotea;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2425;Dorotea;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2425;Dorotea;Reformpartiet; ;1616;;
KF;2425;Dorotea;Rikspolitiska partiet; ;1496;;
KF;2425;Dorotea;SKP;Skp;1586;;https://skp.se
KF;2425;Dorotea;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2425;Dorotea;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2425;Dorotea;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2425;Dorotea;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2425;Dorotea;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2425;Dorotea;Svensk Jobbdemokrati; ;1603;;
KF;2425;Dorotea;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2425;Dorotea;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2425;Dorotea;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2425;Dorotea;Sverigedemokraterna;SD;110;5.562273276904474;https://sd.se/
KF;2425;Dorotea;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2425;Dorotea;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2425;Dorotea;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2425;Dorotea;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2425;Dorotea;Upprorsdemokraterna; ;1630;;
KF;2425;Dorotea;Valsamverkanspartiet; ;1526;;
KF;2425;Dorotea;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2425;Dorotea;Volt Sverige;Volt;1610;;
KF;2425;Dorotea;Vänsterpartiet;V;5;4.897218863361548;https://www.vansterpartiet.se/
KF;2425;Dorotea;Yggdrasil; ;1454;;
KF;2425;Dorotea;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
