VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1730;Eda;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1730;Eda;ANDOPARTIET; ;1602;;
KF;1730;Eda;Arbetarepartiet-Socialdemokraterna;S;2;29.978448275862068;https://www.socialdemokraterna.se/
KF;1730;Eda;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1730;Eda;Centerpartiet;C;4;18.75;https://www.centerpartiet.se/
KF;1730;Eda;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1730;Eda;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1730;Eda;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1730;Eda;Enad Politik; ;1589;;
KF;1730;Eda;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1730;Eda;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1730;Eda;EUSEC; ;1534;;
KF;1730;Eda;Feministiskt initiativ;FI;532;0.021551724137931036;https://feministisktinitiativ.se/
KF;1730;Eda;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1730;Eda;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1730;Eda;Fredspartiet; ;1484;;
KF;1730;Eda;Fria Wermland; ;1548;;https://friawermland.se/
KF;1730;Eda;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1730;Eda;Fritt val; ;1479;;
KF;1730;Eda;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1730;Eda;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1730;Eda;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1730;Eda;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1730;Eda;Hela Edas Lista;HEL;160;13.491379310344827;
KF;1730;Eda;Humanistisk demokrati (HD);HD;1480;;
KF;1730;Eda;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1730;Eda;Kalle ankapartiet; ;1579;;
KF;1730;Eda;Kapitalism med vänligt ansikte; ;1495;;
KF;1730;Eda;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1730;Eda;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1730;Eda;Kristdemokraterna;KD;68;4.288793103448276;https://kristdemokraterna.se/
KF;1730;Eda;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1730;Eda;Kärlek; ;1465;;
KF;1730;Eda;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1730;Eda;Liberalerna (tidigare Folkpartiet);L;3;3.383620689655172;https://www.liberalerna.se/
KF;1730;Eda;Majspartiet; ;1471;;
KF;1730;Eda;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1730;Eda;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1730;Eda;Miljöpartiet de gröna;MP;55;0.2801724137931034;https://www.mp.se/
KF;1730;Eda;Min röst; ;1437;;
KF;1730;Eda;MITT SVERIGE; ;1591;;
KF;1730;Eda;Moderaterna;M;1;12.327586206896552;https://moderaterna.se/
KF;1730;Eda;Monisterna; ;1502;;
KF;1730;Eda;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1730;Eda;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1730;Eda;NaturFilosoferna; ;1460;;
KF;1730;Eda;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1730;Eda;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1730;Eda;Nya Frihetspartiet; ;1443;;
KF;1730;Eda;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1730;Eda;OK; ;1478;;
KF;1730;Eda;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1730;Eda;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1730;Eda;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1730;Eda;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1730;Eda;Pax; ;1491;;https://www.paxpartiet.se/
KF;1730;Eda;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1730;Eda;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1730;Eda;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1730;Eda;Rikspolitiska partiet; ;1496;;
KF;1730;Eda;Sjukvårdspartiet i Värmland;SjvV;250;0.0;
KF;1730;Eda;SKP; ;1586;;https://skp.se
KF;1730;Eda;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1730;Eda;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1730;Eda;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1730;Eda;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1730;Eda;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1730;Eda;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1730;Eda;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1730;Eda;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1730;Eda;Sverigedemokraterna;SD;110;11.918103448275861;https://sd.se/
KF;1730;Eda;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1730;Eda;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1730;Eda;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1730;Eda;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1730;Eda;Valsamverkanspartiet; ;1526;;
KF;1730;Eda;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1730;Eda;Vänsterpartiet;V;5;5.452586206896552;https://www.vansterpartiet.se/
KF;1730;Eda;Yggdrasil; ;1454;;
