VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;686;Eksjö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;686;Eksjö;ANARKISTERNA; ;1628;;
KF;686;Eksjö;ANDOPARTIET; ;1602;;
KF;686;Eksjö;Arbetarepartiet-Socialdemokraterna;S;2;27.557522123893808;https://www.socialdemokraterna.se/
KF;686;Eksjö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;686;Eksjö;Bjornpartiet; ;1629;;
KF;686;Eksjö;Centerpartiet;C;4;19.92920353982301;https://www.centerpartiet.se/
KF;686;Eksjö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;686;Eksjö;Det minst dåliga partiet; ;1622;;
KF;686;Eksjö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;686;Eksjö;Drivkraft; ;1621;;
KF;686;Eksjö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;686;Eksjö;Enad Politik; ;1589;;
KF;686;Eksjö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;686;Eksjö;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;686;Eksjö;Enskild person/Riksdagen val; ;1614;;
KF;686;Eksjö;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;686;Eksjö;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;686;Eksjö;EUSEC; ;1534;;
KF;686;Eksjö;FAMILJENS FRIHET; ;1606;;
KF;686;Eksjö;Fattigmans parti; ;1618;;
KF;686;Eksjö;Feministiskt initiativ;FI;532;0.21238938053097348;https://feministisktinitiativ.se/
KF;686;Eksjö;FN Parti art.27; ;1631;;
KF;686;Eksjö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;686;Eksjö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;686;Eksjö;Fredspartiet; ;1484;;
KF;686;Eksjö;Fria Wermland; ;1548;;https://friawermland.se/
KF;686;Eksjö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;686;Eksjö;Fritt val; ;1479;;
KF;686;Eksjö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;686;Eksjö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;686;Eksjö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;686;Eksjö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;686;Eksjö;Humanistisk demokrati (HD);HD;1480;;
KF;686;Eksjö;Invandrarpartiet; ;1624;;
KF;686;Eksjö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;686;Eksjö;Kalle ankapartiet; ;1579;;
KF;686;Eksjö;Kapitalism med vänligt ansikte; ;1495;;
KF;686;Eksjö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;686;Eksjö;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;686;Eksjö;Kristdemokraterna;KD;68;8.610619469026549;https://kristdemokraterna.se/
KF;686;Eksjö;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;686;Eksjö;KSP; ;1612;;
KF;686;Eksjö;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;686;Eksjö;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;686;Eksjö;Liberalerna (tidigare Folkpartiet);L;3;4.053097345132743;https://www.liberalerna.se/
KF;686;Eksjö;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;686;Eksjö;Medborgarresan; ;1330;;https://citizenwell.se/
KF;686;Eksjö;Medborgerlig Samling;MED;1296;0.3185840707964602;https://www.medborgerligsamling.se/
KF;686;Eksjö;Miljöpartiet de gröna;MP;55;3.672566371681416;https://www.mp.se/
KF;686;Eksjö;Min röst; ;1437;;
KF;686;Eksjö;MITT SVERIGE; ;1591;;
KF;686;Eksjö;MoD; ;1568;;https://partietmod.se/
KF;686;Eksjö;Moderaterna;M;1;18.061946902654867;https://moderaterna.se/
KF;686;Eksjö;Monisterna; ;1502;;
KF;686;Eksjö;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;686;Eksjö;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;686;Eksjö;NaturFilosoferna; ;1460;;
KF;686;Eksjö;Naturistpartiet; ;1627;;
KF;686;Eksjö;Neoteknokraterna; ;1613;;
KF;686;Eksjö;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;686;Eksjö;Nu får det fan vara nog; ;1623;;
KF;686;Eksjö;Ny Demokrati; ;1596;;
KF;686;Eksjö;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;686;Eksjö;Nya Frihetspartiet; ;1443;;
KF;686;Eksjö;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;686;Eksjö;OK; ;1478;;
KF;686;Eksjö;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;686;Eksjö;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;686;Eksjö;Partiet Frihet; ;1599;;
KF;686;Eksjö;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;686;Eksjö;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;686;Eksjö;Pax; ;1491;;https://www.paxpartiet.se/
KF;686;Eksjö;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;686;Eksjö;Politiskt Skifte; ;1617;;
KF;686;Eksjö;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;686;Eksjö;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;686;Eksjö;Reformpartiet; ;1616;;
KF;686;Eksjö;Rikspolitiska partiet; ;1496;;
KF;686;Eksjö;SKP;Skp;1586;;https://skp.se
KF;686;Eksjö;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;686;Eksjö;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;686;Eksjö;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
