VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;484;Eskilstuna;Alternativ för Sverige;AfS;1325;
KF;484;Eskilstuna;ANDOPARTIET; ;1602;
KF;484;Eskilstuna;Arbetarepartiet-Socialdemokraterna;S;2;35.28905712319339
KF;484;Eskilstuna;Basinkomstpartiet; ;1525;
KF;484;Eskilstuna;Centerpartiet;C;4;5.699806043921667
KF;484;Eskilstuna;Common sense in Sweden;CSIS;1318;0.0
KF;484;Eskilstuna;Direktdemokraterna;DD;1150;0.0
KF;484;Eskilstuna;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;484;Eskilstuna;Enad Politik; ;1589;
KF;484;Eskilstuna;Enade Sverige; ;1448;
KF;484;Eskilstuna;Enhet;ENH;189;0.0
KF;484;Eskilstuna;EUSEC; ;1534;
KF;484;Eskilstuna;Feministiskt initiativ;FI;532;0.22054683100794595
KF;484;Eskilstuna;FOLKOMROSTA2021.SE; ;1489;
KF;484;Eskilstuna;FramtidsTro;FT;1449;
KF;484;Eskilstuna;Fredspartiet; ;1484;
KF;484;Eskilstuna;Fria Wermland; ;1548;
KF;484;Eskilstuna;Frihetsrörelsen; ;1573;
KF;484;Eskilstuna;Fritt val; ;1479;
KF;484;Eskilstuna;Förenade Demokratiska Partiet; ;1577;
KF;484;Eskilstuna;Företaget Sverige; ;1510;
KF;484;Eskilstuna;GRÖNA DEMOKRATER; ;1601;
KF;484;Eskilstuna;Gula västarna; ;1436;
KF;484;Eskilstuna;Humanistisk demokrati (HD);HD;1480;
KF;484;Eskilstuna;John Mikkonen; ;1598;
KF;484;Eskilstuna;Kalle ankapartiet; ;1579;
KF;484;Eskilstuna;Kapitalism med vänligt ansikte; ;1495;
KF;484;Eskilstuna;Klassiskt liberala partiet;KLP;638;0.0
KF;484;Eskilstuna;Knapptryckarna; ;1505;
KF;484;Eskilstuna;Kristdemokraterna;KD;68;3.4599261715572793
KF;484;Eskilstuna;Kristna Värdepartiet; ;1551;
KF;484;Eskilstuna;Kärlek; ;1465;
KF;484;Eskilstuna;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;484;Eskilstuna;Liberalerna (tidigare Folkpartiet);L;3;5.4276418694863295
KF;484;Eskilstuna;Majspartiet; ;1471;
KF;484;Eskilstuna;Medborgarresan; ;1330;
KF;484;Eskilstuna;Medborgerlig Samling;MED;1296;0.41137458549709066
KF;484;Eskilstuna;Miljöpartiet de gröna;MP;55;3.4802602765438277
KF;484;Eskilstuna;Min röst; ;1437;
KF;484;Eskilstuna;MITT SVERIGE; ;1591;
KF;484;Eskilstuna;Moderaterna;M;1;18.76368641681787
KF;484;Eskilstuna;Monisterna; ;1502;
KF;484;Eskilstuna;Mälaröarnas parti; ;1440;
KF;484;Eskilstuna;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;484;Eskilstuna;NaturFilosoferna; ;1460;
KF;484;Eskilstuna;Nix to the Six; ;1519;
KF;484;Eskilstuna;NY REFORM; ;1528;
KF;484;Eskilstuna;Nya Frihetspartiet; ;1443;
KF;484;Eskilstuna;Nya Samhällspartiet; ;1438;
KF;484;Eskilstuna;OK; ;1478;
KF;484;Eskilstuna;Ond Kyckling Partiet; ;1472;
KF;484;Eskilstuna;Partiet Folkomröstning; ;1578;
KF;484;Eskilstuna;Partiet Nyans; ;1439;
KF;484;Eskilstuna;Partiet Vändpunkt;PV;1430;
KF;484;Eskilstuna;Pax; ;1491;
KF;484;Eskilstuna;Piratpartiet;PP;524;0.0
KF;484;Eskilstuna;Positivt Samhällsinitiativ (PSI); ;1475;
KF;484;Eskilstuna;Rastliberalerna; ;1508;
KF;484;Eskilstuna;Rikspolitiska partiet; ;1496;
KF;484;Eskilstuna;SKP; ;1586;
KF;484;Eskilstuna;SKÅNEPARTIET;SKÅ;54;0.0
KF;484;Eskilstuna;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;484;Eskilstuna;Sociallibertarianerna; ;1507;
KF;484;Eskilstuna;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;484;Eskilstuna;Stram Kurs Sverige; ;1592;
KF;484;Eskilstuna;Svenska Rikslagen; ;1513;
KF;484;Eskilstuna;SVENSKARNA; ;1444;
KF;484;Eskilstuna;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;484;Eskilstuna;Sverigedemokraterna;SD;110;19.336169680285302
KF;484;Eskilstuna;Sverigepartiet; ;1457;
KF;484;Eskilstuna;Swexitpartiet; ;1461;
KF;484;Eskilstuna;Säkerhetspartiet; ;1466;
KF;484;Eskilstuna;TRYGGHETSPARTIET;TRP;1309;0.0
KF;484;Eskilstuna;Valsamverkanspartiet; ;1526;
KF;484;Eskilstuna;Vinningspartiet; ;1468;
KF;484;Eskilstuna;Vänsterpartiet;V;5;7.783269724081837
KF;484;Eskilstuna;Yggdrasil; ;1454;
KF;484;Eskilstuna;Ändrings partiet revolution; ;1404;
