VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1285;Eslöv;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1285;Eslöv;ANARKISTERNA; ;1628;;
KF;1285;Eslöv;ANDOPARTIET; ;1602;;
KF;1285;Eslöv;Arbetarepartiet-Socialdemokraterna;S;2;29.006609828527637;https://www.socialdemokraterna.se/
KF;1285;Eslöv;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1285;Eslöv;Bjornpartiet; ;1629;;
KF;1285;Eslöv;Centerpartiet;C;4;10.839160839160838;https://www.centerpartiet.se/
KF;1285;Eslöv;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1285;Eslöv;Det minst dåliga partiet; ;1622;;
KF;1285;Eslöv;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1285;Eslöv;Drivkraft; ;1621;;
KF;1285;Eslöv;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1285;Eslöv;Enad Politik; ;1589;;
KF;1285;Eslöv;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1285;Eslöv;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1285;Eslöv;Enskild person/Riksdagen val; ;1614;;
KF;1285;Eslöv;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1285;Eslöv;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1285;Eslöv;EUSEC; ;1534;;
KF;1285;Eslöv;FAMILJENS FRIHET; ;1606;;
KF;1285;Eslöv;Fattigmans parti; ;1618;;
KF;1285;Eslöv;Feministiskt initiativ;FI;532;0.3592298112846058;https://feministisktinitiativ.se/
KF;1285;Eslöv;FN Parti art.27; ;1631;;
KF;1285;Eslöv;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1285;Eslöv;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1285;Eslöv;Fredspartiet; ;1484;;
KF;1285;Eslöv;Fria Wermland; ;1548;;https://friawermland.se/
KF;1285;Eslöv;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1285;Eslöv;Fritt val; ;1479;;
KF;1285;Eslöv;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1285;Eslöv;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1285;Eslöv;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1285;Eslöv;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1285;Eslöv;Humanistisk demokrati (HD);HD;1480;;
KF;1285;Eslöv;Invandrarpartiet; ;1624;;
KF;1285;Eslöv;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1285;Eslöv;Kalle ankapartiet; ;1579;;
KF;1285;Eslöv;Kapitalism med vänligt ansikte; ;1495;;
KF;1285;Eslöv;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1285;Eslöv;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1285;Eslöv;Kristdemokraterna;KD;68;2.121850751987738;https://kristdemokraterna.se/
KF;1285;Eslöv;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1285;Eslöv;KSP; ;1612;;
KF;1285;Eslöv;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1285;Eslöv;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1285;Eslöv;Liberalerna (tidigare Folkpartiet);L;3;4.83283839448223;https://www.liberalerna.se/
KF;1285;Eslöv;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1285;Eslöv;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1285;Eslöv;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1285;Eslöv;Miljöpartiet de gröna;MP;55;3.0510585305105855;https://www.mp.se/
KF;1285;Eslöv;Min röst; ;1437;;
KF;1285;Eslöv;MITT SVERIGE; ;1591;;
KF;1285;Eslöv;MoD; ;1568;;https://partietmod.se/
KF;1285;Eslöv;Moderaterna;M;1;17.525625059871636;https://moderaterna.se/
KF;1285;Eslöv;Monisterna; ;1502;;
KF;1285;Eslöv;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1285;Eslöv;Nationalsocialistiska reformistiska Partiet; ;1595;;
