VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1445;Essunga;Alternativ för Sverige;AfS;1325;
KF;1445;Essunga;ANDOPARTIET; ;1602;
KF;1445;Essunga;Arbetarepartiet-Socialdemokraterna;S;2;21.81528662420382
KF;1445;Essunga;Basinkomstpartiet; ;1525;
KF;1445;Essunga;Centerpartiet;C;4;11.969214437367304
KF;1445;Essunga;Common sense in Sweden;CSIS;1318;0.0
KF;1445;Essunga;Direktdemokraterna;DD;1150;0.0
KF;1445;Essunga;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1445;Essunga;Enad Politik; ;1589;
KF;1445;Essunga;Enade Sverige; ;1448;
KF;1445;Essunga;Enhet;ENH;189;0.0
KF;1445;Essunga;EUSEC; ;1534;
KF;1445;Essunga;Feministiskt initiativ;FI;532;0.07961783439490447
KF;1445;Essunga;FOLKOMROSTA2021.SE; ;1489;
KF;1445;Essunga;FramtidsTro;FT;1449;
KF;1445;Essunga;Fredspartiet; ;1484;
KF;1445;Essunga;Fria Wermland; ;1548;
KF;1445;Essunga;Frihetsrörelsen; ;1573;
KF;1445;Essunga;Fritt val; ;1479;
KF;1445;Essunga;Förenade Demokratiska Partiet; ;1577;
KF;1445;Essunga;Företaget Sverige; ;1510;
KF;1445;Essunga;GRÖNA DEMOKRATER; ;1601;
KF;1445;Essunga;Gula västarna; ;1436;
KF;1445;Essunga;Humanistisk demokrati (HD);HD;1480;
KF;1445;Essunga;John Mikkonen; ;1598;
KF;1445;Essunga;Kalle ankapartiet; ;1579;
KF;1445;Essunga;Kapitalism med vänligt ansikte; ;1495;
KF;1445;Essunga;Klassiskt liberala partiet;KLP;638;0.0
KF;1445;Essunga;Knapptryckarna; ;1505;
KF;1445;Essunga;Kristdemokraterna;KD;68;3.0254777070063694
KF;1445;Essunga;Kristna Värdepartiet; ;1551;
KF;1445;Essunga;Kärlek; ;1465;
KF;1445;Essunga;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1445;Essunga;Liberalerna (tidigare Folkpartiet);L;3;2.3089171974522293
KF;1445;Essunga;Majspartiet; ;1471;
KF;1445;Essunga;Medborgarresan; ;1330;
KF;1445;Essunga;Medborgerlig Samling;MED;1296;0.0
KF;1445;Essunga;Miljöpartiet de gröna;MP;55;2.1231422505307855
KF;1445;Essunga;Min röst; ;1437;
KF;1445;Essunga;MITT SVERIGE; ;1591;
KF;1445;Essunga;Moderaterna;M;1;42.860934182590235
KF;1445;Essunga;Monisterna; ;1502;
KF;1445;Essunga;Mälaröarnas parti; ;1440;
KF;1445;Essunga;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1445;Essunga;NaturFilosoferna; ;1460;
KF;1445;Essunga;Nix to the Six; ;1519;
KF;1445;Essunga;NY REFORM; ;1528;
KF;1445;Essunga;Nya Frihetspartiet; ;1443;
KF;1445;Essunga;Nya Samhällspartiet; ;1438;
KF;1445;Essunga;OK; ;1478;
KF;1445;Essunga;Ond Kyckling Partiet; ;1472;
KF;1445;Essunga;Partiet Folkomröstning; ;1578;
KF;1445;Essunga;Partiet Nyans; ;1439;
KF;1445;Essunga;Partiet Vändpunkt;PV;1430;
KF;1445;Essunga;Pax; ;1491;
KF;1445;Essunga;Piratpartiet;PP;524;0.0
KF;1445;Essunga;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1445;Essunga;Rastliberalerna; ;1508;
KF;1445;Essunga;Rikspolitiska partiet; ;1496;
KF;1445;Essunga;SKP; ;1586;
KF;1445;Essunga;SKÅNEPARTIET;SKÅ;54;0.0
KF;1445;Essunga;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1445;Essunga;Sociallibertarianerna; ;1507;
KF;1445;Essunga;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1445;Essunga;Stram Kurs Sverige; ;1592;
KF;1445;Essunga;Svenska Rikslagen; ;1513;
KF;1445;Essunga;SVENSKARNA; ;1444;
KF;1445;Essunga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1445;Essunga;Sverigedemokraterna;SD;110;11.385350318471337
KF;1445;Essunga;Sverigepartiet; ;1457;
KF;1445;Essunga;Swexitpartiet; ;1461;
KF;1445;Essunga;Säkerhetspartiet; ;1466;
KF;1445;Essunga;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1445;Essunga;Valsamverkanspartiet; ;1526;
KF;1445;Essunga;Vinningspartiet; ;1468;
KF;1445;Essunga;Vänsterpartiet;V;5;4.378980891719745
KF;1445;Essunga;Yggdrasil; ;1454;
KF;1445;Essunga;Ändrings partiet revolution; ;1404;
