VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2080;Falun;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2080;Falun;ANDOPARTIET; ;1602;;
KF;2080;Falun;Arbetarepartiet-Socialdemokraterna;S;2;27.223967512068043;https://www.socialdemokraterna.se/
KF;2080;Falun;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2080;Falun;Centerpartiet;C;4;14.754935764820065;https://www.centerpartiet.se/
KF;2080;Falun;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2080;Falun;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2080;Falun;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2080;Falun;Enad Politik; ;1589;;
KF;2080;Falun;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2080;Falun;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2080;Falun;EUSEC; ;1534;;
KF;2080;Falun;Falupartiet;FAP;201;2.7149899113733302;https://falupartiet.se/
KF;2080;Falun;Feministiskt initiativ;FI;532;0.058743902127550894;https://feministisktinitiativ.se/
KF;2080;Falun;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2080;Falun;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2080;Falun;Fredspartiet; ;1484;;
KF;2080;Falun;Fria Wermland; ;1548;;https://friawermland.se/
KF;2080;Falun;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2080;Falun;Fritt val; ;1479;;
KF;2080;Falun;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2080;Falun;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2080;Falun;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2080;Falun;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2080;Falun;Humanistisk demokrati (HD);HD;1480;;
KF;2080;Falun;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
