VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1782;Filipstad;Alternativ för Sverige;AfS;1325;
KF;1782;Filipstad;ANDOPARTIET; ;1602;
KF;1782;Filipstad;Arbetarepartiet-Socialdemokraterna;S;2;43.03085575315397
KF;1782;Filipstad;Basinkomstpartiet; ;1525;
KF;1782;Filipstad;Centerpartiet;C;4;5.684754521963824
KF;1782;Filipstad;Common sense in Sweden;CSIS;1318;0.0
KF;1782;Filipstad;Direktdemokraterna;DD;1150;0.0
KF;1782;Filipstad;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1782;Filipstad;Enad Politik; ;1589;
KF;1782;Filipstad;Enade Sverige; ;1448;
KF;1782;Filipstad;Enhet;ENH;189;0.0
KF;1782;Filipstad;EUSEC; ;1534;
KF;1782;Filipstad;Feministiskt initiativ;FI;532;0.045599635202918376
KF;1782;Filipstad;FOLKOMROSTA2021.SE; ;1489;
KF;1782;Filipstad;FramtidsTro;FT;1449;
KF;1782;Filipstad;Fredspartiet; ;1484;
KF;1782;Filipstad;Fria Wermland; ;1548;
KF;1782;Filipstad;Frihetsrörelsen; ;1573;
KF;1782;Filipstad;Fritt val; ;1479;
KF;1782;Filipstad;Förenade Demokratiska Partiet; ;1577;
KF;1782;Filipstad;Företaget Sverige; ;1510;
KF;1782;Filipstad;GRÖNA DEMOKRATER; ;1601;
KF;1782;Filipstad;Gula västarna; ;1436;
KF;1782;Filipstad;Humanistisk demokrati (HD);HD;1480;
KF;1782;Filipstad;John Mikkonen; ;1598;
KF;1782;Filipstad;Kalle ankapartiet; ;1579;
KF;1782;Filipstad;Kapitalism med vänligt ansikte; ;1495;
KF;1782;Filipstad;Klassiskt liberala partiet;KLP;638;0.0
KF;1782;Filipstad;Knapptryckarna; ;1505;
KF;1782;Filipstad;Kristdemokraterna;KD;68;1.5807873537011703
KF;1782;Filipstad;Kristna Värdepartiet; ;1551;
KF;1782;Filipstad;Kärlek; ;1465;
KF;1782;Filipstad;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1782;Filipstad;Liberalerna (tidigare Folkpartiet);L;3;2.431980544155647
KF;1782;Filipstad;Majspartiet; ;1471;
KF;1782;Filipstad;Medborgarresan; ;1330;
KF;1782;Filipstad;Medborgerlig Samling;MED;1296;0.0
KF;1782;Filipstad;Miljöpartiet de gröna;MP;55;1.398388812889497
KF;1782;Filipstad;Min röst; ;1437;
KF;1782;Filipstad;MITT SVERIGE; ;1591;
KF;1782;Filipstad;Moderaterna;M;1;22.663018695850432
KF;1782;Filipstad;Monisterna; ;1502;
KF;1782;Filipstad;Mälaröarnas parti; ;1440;
KF;1782;Filipstad;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1782;Filipstad;NaturFilosoferna; ;1460;
KF;1782;Filipstad;Nix to the Six; ;1519;
KF;1782;Filipstad;NY REFORM; ;1528;
KF;1782;Filipstad;Nya Frihetspartiet; ;1443;
KF;1782;Filipstad;Nya Samhällspartiet; ;1438;
KF;1782;Filipstad;OK; ;1478;
KF;1782;Filipstad;Ond Kyckling Partiet; ;1472;
KF;1782;Filipstad;Partiet Folkomröstning; ;1578;
KF;1782;Filipstad;Partiet Nyans; ;1439;
KF;1782;Filipstad;Partiet Vändpunkt;PV;1430;
KF;1782;Filipstad;Pax; ;1491;
KF;1782;Filipstad;Piratpartiet;PP;524;0.0
KF;1782;Filipstad;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1782;Filipstad;Rastliberalerna; ;1508;
KF;1782;Filipstad;Rikspolitiska partiet; ;1496;
KF;1782;Filipstad;SKP; ;1586;
KF;1782;Filipstad;SKÅNEPARTIET;SKÅ;54;0.0
KF;1782;Filipstad;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1782;Filipstad;Sociallibertarianerna; ;1507;
KF;1782;Filipstad;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1782;Filipstad;Stram Kurs Sverige; ;1592;
KF;1782;Filipstad;Svenska Rikslagen; ;1513;
KF;1782;Filipstad;SVENSKARNA; ;1444;
KF;1782;Filipstad;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1782;Filipstad;Sverigedemokraterna;SD;110;16.035871713026296
KF;1782;Filipstad;Sverigepartiet; ;1457;
KF;1782;Filipstad;Swexitpartiet; ;1461;
KF;1782;Filipstad;Säkerhetspartiet; ;1466;
KF;1782;Filipstad;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1782;Filipstad;Valsamverkanspartiet; ;1526;
KF;1782;Filipstad;Vinningspartiet; ;1468;
KF;1782;Filipstad;Vänsterpartiet;V;5;7.0679434564523484
KF;1782;Filipstad;Yggdrasil; ;1454;
KF;1782;Filipstad;Ändrings partiet revolution; ;1404;
