VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;562;Finspång;Alternativ för Sverige;AfS;1325;
KF;562;Finspång;ANDOPARTIET; ;1602;
KF;562;Finspång;Arbetarepartiet-Socialdemokraterna;S;2;36.268635920300966
KF;562;Finspång;Basinkomstpartiet; ;1525;
KF;562;Finspång;Centerpartiet;C;4;7.614602201476941
KF;562;Finspång;Common sense in Sweden;CSIS;1318;0.0
KF;562;Finspång;Direktdemokraterna;DD;1150;0.0
KF;562;Finspång;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;562;Finspång;Enad Politik; ;1589;
KF;562;Finspång;Enade Sverige; ;1448;
KF;562;Finspång;Enhet;ENH;189;0.0
KF;562;Finspång;EUSEC; ;1534;
KF;562;Finspång;Feministiskt initiativ;FI;532;0.2508011704054619
KF;562;Finspång;FOLKOMROSTA2021.SE; ;1489;
KF;562;Finspång;FramtidsTro;FT;1449;
KF;562;Finspång;Fredspartiet; ;1484;
KF;562;Finspång;Fria Wermland; ;1548;
KF;562;Finspång;Frihetsrörelsen; ;1573;
KF;562;Finspång;Fritt val; ;1479;
KF;562;Finspång;Förenade Demokratiska Partiet; ;1577;
KF;562;Finspång;Företaget Sverige; ;1510;
KF;562;Finspång;GRÖNA DEMOKRATER; ;1601;
KF;562;Finspång;Gula västarna; ;1436;
KF;562;Finspång;Humanistisk demokrati (HD);HD;1480;
KF;562;Finspång;John Mikkonen; ;1598;
KF;562;Finspång;Kalle ankapartiet; ;1579;
KF;562;Finspång;Kapitalism med vänligt ansikte; ;1495;
KF;562;Finspång;Klassiskt liberala partiet;KLP;638;0.0
KF;562;Finspång;Knapptryckarna; ;1505;
KF;562;Finspång;Kristdemokraterna;KD;68;5.197157586735405
KF;562;Finspång;Kristna Värdepartiet; ;1551;
KF;562;Finspång;Kärlek; ;1465;
KF;562;Finspång;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;562;Finspång;Liberalerna (tidigare Folkpartiet);L;3;5.009056708931308
KF;562;Finspång;Majspartiet; ;1471;
KF;562;Finspång;Medborgarresan; ;1330;
KF;562;Finspång;Medborgerlig Samling;MED;1296;0.0
KF;562;Finspång;Miljöpartiet de gröna;MP;55;3.135014630068274
KF;562;Finspång;Min röst; ;1437;
KF;562;Finspång;MITT SVERIGE; ;1591;
KF;562;Finspång;Moderaterna;M;1;16.685244531141144
KF;562;Finspång;Monisterna; ;1502;
KF;562;Finspång;Mälaröarnas parti; ;1440;
KF;562;Finspång;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;562;Finspång;NaturFilosoferna; ;1460;
KF;562;Finspång;Nix to the Six; ;1519;
KF;562;Finspång;NY REFORM; ;1528;
KF;562;Finspång;Nya Frihetspartiet; ;1443;
KF;562;Finspång;Nya Samhällspartiet; ;1438;
KF;562;Finspång;OK; ;1478;
KF;562;Finspång;Ond Kyckling Partiet; ;1472;
KF;562;Finspång;Partiet Folkomröstning; ;1578;
KF;562;Finspång;Partiet Nyans; ;1439;
KF;562;Finspång;Partiet Vändpunkt;PV;1430;
KF;562;Finspång;Pax; ;1491;
KF;562;Finspång;Piratpartiet;PP;524;0.0
KF;562;Finspång;Positivt Samhällsinitiativ (PSI); ;1475;
KF;562;Finspång;Rastliberalerna; ;1508;
KF;562;Finspång;Rikspolitiska partiet; ;1496;
KF;562;Finspång;SKP; ;1586;
KF;562;Finspång;SKÅNEPARTIET;SKÅ;54;0.0
KF;562;Finspång;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;562;Finspång;Sociallibertarianerna; ;1507;
KF;562;Finspång;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;562;Finspång;Stram Kurs Sverige; ;1592;
KF;562;Finspång;Svenska Rikslagen; ;1513;
KF;562;Finspång;SVENSKARNA; ;1444;
KF;562;Finspång;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;562;Finspång;Sverigedemokraterna;SD;110;16.720078027030794
KF;562;Finspång;Sverigepartiet; ;1457;
KF;562;Finspång;Swexitpartiet; ;1461;
KF;562;Finspång;Säkerhetspartiet; ;1466;
KF;562;Finspång;TRYGGHETSPARTIET;TRP;1309;0.0
KF;562;Finspång;Valsamverkanspartiet; ;1526;
KF;562;Finspång;Vinningspartiet; ;1468;
KF;562;Finspång;Vänsterpartiet;V;5;8.624773582276719
KF;562;Finspång;Yggdrasil; ;1454;
KF;562;Finspång;Ändrings partiet revolution; ;1404;
