VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1763;Forshaga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1763;Forshaga;ANDOPARTIET; ;1602;;
KF;1763;Forshaga;Arbetarepartiet-Socialdemokraterna;S;2;42.18215319821005;https://www.socialdemokraterna.se/
KF;1763;Forshaga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1763;Forshaga;Centerpartiet;C;4;12.72703342984996;https://www.centerpartiet.se/
KF;1763;Forshaga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1763;Forshaga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1763;Forshaga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1763;Forshaga;Enad Politik; ;1589;;
KF;1763;Forshaga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1763;Forshaga;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1763;Forshaga;EUSEC; ;1534;;
KF;1763;Forshaga;Feministiskt initiativ;FI;532;0.21058173203474598;https://feministisktinitiativ.se/
KF;1763;Forshaga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1763;Forshaga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1763;Forshaga;Fredspartiet; ;1484;;
KF;1763;Forshaga;Fria Wermland; ;1548;;https://friawermland.se/
KF;1763;Forshaga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1763;Forshaga;Fritt val; ;1479;;
KF;1763;Forshaga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1763;Forshaga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1763;Forshaga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1763;Forshaga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1763;Forshaga;Humanistisk demokrati (HD);HD;1480;;
KF;1763;Forshaga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1763;Forshaga;Kalle ankapartiet; ;1579;;
KF;1763;Forshaga;Kapitalism med vänligt ansikte; ;1495;;
KF;1763;Forshaga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1763;Forshaga;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1763;Forshaga;Kommunens Bästa;KomBä;1107;3.64569623585154;https://www.facebook.com/kommunensbesta/
KF;1763;Forshaga;Kristdemokraterna;KD;68;3.856277967886286;https://kristdemokraterna.se/
KF;1763;Forshaga;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1763;Forshaga;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1763;Forshaga;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1763;Forshaga;Liberalerna (tidigare Folkpartiet);L;3;2.1189786785996314;https://www.liberalerna.se/
KF;1763;Forshaga;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1763;Forshaga;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1763;Forshaga;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1763;Forshaga;Miljöpartiet de gröna;MP;55;2.0400105290866017;https://www.mp.se/
KF;1763;Forshaga;Min röst; ;1437;;
KF;1763;Forshaga;MITT SVERIGE; ;1591;;
KF;1763;Forshaga;Moderaterna;M;1;14.59594630165833;https://moderaterna.se/
KF;1763;Forshaga;Monisterna; ;1502;;
KF;1763;Forshaga;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1763;Forshaga;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1763;Forshaga;NaturFilosoferna; ;1460;;
KF;1763;Forshaga;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1763;Forshaga;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1763;Forshaga;Nya Frihetspartiet; ;1443;;
KF;1763;Forshaga;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1763;Forshaga;OK; ;1478;;
KF;1763;Forshaga;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1763;Forshaga;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1763;Forshaga;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1763;Forshaga;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1763;Forshaga;Pax; ;1491;;https://www.paxpartiet.se/
KF;1763;Forshaga;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1763;Forshaga;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1763;Forshaga;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1763;Forshaga;Rikspolitiska partiet; ;1496;;
KF;1763;Forshaga;SKP; ;1586;;https://skp.se
KF;1763;Forshaga;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1763;Forshaga;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1763;Forshaga;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1763;Forshaga;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1763;Forshaga;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1763;Forshaga;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1763;Forshaga;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1763;Forshaga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1763;Forshaga;Sverigedemokraterna;SD;110;13.148196893919453;https://sd.se/
KF;1763;Forshaga;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1763;Forshaga;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1763;Forshaga;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1763;Forshaga;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1763;Forshaga;Valsamverkanspartiet; ;1526;;
KF;1763;Forshaga;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1763;Forshaga;Vänsterpartiet;V;5;5.448802316399052;https://www.vansterpartiet.se/
KF;1763;Forshaga;Yggdrasil; ;1454;;
KF;1763;Forshaga;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
