VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;461;Gnesta;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;461;Gnesta;ANARKISTERNA; ;1628;;
KF;461;Gnesta;ANDOPARTIET; ;1602;;
KF;461;Gnesta;Arbetarepartiet-Socialdemokraterna;S;2;26.196403872752423;https://www.socialdemokraterna.se/
KF;461;Gnesta;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;461;Gnesta;Bjornpartiet; ;1629;;
KF;461;Gnesta;Centerpartiet;C;4;16.127247579529737;https://www.centerpartiet.se/
KF;461;Gnesta;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;461;Gnesta;Det minst dåliga partiet; ;1622;;
KF;461;Gnesta;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;461;Gnesta;Drivkraft; ;1621;;
KF;461;Gnesta;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;461;Gnesta;Enad Politik; ;1589;;
KF;461;Gnesta;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;461;Gnesta;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;461;Gnesta;Enskild person/Riksdagen val; ;1614;;
KF;461;Gnesta;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;461;Gnesta;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;461;Gnesta;EUSEC; ;1534;;
KF;461;Gnesta;FAMILJENS FRIHET; ;1606;;
KF;461;Gnesta;Fattigmans parti; ;1618;;
KF;461;Gnesta;Feministiskt initiativ;FI;532;2.2959889349930847;https://feministisktinitiativ.se/
KF;461;Gnesta;FN Parti art.27; ;1631;;
KF;461;Gnesta;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;461;Gnesta;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;461;Gnesta;Fredspartiet; ;1484;;
KF;461;Gnesta;Fria Wermland; ;1548;;https://friawermland.se/
KF;461;Gnesta;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;461;Gnesta;Fritt val; ;1479;;
KF;461;Gnesta;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;461;Gnesta;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;461;Gnesta;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;461;Gnesta;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;461;Gnesta;Humanistisk demokrati (HD);HD;1480;;
KF;461;Gnesta;Invandrarpartiet; ;1624;;
KF;461;Gnesta;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;461;Gnesta;Kalle ankapartiet; ;1579;;
KF;461;Gnesta;Kapitalism med vänligt ansikte; ;1495;;
KF;461;Gnesta;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;461;Gnesta;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;461;Gnesta;Kristdemokraterna;KD;68;1.438450899031812;https://kristdemokraterna.se/
KF;461;Gnesta;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;461;Gnesta;KSP; ;1612;;
KF;461;Gnesta;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;461;Gnesta;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;461;Gnesta;Liberalerna (tidigare Folkpartiet);L;3;3.0705394190871367;https://www.liberalerna.se/
KF;461;Gnesta;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
