VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;980;Gotland;Alternativ för Sverige;AfS;1325;
KF;980;Gotland;ANDOPARTIET; ;1602;
KF;980;Gotland;Arbetarepartiet-Socialdemokraterna;S;2;25.869651151299532
KF;980;Gotland;Basinkomstpartiet; ;1525;
KF;980;Gotland;Centerpartiet;C;4;25.07411799584939
KF;980;Gotland;Common sense in Sweden;CSIS;1318;0.0
KF;980;Gotland;Direktdemokraterna;DD;1150;0.002470599861646408
KF;980;Gotland;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;980;Gotland;Enad Politik; ;1589;
KF;980;Gotland;Enade Sverige; ;1448;
KF;980;Gotland;Enhet;ENH;189;0.0
KF;980;Gotland;EUSEC; ;1534;
KF;980;Gotland;Feministiskt initiativ;FI;532;2.248245874098231
KF;980;Gotland;FOLKOMROSTA2021.SE; ;1489;
KF;980;Gotland;FramtidsTro;FT;1449;
KF;980;Gotland;Fredspartiet; ;1484;
KF;980;Gotland;Fria Wermland; ;1548;
KF;980;Gotland;Frihetsrörelsen; ;1573;
KF;980;Gotland;Fritt val; ;1479;
KF;980;Gotland;Förenade Demokratiska Partiet; ;1577;
KF;980;Gotland;Företaget Sverige; ;1510;
KF;980;Gotland;GRÖNA DEMOKRATER; ;1601;
KF;980;Gotland;Gula västarna; ;1436;
KF;980;Gotland;Humanistisk demokrati (HD);HD;1480;
KF;980;Gotland;John Mikkonen; ;1598;
KF;980;Gotland;Kalle ankapartiet; ;1579;
KF;980;Gotland;Kapitalism med vänligt ansikte; ;1495;
KF;980;Gotland;Klassiskt liberala partiet;KLP;638;0.0
KF;980;Gotland;Knapptryckarna; ;1505;
KF;980;Gotland;Kristdemokraterna;KD;68;2.339658068979148
KF;980;Gotland;Kristna Värdepartiet; ;1551;
KF;980;Gotland;Kärlek; ;1465;
KF;980;Gotland;Landsbygdspartiet Oberoende;LPo;1011;0.39529597786342524
KF;980;Gotland;Liberalerna (tidigare Folkpartiet);L;3;4.620021741278783
KF;980;Gotland;Majspartiet; ;1471;
KF;980;Gotland;Medborgarresan; ;1330;
KF;980;Gotland;Medborgerlig Samling;MED;1296;0.0
KF;980;Gotland;Miljöpartiet de gröna;MP;55;6.201205652732483
KF;980;Gotland;Min röst; ;1437;
KF;980;Gotland;MITT SVERIGE; ;1591;
KF;980;Gotland;Moderaterna;M;1;15.35724873999407
KF;980;Gotland;Monisterna; ;1502;
KF;980;Gotland;Mälaröarnas parti; ;1440;
KF;980;Gotland;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;980;Gotland;NaturFilosoferna; ;1460;
KF;980;Gotland;Nix to the Six; ;1519;
KF;980;Gotland;NY REFORM; ;1528;
KF;980;Gotland;Nya Frihetspartiet; ;1443;
KF;980;Gotland;Nya Samhällspartiet; ;1438;
KF;980;Gotland;OK; ;1478;
KF;980;Gotland;Ond Kyckling Partiet; ;1472;
KF;980;Gotland;Partiet Folkomröstning; ;1578;
KF;980;Gotland;Partiet Nyans; ;1439;
KF;980;Gotland;Partiet Vändpunkt;PV;1430;
KF;980;Gotland;Pax; ;1491;
KF;980;Gotland;Piratpartiet;PP;524;0.0
KF;980;Gotland;Positivt Samhällsinitiativ (PSI); ;1475;
KF;980;Gotland;Rastliberalerna; ;1508;
KF;980;Gotland;Rikspolitiska partiet; ;1496;
KF;980;Gotland;SKP; ;1586;
KF;980;Gotland;SKÅNEPARTIET;SKÅ;54;0.0
KF;980;Gotland;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;980;Gotland;Sociallibertarianerna; ;1507;
KF;980;Gotland;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;980;Gotland;Stram Kurs Sverige; ;1592;
KF;980;Gotland;Svenska Rikslagen; ;1513;
KF;980;Gotland;SVENSKARNA; ;1444;
KF;980;Gotland;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;980;Gotland;Sverigedemokraterna;SD;110;8.40498072932108
KF;980;Gotland;Sverigepartiet; ;1457;
KF;980;Gotland;Swexitpartiet; ;1461;
KF;980;Gotland;Säkerhetspartiet; ;1466;
KF;980;Gotland;TRYGGHETSPARTIET;TRP;1309;0.0
KF;980;Gotland;Valsamverkanspartiet; ;1526;
KF;980;Gotland;Vinningspartiet; ;1468;
KF;980;Gotland;Vänsterpartiet;V;5;9.370985275224825
KF;980;Gotland;Yggdrasil; ;1454;
KF;980;Gotland;Ändrings partiet revolution; ;1404;
