VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1764;Grums;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1764;Grums;ANDOPARTIET; ;1602;;
KF;1764;Grums;Arbetarepartiet-Socialdemokraterna;S;2;55.9871643303496;https://www.socialdemokraterna.se/
KF;1764;Grums;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1764;Grums;Centerpartiet;C;4;8.934301638236784;https://www.centerpartiet.se/
KF;1764;Grums;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1764;Grums;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1764;Grums;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1764;Grums;Enad Politik; ;1589;;
KF;1764;Grums;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1764;Grums;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1764;Grums;EUSEC; ;1534;;
KF;1764;Grums;Feministiskt initiativ;FI;532;0.10133423408208073;https://feministisktinitiativ.se/
KF;1764;Grums;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1764;Grums;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1764;Grums;Fredspartiet; ;1484;;
KF;1764;Grums;Fria Wermland; ;1548;;https://friawermland.se/
KF;1764;Grums;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1764;Grums;Fritt val; ;1479;;
KF;1764;Grums;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1764;Grums;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1764;Grums;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1764;Grums;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1764;Grums;Humanistisk demokrati (HD);HD;1480;;
KF;1764;Grums;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1764;Grums;Kalle ankapartiet; ;1579;;
KF;1764;Grums;Kapitalism med vänligt ansikte; ;1495;;
KF;1764;Grums;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1764;Grums;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1764;Grums;Kristdemokraterna;KD;68;1.114676574902888;https://kristdemokraterna.se/
KF;1764;Grums;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1764;Grums;Kärlek; ;1465;;
KF;1764;Grums;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1764;Grums;Liberalerna (tidigare Folkpartiet);L;3;0.7262286775882453;https://www.liberalerna.se/
KF;1764;Grums;Majspartiet; ;1471;;
KF;1764;Grums;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1764;Grums;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1764;Grums;Miljöpartiet de gröna;MP;55;3.056916061476102;https://www.mp.se/
KF;1764;Grums;Min röst; ;1437;;
KF;1764;Grums;MITT SVERIGE; ;1591;;
KF;1764;Grums;Moderaterna;M;1;11.670325958452963;https://moderaterna.se/
KF;1764;Grums;Monisterna; ;1502;;
KF;1764;Grums;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1764;Grums;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1764;Grums;NaturFilosoferna; ;1460;;
KF;1764;Grums;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1764;Grums;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1764;Grums;Nya Frihetspartiet; ;1443;;
KF;1764;Grums;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1764;Grums;OK; ;1478;;
KF;1764;Grums;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1764;Grums;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1764;Grums;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1764;Grums;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1764;Grums;Pax; ;1491;;https://www.paxpartiet.se/
KF;1764;Grums;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1764;Grums;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1764;Grums;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1764;Grums;Rikspolitiska partiet; ;1496;;
KF;1764;Grums;SKP; ;1586;;https://skp.se
KF;1764;Grums;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
