VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1444;Grästorp;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1444;Grästorp;ANDOPARTIET; ;1602;;
KF;1444;Grästorp;Arbetarepartiet-Socialdemokraterna;S;2;19.47755516104489;https://www.socialdemokraterna.se/
KF;1444;Grästorp;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1444;Grästorp;Centerpartiet;C;4;18.48846056302308;https://www.centerpartiet.se/
KF;1444;Grästorp;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1444;Grästorp;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1444;Grästorp;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1444;Grästorp;Enad Politik; ;1589;;
KF;1444;Grästorp;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1444;Grästorp;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1444;Grästorp;EUSEC; ;1534;;
KF;1444;Grästorp;Feministiskt initiativ;FI;532;0.10144559979710879;https://feministisktinitiativ.se/
KF;1444;Grästorp;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1444;Grästorp;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1444;Grästorp;Fredspartiet; ;1484;;
KF;1444;Grästorp;Fria Wermland; ;1548;;https://friawermland.se/
KF;1444;Grästorp;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1444;Grästorp;Fritt val; ;1479;;
KF;1444;Grästorp;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1444;Grästorp;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1444;Grästorp;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1444;Grästorp;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1444;Grästorp;Humanistisk demokrati (HD);HD;1480;;
KF;1444;Grästorp;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1444;Grästorp;Kalle ankapartiet; ;1579;;
KF;1444;Grästorp;Kapitalism med vänligt ansikte; ;1495;;
KF;1444;Grästorp;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1444;Grästorp;Knapptryckarna; ;1505;;https://knapptryckarna.se/
