VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1447;Gullspång;Alternativ för Sverige;AfS;1325;
KF;1447;Gullspång;ANDOPARTIET; ;1602;
KF;1447;Gullspång;Arbetarepartiet-Socialdemokraterna;S;2;33.217592592592595
KF;1447;Gullspång;Basinkomstpartiet; ;1525;
KF;1447;Gullspång;Centerpartiet;C;4;9.98263888888889
KF;1447;Gullspång;Common sense in Sweden;CSIS;1318;0.0
KF;1447;Gullspång;Direktdemokraterna;DD;1150;0.0
KF;1447;Gullspång;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1447;Gullspång;Enad Politik; ;1589;
KF;1447;Gullspång;Enade Sverige; ;1448;
KF;1447;Gullspång;Enhet;ENH;189;0.0
KF;1447;Gullspång;EUSEC; ;1534;
KF;1447;Gullspång;Feministiskt initiativ;FI;532;4.079861111111112
KF;1447;Gullspång;FOLKOMROSTA2021.SE; ;1489;
KF;1447;Gullspång;FramtidsTro;FT;1449;
KF;1447;Gullspång;Fredspartiet; ;1484;
KF;1447;Gullspång;Fria Wermland; ;1548;
KF;1447;Gullspång;Frihetsrörelsen; ;1573;
KF;1447;Gullspång;Fritt val; ;1479;
KF;1447;Gullspång;Förenade Demokratiska Partiet; ;1577;
KF;1447;Gullspång;Företaget Sverige; ;1510;
KF;1447;Gullspång;GRÖNA DEMOKRATER; ;1601;
KF;1447;Gullspång;Gula västarna; ;1436;
KF;1447;Gullspång;Humanistisk demokrati (HD);HD;1480;
KF;1447;Gullspång;John Mikkonen; ;1598;
KF;1447;Gullspång;Kalle ankapartiet; ;1579;
KF;1447;Gullspång;Kapitalism med vänligt ansikte; ;1495;
KF;1447;Gullspång;Klassiskt liberala partiet;KLP;638;0.0
KF;1447;Gullspång;Knapptryckarna; ;1505;
KF;1447;Gullspång;Kristdemokraterna;KD;68;0.6365740740740741
KF;1447;Gullspång;Kristna Värdepartiet; ;1551;
KF;1447;Gullspång;Kärlek; ;1465;
KF;1447;Gullspång;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1447;Gullspång;Liberalerna (tidigare Folkpartiet);L;3;3.761574074074074
KF;1447;Gullspång;Majspartiet; ;1471;
KF;1447;Gullspång;Medborgarresan; ;1330;
KF;1447;Gullspång;Medborgerlig Samling;MED;1296;0.0
KF;1447;Gullspång;Miljöpartiet de gröna;MP;55;1.244212962962963
KF;1447;Gullspång;Min röst; ;1437;
KF;1447;Gullspång;MITT SVERIGE; ;1591;
KF;1447;Gullspång;Moderaterna;M;1;26.822916666666668
KF;1447;Gullspång;Monisterna; ;1502;
KF;1447;Gullspång;Mälaröarnas parti; ;1440;
KF;1447;Gullspång;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1447;Gullspång;NaturFilosoferna; ;1460;
KF;1447;Gullspång;Nix to the Six; ;1519;
KF;1447;Gullspång;NY REFORM; ;1528;
KF;1447;Gullspång;Nya Frihetspartiet; ;1443;
KF;1447;Gullspång;Nya Samhällspartiet; ;1438;
KF;1447;Gullspång;OK; ;1478;
KF;1447;Gullspång;Ond Kyckling Partiet; ;1472;
KF;1447;Gullspång;Partiet Folkomröstning; ;1578;
KF;1447;Gullspång;Partiet Nyans; ;1439;
KF;1447;Gullspång;Partiet Vändpunkt;PV;1430;
KF;1447;Gullspång;Pax; ;1491;
KF;1447;Gullspång;Piratpartiet;PP;524;0.0
KF;1447;Gullspång;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1447;Gullspång;Rastliberalerna; ;1508;
KF;1447;Gullspång;Rikspolitiska partiet; ;1496;
KF;1447;Gullspång;RÄTT VÄG för Gullspångs kommun;Rättv;1222;5.787037037037037
KF;1447;Gullspång;SKP; ;1586;
KF;1447;Gullspång;SKÅNEPARTIET;SKÅ;54;0.0
KF;1447;Gullspång;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1447;Gullspång;Sociallibertarianerna; ;1507;
KF;1447;Gullspång;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1447;Gullspång;Stram Kurs Sverige; ;1592;
KF;1447;Gullspång;Svenska Rikslagen; ;1513;
KF;1447;Gullspång;SVENSKARNA; ;1444;
KF;1447;Gullspång;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1447;Gullspång;Sverigedemokraterna;SD;110;9.54861111111111
KF;1447;Gullspång;Sverigepartiet; ;1457;
KF;1447;Gullspång;Swexitpartiet; ;1461;
KF;1447;Gullspång;Säkerhetspartiet; ;1466;
KF;1447;Gullspång;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1447;Gullspång;Valsamverkanspartiet; ;1526;
KF;1447;Gullspång;Vinningspartiet; ;1468;
KF;1447;Gullspång;Vänsterpartiet;V;5;4.282407407407407
KF;1447;Gullspång;Yggdrasil; ;1454;
KF;1447;Gullspång;Ändrings partiet revolution; ;1404;
