VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1480;Göteborg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1480;Göteborg;ANDOPARTIET; ;1602;;
KF;1480;Göteborg;Arbetarepartiet-Socialdemokraterna;S;2;20.4749265868534;https://www.socialdemokraterna.se/
KF;1480;Göteborg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1480;Göteborg;BOHUSLÄNPARTIET; ;1506;;
KF;1480;Göteborg;Centerpartiet;C;4;3.9499096453580305;https://www.centerpartiet.se/
KF;1480;Göteborg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1480;Göteborg;Demokraterna;DEM;1297;16.945166026654622;
KF;1480;Göteborg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1480;Göteborg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1480;Göteborg;Enad Politik; ;1589;;
KF;1480;Göteborg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1480;Göteborg;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1480;Göteborg;EUSEC; ;1534;;
KF;1480;Göteborg;Feministiskt initiativ;FI;532;2.3017845041789022;https://feministisktinitiativ.se/
KF;1480;Göteborg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1480;Göteborg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1480;Göteborg;Fredspartiet; ;1484;;
KF;1480;Göteborg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1480;Göteborg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1480;Göteborg;Fritt val; ;1479;;
KF;1480;Göteborg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1480;Göteborg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1480;Göteborg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1480;Göteborg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1480;Göteborg;Göteborgspartiet; ;1580;;
KF;1480;Göteborg;Humanistisk demokrati (HD);HD;1480;;
KF;1480;Göteborg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1480;Göteborg;Kalle ankapartiet; ;1579;;
KF;1480;Göteborg;Kapitalism med vänligt ansikte; ;1495;;
KF;1480;Göteborg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1480;Göteborg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1480;Göteborg;Kommunistiska Partiet;K;471;0.486220917099616;
KF;1480;Göteborg;Kristdemokraterna;KD;68;3.324203749717642;https://kristdemokraterna.se/
KF;1480;Göteborg;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1480;Göteborg;Kärlek; ;1465;;
KF;1480;Göteborg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1480;Göteborg;Liberalerna (tidigare Folkpartiet);L;3;7.228936074090806;https://www.liberalerna.se/
KF;1480;Göteborg;Majspartiet; ;1471;;
KF;1480;Göteborg;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1480;Göteborg;Medborgerlig Samling;MED;1296;0.16969731194940138;https://www.medborgerligsamling.se/
KF;1480;Göteborg;Miljöpartiet de gröna;MP;55;6.939236503275356;https://www.mp.se/
KF;1480;Göteborg;Min röst; ;1437;;
KF;1480;Göteborg;MITT SVERIGE; ;1591;;
KF;1480;Göteborg;Moderaterna;M;1;14.527049920939689;https://moderaterna.se/
KF;1480;Göteborg;Monisterna; ;1502;;
KF;1480;Göteborg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1480;Göteborg;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1480;Göteborg;Naturens Parti; ;1281;;
KF;1480;Göteborg;NaturFilosoferna; ;1460;;
KF;1480;Göteborg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1480;Göteborg;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1480;Göteborg;Nya Frihetspartiet; ;1443;;
KF;1480;Göteborg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1480;Göteborg;OK; ;1478;;
KF;1480;Göteborg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1480;Göteborg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1480;Göteborg;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1480;Göteborg;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1480;Göteborg;Pax; ;1491;;https://www.paxpartiet.se/
KF;1480;Göteborg;Piratpartiet;PP;524;0.15190874181161057;https://piratpartiet.se/
KF;1480;Göteborg;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1480;Göteborg;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1480;Göteborg;Rikspolitiska partiet; ;1496;;
KF;1480;Göteborg;Seniorpartiet; ;470;0.00705895640388525;
KF;1480;Göteborg;SKP; ;1586;;https://skp.se
KF;1480;Göteborg;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1480;Göteborg;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1480;Göteborg;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1480;Göteborg;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1480;Göteborg;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1480;Göteborg;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1480;Göteborg;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1480;Göteborg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1480;Göteborg;Sverigedemokraterna;SD;110;8.288344251185904;https://sd.se/
KF;1480;Göteborg;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1480;Göteborg;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1480;Göteborg;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1480;Göteborg;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1480;Göteborg;Valsamverkanspartiet; ;1526;;
KF;1480;Göteborg;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1480;Göteborg;Vänsterpartiet;V;5;12.56466004065959;https://www.vansterpartiet.se/
KF;1480;Göteborg;Yggdrasil; ;1454;;
KF;1480;Göteborg;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
