VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1783;Hagfors;Alternativ för Sverige;AfS;1325;
KF;1783;Hagfors;ANDOPARTIET; ;1602;
KF;1783;Hagfors;Arbetarepartiet-Socialdemokraterna;S;2;35.67477164543934
KF;1783;Hagfors;Basinkomstpartiet; ;1525;
KF;1783;Hagfors;Centerpartiet;C;4;8.426604914447447
KF;1783;Hagfors;Common sense in Sweden;CSIS;1318;0.0
KF;1783;Hagfors;Direktdemokraterna;DD;1150;0.0
KF;1783;Hagfors;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1783;Hagfors;Enad Politik; ;1589;
KF;1783;Hagfors;Enade Sverige; ;1448;
KF;1783;Hagfors;Enhet;ENH;189;0.0
KF;1783;Hagfors;EUSEC; ;1534;
KF;1783;Hagfors;Feministiskt initiativ;FI;532;0.025730091341824263
KF;1783;Hagfors;FOLKOMROSTA2021.SE; ;1489;
KF;1783;Hagfors;FramtidsTro;FT;1449;
KF;1783;Hagfors;Fredspartiet; ;1484;
KF;1783;Hagfors;Fria Wermland; ;1548;
KF;1783;Hagfors;Frihetsrörelsen; ;1573;
KF;1783;Hagfors;Fritt val; ;1479;
KF;1783;Hagfors;Förenade Demokratiska Partiet; ;1577;
KF;1783;Hagfors;Företaget Sverige; ;1510;
KF;1783;Hagfors;GRÖNA DEMOKRATER; ;1601;
KF;1783;Hagfors;Gula västarna; ;1436;
KF;1783;Hagfors;Humanistisk demokrati (HD);HD;1480;
KF;1783;Hagfors;John Mikkonen; ;1598;
KF;1783;Hagfors;Kalle ankapartiet; ;1579;
KF;1783;Hagfors;Kapitalism med vänligt ansikte; ;1495;
KF;1783;Hagfors;Klassiskt liberala partiet;KLP;638;0.0
KF;1783;Hagfors;Knapptryckarna; ;1505;
KF;1783;Hagfors;Kristdemokraterna;KD;68;0.3344911874437154
KF;1783;Hagfors;Kristna Värdepartiet; ;1551;
KF;1783;Hagfors;Kärlek; ;1465;
KF;1783;Hagfors;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1783;Hagfors;Liberalerna (tidigare Folkpartiet);L;3;2.6759294995497234
KF;1783;Hagfors;Majspartiet; ;1471;
KF;1783;Hagfors;Medborgarresan; ;1330;
KF;1783;Hagfors;Medborgerlig Samling;MED;1296;0.0
KF;1783;Hagfors;Miljöpartiet de gröna;MP;55;0.8104978772674644
KF;1783;Hagfors;Min röst; ;1437;
KF;1783;Hagfors;MITT SVERIGE; ;1591;
KF;1783;Hagfors;Moderaterna;M;1;3.151936189373472
KF;1783;Hagfors;Monisterna; ;1502;
KF;1783;Hagfors;Mälaröarnas parti; ;1440;
KF;1783;Hagfors;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1783;Hagfors;NaturFilosoferna; ;1460;
KF;1783;Hagfors;Nix to the Six; ;1519;
KF;1783;Hagfors;NY REFORM; ;1528;
KF;1783;Hagfors;Nya Frihetspartiet; ;1443;
KF;1783;Hagfors;Nya Samhällspartiet; ;1438;
KF;1783;Hagfors;OBEROENDE REALISTER;OR;1305;36.472404477035894
KF;1783;Hagfors;OK; ;1478;
KF;1783;Hagfors;Ond Kyckling Partiet; ;1472;
KF;1783;Hagfors;Partiet Folkomröstning; ;1578;
KF;1783;Hagfors;Partiet Nyans; ;1439;
KF;1783;Hagfors;Partiet Vändpunkt;PV;1430;
KF;1783;Hagfors;Pax; ;1491;
KF;1783;Hagfors;Piratpartiet;PP;524;0.0
KF;1783;Hagfors;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1783;Hagfors;Rastliberalerna; ;1508;
KF;1783;Hagfors;Rikspolitiska partiet; ;1496;
KF;1783;Hagfors;SKP; ;1586;
KF;1783;Hagfors;SKÅNEPARTIET;SKÅ;54;0.0
KF;1783;Hagfors;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1783;Hagfors;Sociallibertarianerna; ;1507;
KF;1783;Hagfors;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1783;Hagfors;Stram Kurs Sverige; ;1592;
KF;1783;Hagfors;Svenska Rikslagen; ;1513;
KF;1783;Hagfors;SVENSKARNA; ;1444;
KF;1783;Hagfors;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1783;Hagfors;Sverigedemokraterna;SD;110;7.333076032419915
KF;1783;Hagfors;Sverigepartiet; ;1457;
KF;1783;Hagfors;Swexitpartiet; ;1461;
KF;1783;Hagfors;Säkerhetspartiet; ;1466;
KF;1783;Hagfors;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1783;Hagfors;Valsamverkanspartiet; ;1526;
KF;1783;Hagfors;Vinningspartiet; ;1468;
KF;1783;Hagfors;Vänsterpartiet;V;5;5.055962948668468
KF;1783;Hagfors;Yggdrasil; ;1454;
KF;1783;Hagfors;Ändrings partiet revolution; ;1404;
