VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1961;Hallstahammar;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1961;Hallstahammar;ANDOPARTIET; ;1602;;
KF;1961;Hallstahammar;Arbetarepartiet-Socialdemokraterna;S;2;39.10581803982819;https://www.socialdemokraterna.se/
KF;1961;Hallstahammar;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1961;Hallstahammar;Centerpartiet;C;4;5.710659898477157;https://www.centerpartiet.se/
KF;1961;Hallstahammar;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1961;Hallstahammar;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1961;Hallstahammar;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1961;Hallstahammar;Enad Politik; ;1589;;
KF;1961;Hallstahammar;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1961;Hallstahammar;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1961;Hallstahammar;EUSEC; ;1534;;
KF;1961;Hallstahammar;Feministiskt initiativ;FI;532;0.16595080046856697;https://feministisktinitiativ.se/
KF;1961;Hallstahammar;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1961;Hallstahammar;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1961;Hallstahammar;Fredspartiet; ;1484;;
KF;1961;Hallstahammar;Fria Wermland; ;1548;;https://friawermland.se/
KF;1961;Hallstahammar;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1961;Hallstahammar;Fritt val; ;1479;;
KF;1961;Hallstahammar;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1961;Hallstahammar;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1961;Hallstahammar;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1961;Hallstahammar;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1961;Hallstahammar;Humanistisk demokrati (HD);HD;1480;;
KF;1961;Hallstahammar;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1961;Hallstahammar;Kalle ankapartiet; ;1579;;
KF;1961;Hallstahammar;Kapitalism med vänligt ansikte; ;1495;;
KF;1961;Hallstahammar;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1961;Hallstahammar;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1961;Hallstahammar;Kristdemokraterna;KD;68;4.2171026942600545;https://kristdemokraterna.se/
KF;1961;Hallstahammar;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1961;Hallstahammar;Kärlek; ;1465;;
KF;1961;Hallstahammar;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1961;Hallstahammar;Liberalerna (tidigare Folkpartiet);L;3;7.028504490433425;https://www.liberalerna.se/
KF;1961;Hallstahammar;Majspartiet; ;1471;;
KF;1961;Hallstahammar;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1961;Hallstahammar;Medborgerlig Samling;MED;1296;0.34166341272940254;https://www.medborgerligsamling.se/
KF;1961;Hallstahammar;Miljöpartiet de gröna;MP;55;2.6356891839125343;https://www.mp.se/
KF;1961;Hallstahammar;Min röst; ;1437;;
KF;1961;Hallstahammar;MITT SVERIGE; ;1591;;
KF;1961;Hallstahammar;Moderaterna;M;1;17.190550566185085;https://moderaterna.se/
KF;1961;Hallstahammar;Monisterna; ;1502;;
KF;1961;Hallstahammar;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1961;Hallstahammar;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1961;Hallstahammar;NaturFilosoferna; ;1460;;
KF;1961;Hallstahammar;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1961;Hallstahammar;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1961;Hallstahammar;Nya Frihetspartiet; ;1443;;
KF;1961;Hallstahammar;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1961;Hallstahammar;OK; ;1478;;
KF;1961;Hallstahammar;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1961;Hallstahammar;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1961;Hallstahammar;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1961;Hallstahammar;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1961;Hallstahammar;Pax; ;1491;;https://www.paxpartiet.se/
KF;1961;Hallstahammar;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1961;Hallstahammar;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1961;Hallstahammar;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1961;Hallstahammar;Rikspolitiska partiet; ;1496;;
KF;1961;Hallstahammar;SKP; ;1586;;https://skp.se
KF;1961;Hallstahammar;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1961;Hallstahammar;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1961;Hallstahammar;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1961;Hallstahammar;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1961;Hallstahammar;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1961;Hallstahammar;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1961;Hallstahammar;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1961;Hallstahammar;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1961;Hallstahammar;Sverigedemokraterna;SD;110;14.76962124170246;https://sd.se/
KF;1961;Hallstahammar;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1961;Hallstahammar;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1961;Hallstahammar;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1961;Hallstahammar;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1961;Hallstahammar;Valsamverkanspartiet; ;1526;;
KF;1961;Hallstahammar;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1961;Hallstahammar;Vänsterpartiet;V;5;8.707536118703631;https://www.vansterpartiet.se/
KF;1961;Hallstahammar;Yggdrasil; ;1454;;
KF;1961;Hallstahammar;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
