VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1380;Halmstad;Alternativ för Sverige;AfS;1325;
KF;1380;Halmstad;ANDOPARTIET; ;1602;
KF;1380;Halmstad;Arbetarepartiet-Socialdemokraterna;S;2;31.11009244403698
KF;1380;Halmstad;Basinkomstpartiet; ;1525;
KF;1380;Halmstad;Centerpartiet;C;4;9.780731912292765
KF;1380;Halmstad;Common sense in Sweden;CSIS;1318;0.0
KF;1380;Halmstad;Direktdemokraterna;DD;1150;0.0
KF;1380;Halmstad;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1380;Halmstad;Enad Politik; ;1589;
KF;1380;Halmstad;Enade Sverige; ;1448;
KF;1380;Halmstad;Enhet;ENH;189;0.0
KF;1380;Halmstad;EUSEC; ;1534;
KF;1380;Halmstad;Feministiskt initiativ;FI;532;0.23836809534723813
KF;1380;Halmstad;FOLKOMROSTA2021.SE; ;1489;
KF;1380;Halmstad;FramtidsTro;FT;1449;
KF;1380;Halmstad;Fredspartiet; ;1484;
KF;1380;Halmstad;Fria Wermland; ;1548;
KF;1380;Halmstad;Frihetsrörelsen; ;1573;
KF;1380;Halmstad;Fritt val; ;1479;
KF;1380;Halmstad;Förenade Demokratiska Partiet; ;1577;
KF;1380;Halmstad;Företaget Sverige; ;1510;
KF;1380;Halmstad;GRÖNA DEMOKRATER; ;1601;
KF;1380;Halmstad;Gula västarna; ;1436;
KF;1380;Halmstad;Halmstads Lokala Parti; ;1563;
KF;1380;Halmstad;Hjärta för Halmstad; ;1542;
KF;1380;Halmstad;Humanistisk demokrati (HD);HD;1480;
KF;1380;Halmstad;John Mikkonen; ;1598;
KF;1380;Halmstad;Kalle ankapartiet; ;1579;
KF;1380;Halmstad;Kapitalism med vänligt ansikte; ;1495;
KF;1380;Halmstad;Klassiskt liberala partiet;KLP;638;0.0
KF;1380;Halmstad;Knapptryckarna; ;1505;
KF;1380;Halmstad;Kristdemokraterna;KD;68;6.222018488807395
KF;1380;Halmstad;Kristna Värdepartiet; ;1551;
KF;1380;Halmstad;Kärlek; ;1465;
KF;1380;Halmstad;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1380;Halmstad;Liberalerna (tidigare Folkpartiet);L;3;5.306746122698449
KF;1380;Halmstad;Majspartiet; ;1471;
KF;1380;Halmstad;Medborgarresan; ;1330;
KF;1380;Halmstad;Medborgerlig Samling;MED;1296;0.20780808312323323
KF;1380;Halmstad;Miljöpartiet de gröna;MP;55;3.7054014821605925
KF;1380;Halmstad;Min röst; ;1437;
KF;1380;Halmstad;MITT SVERIGE; ;1591;
KF;1380;Halmstad;Moderaterna;M;1;22.018488807395524
KF;1380;Halmstad;Monisterna; ;1502;
KF;1380;Halmstad;Mälaröarnas parti; ;1440;
KF;1380;Halmstad;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1380;Halmstad;NaturFilosoferna; ;1460;
KF;1380;Halmstad;Nix to the Six; ;1519;
KF;1380;Halmstad;NY REFORM; ;1528;
KF;1380;Halmstad;Nya Frihetspartiet; ;1443;
KF;1380;Halmstad;Nya Samhällspartiet; ;1438;
KF;1380;Halmstad;OK; ;1478;
KF;1380;Halmstad;Ond Kyckling Partiet; ;1472;
KF;1380;Halmstad;Partiet Folkomröstning; ;1578;
KF;1380;Halmstad;Partiet Nyans; ;1439;
KF;1380;Halmstad;Partiet Vändpunkt;PV;1430;
KF;1380;Halmstad;Pax; ;1491;
KF;1380;Halmstad;Piratpartiet;PP;524;0.0
KF;1380;Halmstad;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1380;Halmstad;Rastliberalerna; ;1508;
KF;1380;Halmstad;Rikspolitiska partiet; ;1496;
KF;1380;Halmstad;SKP; ;1586;
KF;1380;Halmstad;SKÅNEPARTIET;SKÅ;54;0.0
KF;1380;Halmstad;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1380;Halmstad;Sociallibertarianerna; ;1507;
KF;1380;Halmstad;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1380;Halmstad;Stram Kurs Sverige; ;1592;
KF;1380;Halmstad;Svenska Rikslagen; ;1513;
KF;1380;Halmstad;SVENSKARNA; ;1444;
KF;1380;Halmstad;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1380;Halmstad;Sverigedemokraterna;SD;110;13.68782947513179
KF;1380;Halmstad;Sverigepartiet; ;1457;
KF;1380;Halmstad;Swexitpartiet; ;1461;
KF;1380;Halmstad;Säkerhetspartiet; ;1466;
KF;1380;Halmstad;TRYGGHETSPARTIET;TRP;1309;0.843456337382535
KF;1380;Halmstad;Valsamverkanspartiet; ;1526;
KF;1380;Halmstad;Vinningspartiet; ;1468;
KF;1380;Halmstad;Vänsterpartiet;V;5;5.775842310336924
KF;1380;Halmstad;Yggdrasil; ;1454;
KF;1380;Halmstad;Ändrings partiet revolution; ;1404;
