VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1761;Hammarö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1761;Hammarö;ANDOPARTIET; ;1602;;
KF;1761;Hammarö;Arbetarepartiet-Socialdemokraterna;S;2;35.67592592592593;https://www.socialdemokraterna.se/
KF;1761;Hammarö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1761;Hammarö;Centerpartiet;C;4;6.472222222222222;https://www.centerpartiet.se/
KF;1761;Hammarö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1761;Hammarö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1761;Hammarö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1761;Hammarö;Enad Politik; ;1589;;
KF;1761;Hammarö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1761;Hammarö;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1761;Hammarö;EUSEC; ;1534;;
KF;1761;Hammarö;Feministiskt initiativ;FI;532;0.17592592592592593;https://feministisktinitiativ.se/
KF;1761;Hammarö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1761;Hammarö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1761;Hammarö;Fredspartiet; ;1484;;
KF;1761;Hammarö;Fria Wermland; ;1548;;https://friawermland.se/
KF;1761;Hammarö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1761;Hammarö;Fritt val; ;1479;;
KF;1761;Hammarö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1761;Hammarö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1761;Hammarö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1761;Hammarö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1761;Hammarö;Humanistisk demokrati (HD);HD;1480;;
KF;1761;Hammarö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1761;Hammarö;Kalle ankapartiet; ;1579;;
KF;1761;Hammarö;Kapitalism med vänligt ansikte; ;1495;;
KF;1761;Hammarö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1761;Hammarö;Knapptryckarna; ;1505;;https://knapptryckarna.se/
