VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;331;Heby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;331;Heby;ANDOPARTIET; ;1602;;
KF;331;Heby;Arbetarepartiet-Socialdemokraterna;S;2;28.725988076838156;https://www.socialdemokraterna.se/
KF;331;Heby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;331;Heby;Centerpartiet;C;4;23.96776330315743;https://www.centerpartiet.se/
KF;331;Heby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;331;Heby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;331;Heby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;331;Heby;Enad Politik; ;1589;;
KF;331;Heby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;331;Heby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;331;Heby;EUSEC; ;1534;;
KF;331;Heby;Feministiskt initiativ;FI;532;0.29807904614705233;https://feministisktinitiativ.se/
KF;331;Heby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;331;Heby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;331;Heby;Fredspartiet; ;1484;;
KF;331;Heby;Fria Wermland; ;1548;;https://friawermland.se/
KF;331;Heby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;331;Heby;Fritt val; ;1479;;
KF;331;Heby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;331;Heby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;331;Heby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;331;Heby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;331;Heby;Humanistisk demokrati (HD);HD;1480;;
KF;331;Heby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;331;Heby;Kalle ankapartiet; ;1579;;
KF;331;Heby;Kapitalism med vänligt ansikte; ;1495;;
KF;331;Heby;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;331;Heby;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;331;Heby;Kristdemokraterna;KD;68;5.9284610289247075;https://kristdemokraterna.se/
KF;331;Heby;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;331;Heby;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;331;Heby;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;331;Heby;Liberalerna (tidigare Folkpartiet);L;3;3.5990284831088544;https://www.liberalerna.se/
KF;331;Heby;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;331;Heby;Medborgarresan; ;1330;;https://citizenwell.se/
KF;331;Heby;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;331;Heby;Miljöpartiet de gröna;MP;55;3.0028703908147496;https://www.mp.se/
KF;331;Heby;Min röst; ;1437;;
KF;331;Heby;MITT SVERIGE; ;1591;;
KF;331;Heby;Moderaterna;M;1;10.256127180393023;https://moderaterna.se/
KF;331;Heby;Monisterna; ;1502;;
KF;331;Heby;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;331;Heby;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;331;Heby;NaturFilosoferna; ;1460;;
KF;331;Heby;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;331;Heby;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;331;Heby;Nya Frihetspartiet; ;1443;;
KF;331;Heby;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;331;Heby;OK; ;1478;;
KF;331;Heby;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;331;Heby;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;331;Heby;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;331;Heby;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;331;Heby;Pax; ;1491;;https://www.paxpartiet.se/
KF;331;Heby;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;331;Heby;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;331;Heby;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;331;Heby;Rikspolitiska partiet; ;1496;;
KF;331;Heby;SKP; ;1586;;https://skp.se
KF;331;Heby;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;331;Heby;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;331;Heby;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;331;Heby;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;331;Heby;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;331;Heby;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
