VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2083;Hedemora;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2083;Hedemora;ANARKISTERNA; ;1628;;
KF;2083;Hedemora;ANDOPARTIET; ;1602;;
KF;2083;Hedemora;Arbetarepartiet-Socialdemokraterna;S;2;28.6969696969697;https://www.socialdemokraterna.se/
KF;2083;Hedemora;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2083;Hedemora;Bjornpartiet; ;1629;;
KF;2083;Hedemora;Centerpartiet;C;4;15.464646464646464;https://www.centerpartiet.se/
KF;2083;Hedemora;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2083;Hedemora;Det minst dåliga partiet; ;1622;;
KF;2083;Hedemora;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2083;Hedemora;Drivkraft; ;1621;;
KF;2083;Hedemora;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2083;Hedemora;Enad Politik; ;1589;;
KF;2083;Hedemora;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2083;Hedemora;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2083;Hedemora;Enskild person/Riksdagen val; ;1614;;
KF;2083;Hedemora;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2083;Hedemora;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2083;Hedemora;EUSEC; ;1534;;
KF;2083;Hedemora;FAMILJENS FRIHET; ;1606;;
KF;2083;Hedemora;Fattigmans parti; ;1618;;
KF;2083;Hedemora;Feministiskt initiativ;FI;532;0.1919191919191919;https://feministisktinitiativ.se/
KF;2083;Hedemora;FN Parti art.27; ;1631;;
KF;2083;Hedemora;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2083;Hedemora;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2083;Hedemora;Fredspartiet; ;1484;;
KF;2083;Hedemora;Fria Wermland; ;1548;;https://friawermland.se/
KF;2083;Hedemora;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2083;Hedemora;Fritt val; ;1479;;
KF;2083;Hedemora;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2083;Hedemora;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2083;Hedemora;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2083;Hedemora;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2083;Hedemora;Humanistisk demokrati (HD);HD;1480;;
KF;2083;Hedemora;Invandrarpartiet; ;1624;;
KF;2083;Hedemora;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2083;Hedemora;Kalle ankapartiet; ;1579;;
KF;2083;Hedemora;Kapitalism med vänligt ansikte; ;1495;;
KF;2083;Hedemora;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2083;Hedemora;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2083;Hedemora;Kommunlistan;KLH;747;12.01010101010101;http://kommunlistanihedemora.se/
KF;2083;Hedemora;Kristdemokraterna;KD;68;2.95959595959596;https://kristdemokraterna.se/
KF;2083;Hedemora;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2083;Hedemora;KSP; ;1612;;
KF;2083;Hedemora;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2083;Hedemora;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2083;Hedemora;Liberalerna (tidigare Folkpartiet);L;3;2.3535353535353534;https://www.liberalerna.se/
KF;2083;Hedemora;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2083;Hedemora;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2083;Hedemora;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2083;Hedemora;Miljöpartiet de gröna;MP;55;2.3636363636363638;https://www.mp.se/
KF;2083;Hedemora;Min röst; ;1437;;
KF;2083;Hedemora;MITT SVERIGE; ;1591;;
KF;2083;Hedemora;MoD; ;1568;;https://partietmod.se/
