VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1283;Helsingborg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1283;Helsingborg;ANDOPARTIET; ;1602;;
KF;1283;Helsingborg;Arbetarepartiet-Socialdemokraterna;S;2;28.39066957543212;https://www.socialdemokraterna.se/
KF;1283;Helsingborg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1283;Helsingborg;Centerpartiet;C;4;4.413492196677295;https://www.centerpartiet.se/
KF;1283;Helsingborg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1283;Helsingborg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1283;Helsingborg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1283;Helsingborg;Enad Politik; ;1589;;
KF;1283;Helsingborg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1283;Helsingborg;Enhet;ENH;189;0.04586899367902892;https://www.enhet.se/
KF;1283;Helsingborg;EUSEC; ;1534;;
KF;1283;Helsingborg;Feministiskt initiativ;FI;532;0.463164960563853;https://feministisktinitiativ.se/
KF;1283;Helsingborg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1283;Helsingborg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1283;Helsingborg;Fredspartiet; ;1484;;
KF;1283;Helsingborg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1283;Helsingborg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1283;Helsingborg;Fritt val; ;1479;;
KF;1283;Helsingborg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1283;Helsingborg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1283;Helsingborg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1283;Helsingborg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1283;Helsingborg;Humanistisk demokrati (HD);HD;1480;;
KF;1283;Helsingborg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1283;Helsingborg;Kalle ankapartiet; ;1579;;
KF;1283;Helsingborg;Kapitalism med vänligt ansikte; ;1495;;
KF;1283;Helsingborg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1283;Helsingborg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1283;Helsingborg;Kristdemokraterna;KD;68;3.9805336465849974;https://kristdemokraterna.se/
KF;1283;Helsingborg;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1283;Helsingborg;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1283;Helsingborg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1283;Helsingborg;Liberalerna (tidigare Folkpartiet);L;3;5.075795715164737;https://www.liberalerna.se/
KF;1283;Helsingborg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1283;Helsingborg;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1283;Helsingborg;Medborgerlig Samling;MED;1296;0.22598870056497175;https://www.medborgerligsamling.se/
KF;1283;Helsingborg;Miljöpartiet de gröna;MP;55;5.130614756390893;https://www.mp.se/
KF;1283;Helsingborg;Min röst; ;1437;;
KF;1283;Helsingborg;MITT SVERIGE; ;1591;;
KF;1283;Helsingborg;Moderaterna;M;1;27.021312300721593;https://moderaterna.se/
KF;1283;Helsingborg;Monisterna; ;1502;;
KF;1283;Helsingborg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1283;Helsingborg;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1283;Helsingborg;NaturFilosoferna; ;1460;;
KF;1283;Helsingborg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1283;Helsingborg;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1283;Helsingborg;Nya Frihetspartiet; ;1443;;
KF;1283;Helsingborg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1283;Helsingborg;OK; ;1478;;
KF;1283;Helsingborg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1283;Helsingborg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1283;Helsingborg;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1283;Helsingborg;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1283;Helsingborg;Pax; ;1491;;https://www.paxpartiet.se/
KF;1283;Helsingborg;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1283;Helsingborg;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1283;Helsingborg;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1283;Helsingborg;Rikspolitiska partiet; ;1496;;
KF;1283;Helsingborg;SKP; ;1586;;https://skp.se
KF;1283;Helsingborg;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1283;Helsingborg;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1283;Helsingborg;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1283;Helsingborg;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1283;Helsingborg;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1283;Helsingborg;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1283;Helsingborg;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1283;Helsingborg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1283;Helsingborg;Sverigedemokraterna;SD;110;20.181238462829334;https://sd.se/
KF;1283;Helsingborg;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1283;Helsingborg;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1283;Helsingborg;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1283;Helsingborg;TRYGGHETSPARTIET;TRP;1309;0.2998265928287744;https://trygghetspartiet.blogspot.com/
KF;1283;Helsingborg;Valsamverkanspartiet; ;1526;;
KF;1283;Helsingborg;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1283;Helsingborg;Vänsterpartiet;V;5;4.602561951110365;https://www.vansterpartiet.se/
KF;1283;Helsingborg;Yggdrasil; ;1454;;
KF;1283;Helsingborg;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
