VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1466;Herrljunga;Alternativ för Sverige;AfS;1325;
KF;1466;Herrljunga;ANDOPARTIET; ;1602;
KF;1466;Herrljunga;Arbetarepartiet-Socialdemokraterna;S;2;21.454374116538403
KF;1466;Herrljunga;Basinkomstpartiet; ;1525;
KF;1466;Herrljunga;Centerpartiet;C;4;18.218941416679755
KF;1466;Herrljunga;Common sense in Sweden;CSIS;1318;0.0
KF;1466;Herrljunga;Direktdemokraterna;DD;1150;0.0
KF;1466;Herrljunga;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1466;Herrljunga;Enad Politik; ;1589;
KF;1466;Herrljunga;Enade Sverige; ;1448;
KF;1466;Herrljunga;Enhet;ENH;189;0.0
KF;1466;Herrljunga;EUSEC; ;1534;
KF;1466;Herrljunga;Feministiskt initiativ;FI;532;0.5025914873566829
KF;1466;Herrljunga;FOLKOMROSTA2021.SE; ;1489;
KF;1466;Herrljunga;FramtidsTro;FT;1449;
KF;1466;Herrljunga;Fredspartiet; ;1484;
KF;1466;Herrljunga;Fria Wermland; ;1548;
KF;1466;Herrljunga;Frihetsrörelsen; ;1573;
KF;1466;Herrljunga;Fritt val; ;1479;
KF;1466;Herrljunga;Förenade Demokratiska Partiet; ;1577;
KF;1466;Herrljunga;Företaget Sverige; ;1510;
KF;1466;Herrljunga;GRÖNA DEMOKRATER; ;1601;
KF;1466;Herrljunga;Gula västarna; ;1436;
KF;1466;Herrljunga;Humanistisk demokrati (HD);HD;1480;
KF;1466;Herrljunga;John Mikkonen; ;1598;
KF;1466;Herrljunga;Kalle ankapartiet; ;1579;
KF;1466;Herrljunga;Kapitalism med vänligt ansikte; ;1495;
KF;1466;Herrljunga;Klassiskt liberala partiet;KLP;638;0.0
KF;1466;Herrljunga;Knapptryckarna; ;1505;
KF;1466;Herrljunga;Kommunens Väl;KVäl;526;9.36076645201822
KF;1466;Herrljunga;Kristdemokraterna;KD;68;7.476048374430658
KF;1466;Herrljunga;Kristna Värdepartiet; ;1551;
KF;1466;Herrljunga;Kärlek; ;1465;
KF;1466;Herrljunga;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1466;Herrljunga;Liberalerna (tidigare Folkpartiet);L;3;10.146065651013036
KF;1466;Herrljunga;Majspartiet; ;1471;
KF;1466;Herrljunga;Medborgarresan; ;1330;
KF;1466;Herrljunga;Medborgerlig Samling;MED;1296;0.0
KF;1466;Herrljunga;Miljöpartiet de gröna;MP;55;1.978953981466939
KF;1466;Herrljunga;Min röst; ;1437;
KF;1466;Herrljunga;MITT SVERIGE; ;1591;
KF;1466;Herrljunga;Moderaterna;M;1;13.82126590230878
KF;1466;Herrljunga;Monisterna; ;1502;
KF;1466;Herrljunga;Mälaröarnas parti; ;1440;
KF;1466;Herrljunga;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1466;Herrljunga;NaturFilosoferna; ;1460;
KF;1466;Herrljunga;Nix to the Six; ;1519;
KF;1466;Herrljunga;NY REFORM; ;1528;
KF;1466;Herrljunga;Nya Frihetspartiet; ;1443;
KF;1466;Herrljunga;Nya Samhällspartiet; ;1438;
KF;1466;Herrljunga;OK; ;1478;
KF;1466;Herrljunga;Ond Kyckling Partiet; ;1472;
KF;1466;Herrljunga;Partiet Folkomröstning; ;1578;
KF;1466;Herrljunga;Partiet Nyans; ;1439;
KF;1466;Herrljunga;Partiet Vändpunkt;PV;1430;
KF;1466;Herrljunga;Pax; ;1491;
KF;1466;Herrljunga;Piratpartiet;PP;524;0.0
KF;1466;Herrljunga;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1466;Herrljunga;Rastliberalerna; ;1508;
KF;1466;Herrljunga;Rikspolitiska partiet; ;1496;
KF;1466;Herrljunga;SKP; ;1586;
KF;1466;Herrljunga;SKÅNEPARTIET;SKÅ;54;0.0
KF;1466;Herrljunga;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1466;Herrljunga;Sociallibertarianerna; ;1507;
KF;1466;Herrljunga;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1466;Herrljunga;Stram Kurs Sverige; ;1592;
KF;1466;Herrljunga;Svenska Rikslagen; ;1513;
KF;1466;Herrljunga;SVENSKARNA; ;1444;
KF;1466;Herrljunga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1466;Herrljunga;Sverigedemokraterna;SD;110;11.76378200094236
KF;1466;Herrljunga;Sverigepartiet; ;1457;
KF;1466;Herrljunga;Swexitpartiet; ;1461;
KF;1466;Herrljunga;Säkerhetspartiet; ;1466;
KF;1466;Herrljunga;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1466;Herrljunga;Valsamverkanspartiet; ;1526;
KF;1466;Herrljunga;Vinningspartiet; ;1468;
KF;1466;Herrljunga;Vänsterpartiet;V;5;5.198680697345689
KF;1466;Herrljunga;Yggdrasil; ;1454;
KF;1466;Herrljunga;Ändrings partiet revolution; ;1404;
