VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1497;Hjo;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1497;Hjo;ANDOPARTIET; ;1602;;
KF;1497;Hjo;Arbetarepartiet-Socialdemokraterna;S;2;24.88345925092429;https://www.socialdemokraterna.se/
KF;1497;Hjo;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1497;Hjo;Centerpartiet;C;4;10.062690885709694;https://www.centerpartiet.se/
KF;1497;Hjo;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1497;Hjo;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1497;Hjo;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1497;Hjo;Enad Politik; ;1589;;
KF;1497;Hjo;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1497;Hjo;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1497;Hjo;EUSEC; ;1534;;
KF;1497;Hjo;Feministiskt initiativ;FI;532;0.24111879119112684;https://feministisktinitiativ.se/
KF;1497;Hjo;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1497;Hjo;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1497;Hjo;Fredspartiet; ;1484;;
KF;1497;Hjo;Fria Wermland; ;1548;;https://friawermland.se/
KF;1497;Hjo;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1497;Hjo;Fritt val; ;1479;;
KF;1497;Hjo;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1497;Hjo;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1497;Hjo;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1497;Hjo;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1497;Hjo;Humanistisk demokrati (HD);HD;1480;;
