VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;126;Huddinge;Alternativ för Sverige;AfS;1325;
KF;126;Huddinge;ANDOPARTIET; ;1602;
KF;126;Huddinge;Arbetarepartiet-Socialdemokraterna;S;2;25.52095713493384
KF;126;Huddinge;Basinkomstpartiet; ;1525;
KF;126;Huddinge;Centerpartiet;C;4;5.592266856825925
KF;126;Huddinge;Common sense in Sweden;CSIS;1318;0.0
KF;126;Huddinge;Direktdemokraterna;DD;1150;0.0
KF;126;Huddinge;Drevvikenpartiet;DP;122;5.051897630932572
KF;126;Huddinge;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;126;Huddinge;Enad Politik; ;1589;
KF;126;Huddinge;Enade Sverige; ;1448;
KF;126;Huddinge;Enhet;ENH;189;0.0
KF;126;Huddinge;EUSEC; ;1534;
KF;126;Huddinge;Feministiskt initiativ;FI;532;0.5673084541636955
KF;126;Huddinge;FOLKOMROSTA2021.SE; ;1489;
KF;126;Huddinge;FramtidsTro;FT;1449;
KF;126;Huddinge;Fredspartiet; ;1484;
KF;126;Huddinge;Fria Wermland; ;1548;
KF;126;Huddinge;Frihetsrörelsen; ;1573;
KF;126;Huddinge;Fritt val; ;1479;
KF;126;Huddinge;Förenade Demokratiska Partiet; ;1577;
KF;126;Huddinge;Företaget Sverige; ;1510;
KF;126;Huddinge;GRÖNA DEMOKRATER; ;1601;
KF;126;Huddinge;Gula västarna; ;1436;
KF;126;Huddinge;Huddingepartiet;HP;28;2.790587116710245
KF;126;Huddinge;Humanistisk demokrati (HD);HD;1480;
KF;126;Huddinge;John Mikkonen; ;1598;
KF;126;Huddinge;Kalle ankapartiet; ;1579;
KF;126;Huddinge;Kapitalism med vänligt ansikte; ;1495;
KF;126;Huddinge;Klassiskt liberala partiet;KLP;638;0.0
KF;126;Huddinge;Knapptryckarna; ;1505;
KF;126;Huddinge;Kristdemokraterna;KD;68;3.9806671420648128
KF;126;Huddinge;Kristna Värdepartiet; ;1551;
KF;126;Huddinge;Kärlek; ;1465;
KF;126;Huddinge;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;126;Huddinge;Liberalerna (tidigare Folkpartiet);L;3;6.511369938990572
KF;126;Huddinge;Majspartiet; ;1471;
KF;126;Huddinge;Medborgarresan; ;1330;
KF;126;Huddinge;Medborgerlig Samling;MED;1296;0.3676412328658585
KF;126;Huddinge;Miljöpartiet de gröna;MP;55;5.299104666825133
KF;126;Huddinge;Min röst; ;1437;
KF;126;Huddinge;MITT SVERIGE; ;1591;
KF;126;Huddinge;Moderaterna;M;1;24.01236035179463
KF;126;Huddinge;Monisterna; ;1502;
KF;126;Huddinge;Mälaröarnas parti; ;1440;
KF;126;Huddinge;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;126;Huddinge;NaturFilosoferna; ;1460;
KF;126;Huddinge;Nix to the Six; ;1519;
KF;126;Huddinge;NY REFORM; ;1528;
KF;126;Huddinge;Nya Frihetspartiet; ;1443;
KF;126;Huddinge;Nya Samhällspartiet; ;1438;
KF;126;Huddinge;OK; ;1478;
KF;126;Huddinge;Ond Kyckling Partiet; ;1472;
KF;126;Huddinge;Partiet Folkomröstning; ;1578;
KF;126;Huddinge;Partiet Nyans; ;1439;
KF;126;Huddinge;Partiet Vändpunkt;PV;1430;
KF;126;Huddinge;Pax; ;1491;
KF;126;Huddinge;Piratpartiet;PP;524;0.0
KF;126;Huddinge;Positivt Samhällsinitiativ (PSI); ;1475;
KF;126;Huddinge;Rastliberalerna; ;1508;
KF;126;Huddinge;Rikspolitiska partiet; ;1496;
KF;126;Huddinge;SKP; ;1586;
KF;126;Huddinge;SKÅNEPARTIET;SKÅ;54;0.0
KF;126;Huddinge;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;126;Huddinge;Sociallibertarianerna; ;1507;
KF;126;Huddinge;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;126;Huddinge;Stram Kurs Sverige; ;1592;
KF;126;Huddinge;Svenska Rikslagen; ;1513;
KF;126;Huddinge;SVENSKARNA; ;1444;
KF;126;Huddinge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;126;Huddinge;Sverigedemokraterna;SD;110;11.396878218841614
KF;126;Huddinge;Sverigepartiet; ;1457;
KF;126;Huddinge;Swexitpartiet; ;1461;
KF;126;Huddinge;Säkerhetspartiet; ;1466;
KF;126;Huddinge;TRYGGHETSPARTIET;TRP;1309;0.0
KF;126;Huddinge;Valsamverkanspartiet; ;1526;
KF;126;Huddinge;Vinningspartiet; ;1468;
KF;126;Huddinge;Vänsterpartiet;V;5;8.721971317645194
KF;126;Huddinge;Yggdrasil; ;1454;
KF;126;Huddinge;Ändrings partiet revolution; ;1404;
