VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2184;Hudiksvall;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2184;Hudiksvall;ANDOPARTIET; ;1602;;
KF;2184;Hudiksvall;Arbetarepartiet-Socialdemokraterna;S;2;31.3560361391603;https://www.socialdemokraterna.se/
KF;2184;Hudiksvall;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2184;Hudiksvall;Centerpartiet;C;4;20.342586157556926;https://www.centerpartiet.se/
KF;2184;Hudiksvall;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2184;Hudiksvall;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2184;Hudiksvall;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2184;Hudiksvall;Enad Politik; ;1589;;
KF;2184;Hudiksvall;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2184;Hudiksvall;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2184;Hudiksvall;EUSEC; ;1534;;
KF;2184;Hudiksvall;Feministiskt initiativ;FI;532;0.30252238256816977;https://feministisktinitiativ.se/
KF;2184;Hudiksvall;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2184;Hudiksvall;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2184;Hudiksvall;Fredspartiet; ;1484;;
KF;2184;Hudiksvall;Fria Wermland; ;1548;;https://friawermland.se/
KF;2184;Hudiksvall;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2184;Hudiksvall;Fritt val; ;1479;;
KF;2184;Hudiksvall;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2184;Hudiksvall;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2184;Hudiksvall;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2184;Hudiksvall;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2184;Hudiksvall;Humanistisk demokrati (HD);HD;1480;;
KF;2184;Hudiksvall;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2184;Hudiksvall;Judisk Kamp; ;1583;;
KF;2184;Hudiksvall;Kalle ankapartiet; ;1579;;
KF;2184;Hudiksvall;Kapitalism med vänligt ansikte; ;1495;;
KF;2184;Hudiksvall;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2184;Hudiksvall;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2184;Hudiksvall;Kristdemokraterna;KD;68;3.7324720984424187;https://kristdemokraterna.se/
KF;2184;Hudiksvall;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2184;Hudiksvall;Kärlek; ;1465;;
KF;2184;Hudiksvall;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2184;Hudiksvall;Liberalerna (tidigare Folkpartiet);L;3;2.052246433097584;https://www.liberalerna.se/
KF;2184;Hudiksvall;Majspartiet; ;1471;;
KF;2184;Hudiksvall;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2184;Hudiksvall;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2184;Hudiksvall;Miljöpartiet de gröna;MP;55;4.251665917174277;https://www.mp.se/
KF;2184;Hudiksvall;Min röst; ;1437;;
KF;2184;Hudiksvall;MITT SVERIGE; ;1591;;
KF;2184;Hudiksvall;Moderaterna;M;1;15.649401087445321;https://moderaterna.se/
KF;2184;Hudiksvall;Monisterna; ;1502;;
KF;2184;Hudiksvall;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2184;Hudiksvall;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2184;Hudiksvall;NaturFilosoferna; ;1460;;
KF;2184;Hudiksvall;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2184;Hudiksvall;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2184;Hudiksvall;Nya Frihetspartiet; ;1443;;
KF;2184;Hudiksvall;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2184;Hudiksvall;OK; ;1478;;
KF;2184;Hudiksvall;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2184;Hudiksvall;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2184;Hudiksvall;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2184;Hudiksvall;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2184;Hudiksvall;Pax; ;1491;;https://www.paxpartiet.se/
KF;2184;Hudiksvall;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2184;Hudiksvall;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2184;Hudiksvall;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2184;Hudiksvall;Rikspolitiska partiet; ;1496;;
KF;2184;Hudiksvall;SKP; ;1586;;https://skp.se
KF;2184;Hudiksvall;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2184;Hudiksvall;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2184;Hudiksvall;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2184;Hudiksvall;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2184;Hudiksvall;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2184;Hudiksvall;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2184;Hudiksvall;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2184;Hudiksvall;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
