VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2361;Härjedalen;Alternativ för Sverige;AfS;1325;
KF;2361;Härjedalen;ANDOPARTIET; ;1602;
KF;2361;Härjedalen;Arbetarepartiet-Socialdemokraterna;S;2;33.32334880934552
KF;2361;Härjedalen;Basinkomstpartiet; ;1525;
KF;2361;Härjedalen;Centerpartiet;C;4;20.652987868803354
KF;2361;Härjedalen;Common sense in Sweden;CSIS;1318;0.0
KF;2361;Härjedalen;Direktdemokraterna;DD;1150;0.0
KF;2361;Härjedalen;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2361;Härjedalen;Enad Politik; ;1589;
KF;2361;Härjedalen;Enade Sverige; ;1448;
KF;2361;Härjedalen;Enhet;ENH;189;0.0
KF;2361;Härjedalen;EUSEC; ;1534;
KF;2361;Härjedalen;Feministiskt initiativ;FI;532;0.16474464579901155
KF;2361;Härjedalen;Folkets röst - VOX humana;VOXH;119;4.6278268683540515
KF;2361;Härjedalen;FOLKOMROSTA2021.SE; ;1489;
KF;2361;Härjedalen;FramtidsTro;FT;1449;
KF;2361;Härjedalen;Fredspartiet; ;1484;
KF;2361;Härjedalen;Fria Wermland; ;1548;
KF;2361;Härjedalen;Frihetsrörelsen; ;1573;
KF;2361;Härjedalen;Fritt val; ;1479;
KF;2361;Härjedalen;Förenade Demokratiska Partiet; ;1577;
KF;2361;Härjedalen;Företaget Sverige; ;1510;
KF;2361;Härjedalen;GRÖNA DEMOKRATER; ;1601;
KF;2361;Härjedalen;Gula västarna; ;1436;
KF;2361;Härjedalen;Humanistisk demokrati (HD);HD;1480;
KF;2361;Härjedalen;Härjedalspartiet;Härjp;1106;
KF;2361;Härjedalen;John Mikkonen; ;1598;
KF;2361;Härjedalen;Kalle ankapartiet; ;1579;
KF;2361;Härjedalen;Kapitalism med vänligt ansikte; ;1495;
KF;2361;Härjedalen;Klassiskt liberala partiet;KLP;638;0.0
KF;2361;Härjedalen;Knapptryckarna; ;1505;
KF;2361;Härjedalen;Kristdemokraterna;KD;68;2.0218661075333233
KF;2361;Härjedalen;Kristna Värdepartiet; ;1551;
KF;2361;Härjedalen;Kärlek; ;1465;
KF;2361;Härjedalen;Landsbygdspartiet Oberoende;LPo;1011;10.064400179721432
KF;2361;Härjedalen;Liberalerna (tidigare Folkpartiet);L;3;4.043732215066647
KF;2361;Härjedalen;Majspartiet; ;1471;
KF;2361;Härjedalen;Medborgarresan; ;1330;
KF;2361;Härjedalen;Medborgerlig Samling;MED;1296;0.0
KF;2361;Härjedalen;Miljöpartiet de gröna;MP;55;0.6889321551595028
KF;2361;Härjedalen;Min röst; ;1437;
KF;2361;Härjedalen;MITT SVERIGE; ;1591;
KF;2361;Härjedalen;Moderaterna;M;1;12.850082372322898
KF;2361;Härjedalen;Monisterna; ;1502;
KF;2361;Härjedalen;Mälaröarnas parti; ;1440;
KF;2361;Härjedalen;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2361;Härjedalen;NaturFilosoferna; ;1460;
KF;2361;Härjedalen;Nix to the Six; ;1519;
KF;2361;Härjedalen;NY REFORM; ;1528;
KF;2361;Härjedalen;Nya Frihetspartiet; ;1443;
KF;2361;Härjedalen;Nya Samhällspartiet; ;1438;
KF;2361;Härjedalen;OK; ;1478;
KF;2361;Härjedalen;Ond Kyckling Partiet; ;1472;
KF;2361;Härjedalen;Partiet Folkomröstning; ;1578;
KF;2361;Härjedalen;Partiet Nyans; ;1439;
KF;2361;Härjedalen;Partiet Vändpunkt;PV;1430;
KF;2361;Härjedalen;Pax; ;1491;
KF;2361;Härjedalen;Piratpartiet;PP;524;0.0
KF;2361;Härjedalen;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2361;Härjedalen;Rastliberalerna; ;1508;
KF;2361;Härjedalen;Rikspolitiska partiet; ;1496;
KF;2361;Härjedalen;SKP; ;1586;
KF;2361;Härjedalen;SKÅNEPARTIET;SKÅ;54;0.0
KF;2361;Härjedalen;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2361;Härjedalen;Sociallibertarianerna; ;1507;
KF;2361;Härjedalen;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2361;Härjedalen;Stram Kurs Sverige; ;1592;
KF;2361;Härjedalen;Svenska Rikslagen; ;1513;
KF;2361;Härjedalen;SVENSKARNA; ;1444;
KF;2361;Härjedalen;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2361;Härjedalen;Sverigedemokraterna;SD;110;5.152014377714542
KF;2361;Härjedalen;Sverigepartiet; ;1457;
KF;2361;Härjedalen;Swexitpartiet; ;1461;
KF;2361;Härjedalen;Säkerhetspartiet; ;1466;
KF;2361;Härjedalen;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2361;Härjedalen;Valsamverkanspartiet; ;1526;
KF;2361;Härjedalen;Vinningspartiet; ;1468;
KF;2361;Härjedalen;Vänsterpartiet;V;5;6.380110828216265
KF;2361;Härjedalen;Yggdrasil; ;1454;
KF;2361;Härjedalen;Ändrings partiet revolution; ;1404;
