VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1284;Höganäs;Alternativ för Sverige;AfS;1325;
KF;1284;Höganäs;ANDOPARTIET; ;1602;
KF;1284;Höganäs;Arbetarepartiet-Socialdemokraterna;S;2;17.93821471240826
KF;1284;Höganäs;Basinkomstpartiet; ;1525;
KF;1284;Höganäs;Centerpartiet;C;4;8.357512658587927
KF;1284;Höganäs;Common sense in Sweden;CSIS;1318;0.0
KF;1284;Höganäs;Direktdemokraterna;DD;1150;0.0
KF;1284;Höganäs;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1284;Höganäs;Enad Politik; ;1589;
KF;1284;Höganäs;Enade Sverige; ;1448;
KF;1284;Höganäs;Enhet;ENH;189;0.0
KF;1284;Höganäs;EUSEC; ;1534;
KF;1284;Höganäs;Feministiskt initiativ;FI;532;0.1877453490356716
KF;1284;Höganäs;FOLKOMROSTA2021.SE; ;1489;
KF;1284;Höganäs;FramtidsTro;FT;1449;
KF;1284;Höganäs;Fredspartiet; ;1484;
KF;1284;Höganäs;Fria Wermland; ;1548;
KF;1284;Höganäs;Frihetsrörelsen; ;1573;
KF;1284;Höganäs;Fritt val; ;1479;
KF;1284;Höganäs;Förenade Demokratiska Partiet; ;1577;
KF;1284;Höganäs;Företaget Sverige; ;1510;
KF;1284;Höganäs;GRÖNA DEMOKRATER; ;1601;
KF;1284;Höganäs;Gula västarna; ;1436;
KF;1284;Höganäs;Humanistisk demokrati (HD);HD;1480;
KF;1284;Höganäs;John Mikkonen; ;1598;
KF;1284;Höganäs;Kalle ankapartiet; ;1579;
KF;1284;Höganäs;Kapitalism med vänligt ansikte; ;1495;
KF;1284;Höganäs;Klassiskt liberala partiet;KLP;638;0.0
KF;1284;Höganäs;Knapptryckarna; ;1505;
KF;1284;Höganäs;Kristdemokraterna;KD;68;4.471752858849633
KF;1284;Höganäs;Kristna Värdepartiet; ;1551;
KF;1284;Höganäs;Kärlek; ;1465;
KF;1284;Höganäs;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1284;Höganäs;Liberalerna (tidigare Folkpartiet);L;3;7.657734539454969
KF;1284;Höganäs;Majspartiet; ;1471;
KF;1284;Höganäs;Medborgarresan; ;1330;
KF;1284;Höganäs;Medborgerlig Samling;MED;1296;0.0
KF;1284;Höganäs;Miljöpartiet de gröna;MP;55;6.1443932411674345
KF;1284;Höganäs;Min röst; ;1437;
KF;1284;Höganäs;MITT SVERIGE; ;1591;
KF;1284;Höganäs;Moderaterna;M;1;40.0637196336121
KF;1284;Höganäs;Monisterna; ;1502;
KF;1284;Höganäs;Mälaröarnas parti; ;1440;
KF;1284;Höganäs;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1284;Höganäs;NaturFilosoferna; ;1460;
KF;1284;Höganäs;Nix to the Six; ;1519;
KF;1284;Höganäs;NY REFORM; ;1528;
KF;1284;Höganäs;Nya Frihetspartiet; ;1443;
KF;1284;Höganäs;Nya Samhällspartiet; ;1438;
KF;1284;Höganäs;OK; ;1478;
KF;1284;Höganäs;Ond Kyckling Partiet; ;1472;
KF;1284;Höganäs;Partiet Folkomröstning; ;1578;
KF;1284;Höganäs;Partiet Nyans; ;1439;
KF;1284;Höganäs;Partiet Vändpunkt;PV;1430;
KF;1284;Höganäs;Pax; ;1491;
KF;1284;Höganäs;Piratpartiet;PP;524;0.0
KF;1284;Höganäs;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1284;Höganäs;Rastliberalerna; ;1508;
KF;1284;Höganäs;Rikspolitiska partiet; ;1496;
KF;1284;Höganäs;SKP; ;1586;
KF;1284;Höganäs;SKÅNEPARTIET;SKÅ;54;0.0
KF;1284;Höganäs;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1284;Höganäs;Sociallibertarianerna; ;1507;
KF;1284;Höganäs;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1284;Höganäs;Stram Kurs Sverige; ;1592;
KF;1284;Höganäs;Svenska Rikslagen; ;1513;
KF;1284;Höganäs;SVENSKARNA; ;1444;
KF;1284;Höganäs;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1284;Höganäs;Sverigedemokraterna;SD;110;12.288786482334869
KF;1284;Höganäs;Sverigepartiet; ;1457;
KF;1284;Höganäs;Swexitpartiet; ;1461;
KF;1284;Höganäs;Säkerhetspartiet; ;1466;
KF;1284;Höganäs;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1284;Höganäs;Valsamverkanspartiet; ;1526;
KF;1284;Höganäs;Vinningspartiet; ;1468;
KF;1284;Höganäs;Vänsterpartiet;V;5;2.8104909825339934
KF;1284;Höganäs;Yggdrasil; ;1454;
KF;1284;Höganäs;Ändrings partiet revolution; ;1404;
