VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;821;Högsby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;821;Högsby;ANDOPARTIET; ;1602;;
KF;821;Högsby;Arbetarepartiet-Socialdemokraterna;S;2;32.946058091286304;https://www.socialdemokraterna.se/
KF;821;Högsby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;821;Högsby;Centerpartiet;C;4;20.110650069156293;https://www.centerpartiet.se/
KF;821;Högsby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;821;Högsby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;821;Högsby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;821;Högsby;Enad Politik; ;1589;;
KF;821;Högsby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;821;Högsby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;821;Högsby;EUSEC; ;1534;;
KF;821;Högsby;Feministiskt initiativ;FI;532;0.16597510373443983;https://feministisktinitiativ.se/
KF;821;Högsby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;821;Högsby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;821;Högsby;Fredspartiet; ;1484;;
KF;821;Högsby;Fria Wermland; ;1548;;https://friawermland.se/
KF;821;Högsby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;821;Högsby;Fritt val; ;1479;;
KF;821;Högsby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;821;Högsby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;821;Högsby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;821;Högsby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;821;Högsby;Humanistisk demokrati (HD);HD;1480;;
KF;821;Högsby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;821;Högsby;Kalle ankapartiet; ;1579;;
