VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1266;Hörby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1266;Hörby;ANDOPARTIET; ;1602;;
KF;1266;Hörby;Arbetarepartiet-Socialdemokraterna;S;2;15.059588299024917;https://www.socialdemokraterna.se/
KF;1266;Hörby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1266;Hörby;Centerpartiet;C;4;11.297153550674677;https://www.centerpartiet.se/
KF;1266;Hörby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1266;Hörby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1266;Hörby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1266;Hörby;Enad Politik; ;1589;;
KF;1266;Hörby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1266;Hörby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1266;Hörby;EUSEC; ;1534;;
KF;1266;Hörby;Feministiskt initiativ;FI;532;0.2462326405988378;https://feministisktinitiativ.se/
KF;1266;Hörby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1266;Hörby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1266;Hörby;Fredspartiet; ;1484;;
KF;1266;Hörby;Fria Wermland; ;1548;;https://friawermland.se/
KF;1266;Hörby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1266;Hörby;Fritt val; ;1479;;
KF;1266;Hörby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1266;Hörby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1266;Hörby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1266;Hörby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
