VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1267;Höör;Alternativ för Sverige;AfS;1325;
KF;1267;Höör;ANDOPARTIET; ;1602;
KF;1267;Höör;Arbetarepartiet-Socialdemokraterna;S;2;14.761992961659567
KF;1267;Höör;Basinkomstpartiet; ;1525;
KF;1267;Höör;Centerpartiet;C;4;9.872198555288016
KF;1267;Höör;Common sense in Sweden;CSIS;1318;0.0
KF;1267;Höör;Direktdemokraterna;DD;1150;0.0
KF;1267;Höör;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1267;Höör;Enad Politik; ;1589;
KF;1267;Höör;Enade Sverige; ;1448;
KF;1267;Höör;Enhet;ENH;189;0.0
KF;1267;Höör;EUSEC; ;1534;
KF;1267;Höör;Feministiskt initiativ;FI;532;0.9724022967216152
KF;1267;Höör;FOLKOMROSTA2021.SE; ;1489;
KF;1267;Höör;FramtidsTro;FT;1449;
KF;1267;Höör;Fredspartiet; ;1484;
KF;1267;Höör;Fria Wermland; ;1548;
KF;1267;Höör;Frihetsrörelsen; ;1573;
KF;1267;Höör;Fritt val; ;1479;
KF;1267;Höör;Förenade Demokratiska Partiet; ;1577;
KF;1267;Höör;Företaget Sverige; ;1510;
KF;1267;Höör;GRÖNA DEMOKRATER; ;1601;
KF;1267;Höör;Gula västarna; ;1436;
KF;1267;Höör;Humanistisk demokrati (HD);HD;1480;
KF;1267;Höör;John Mikkonen; ;1598;
KF;1267;Höör;Kalle ankapartiet; ;1579;
KF;1267;Höör;Kapitalism med vänligt ansikte; ;1495;
KF;1267;Höör;Klassiskt liberala partiet;KLP;638;0.0
KF;1267;Höör;Knapptryckarna; ;1505;
KF;1267;Höör;Kristdemokraterna;KD;68;3.9266530839044265
KF;1267;Höör;Kristna Värdepartiet; ;1551;
KF;1267;Höör;Kärlek; ;1465;
KF;1267;Höör;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1267;Höör;Liberalerna (tidigare Folkpartiet);L;3;12.511576217818115
KF;1267;Höör;Majspartiet; ;1471;
KF;1267;Höör;Medborgarresan; ;1330;
KF;1267;Höör;Medborgerlig Samling;MED;1296;2.0929801815150957
KF;1267;Höör;Miljöpartiet de gröna;MP;55;6.102982033709947
KF;1267;Höör;Min röst; ;1437;
KF;1267;Höör;MITT SVERIGE; ;1591;
KF;1267;Höör;Moderaterna;M;1;19.299870346360436
KF;1267;Höör;Monisterna; ;1502;
KF;1267;Höör;Mälaröarnas parti; ;1440;
KF;1267;Höör;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1267;Höör;NaturFilosoferna; ;1460;
KF;1267;Höör;Nix to the Six; ;1519;
KF;1267;Höör;NY REFORM; ;1528;
KF;1267;Höör;Nya Frihetspartiet; ;1443;
KF;1267;Höör;Nya Samhällspartiet; ;1438;
KF;1267;Höör;OK; ;1478;
KF;1267;Höör;Ond Kyckling Partiet; ;1472;
KF;1267;Höör;Partiet Folkomröstning; ;1578;
KF;1267;Höör;Partiet för Rättvisa och Jämställdhet; ;1571;
KF;1267;Höör;Partiet Nyans; ;1439;
KF;1267;Höör;Partiet Vändpunkt;PV;1430;
KF;1267;Höör;Pax; ;1491;
KF;1267;Höör;Piratpartiet;PP;524;0.0
KF;1267;Höör;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1267;Höör;Rastliberalerna; ;1508;
KF;1267;Höör;Rikspolitiska partiet; ;1496;
KF;1267;Höör;SKP; ;1586;
KF;1267;Höör;SKÅNEPARTIET;SKÅ;54;0.0
KF;1267;Höör;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1267;Höör;Sociallibertarianerna; ;1507;
KF;1267;Höör;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1267;Höör;Stram Kurs Sverige; ;1592;
KF;1267;Höör;Svenska Rikslagen; ;1513;
KF;1267;Höör;SVENSKARNA; ;1444;
KF;1267;Höör;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1267;Höör;Sverigedemokraterna;SD;110;22.66160400074088
KF;1267;Höör;Sverigepartiet; ;1457;
KF;1267;Höör;Swexitpartiet; ;1461;
KF;1267;Höör;Säkerhetspartiet; ;1466;
KF;1267;Höör;TRYGGHETSPARTIET;TRP;1309;1.3984071124282274
KF;1267;Höör;Valsamverkanspartiet; ;1526;
KF;1267;Höör;Vinningspartiet; ;1468;
KF;1267;Höör;Vänsterpartiet;V;5;6.1955917762548625
KF;1267;Höör;Yggdrasil; ;1454;
KF;1267;Höör;Ändrings partiet revolution; ;1404;
