VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;880;Kalmar;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;880;Kalmar;ANDOPARTIET; ;1602;;
KF;880;Kalmar;Arbetarepartiet-Socialdemokraterna;S;2;42.481120477695825;https://www.socialdemokraterna.se/
KF;880;Kalmar;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;880;Kalmar;Centerpartiet;C;4;8.023796979276431;https://www.centerpartiet.se/
KF;880;Kalmar;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;880;Kalmar;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;880;Kalmar;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;880;Kalmar;Enad Politik; ;1589;;
KF;880;Kalmar;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;880;Kalmar;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;880;Kalmar;EUSEC; ;1534;;
KF;880;Kalmar;Feministiskt initiativ;FI;532;0.7178609062170705;https://feministisktinitiativ.se/
KF;880;Kalmar;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;880;Kalmar;Framtid Kalmar; ;1464;;https://framtidkalmar.wordpress.com/
KF;880;Kalmar;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;880;Kalmar;Fredspartiet; ;1484;;
KF;880;Kalmar;Fria Wermland; ;1548;;https://friawermland.se/
KF;880;Kalmar;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;880;Kalmar;Fritt val; ;1479;;
KF;880;Kalmar;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;880;Kalmar;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;880;Kalmar;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;880;Kalmar;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;880;Kalmar;Humanistisk demokrati (HD);HD;1480;;
KF;880;Kalmar;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;880;Kalmar;Kalle ankapartiet; ;1579;;
KF;880;Kalmar;Kapitalism med vänligt ansikte; ;1495;;
KF;880;Kalmar;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;880;Kalmar;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;880;Kalmar;Kristdemokraterna;KD;68;5.382859149982438;https://kristdemokraterna.se/
KF;880;Kalmar;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;880;Kalmar;Kärlek; ;1465;;http://www.karlekspartiet.se/
