VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1446;Karlsborg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1446;Karlsborg;ANDOPARTIET; ;1602;;
KF;1446;Karlsborg;Arbetarepartiet-Socialdemokraterna;S;2;31.08248493662996;https://www.socialdemokraterna.se/
KF;1446;Karlsborg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1446;Karlsborg;Centerpartiet;C;4;20.423852067317682;https://www.centerpartiet.se/
KF;1446;Karlsborg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1446;Karlsborg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1446;Karlsborg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1446;Karlsborg;Enad Politik; ;1589;;
KF;1446;Karlsborg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1446;Karlsborg;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1446;Karlsborg;EUSEC; ;1534;;
KF;1446;Karlsborg;Feministiskt initiativ;FI;532;0.18699355911074175;https://feministisktinitiativ.se/
KF;1446;Karlsborg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1446;Karlsborg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1446;Karlsborg;Fredspartiet; ;1484;;
KF;1446;Karlsborg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1446;Karlsborg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1446;Karlsborg;Fritt val; ;1479;;
KF;1446;Karlsborg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1446;Karlsborg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1446;Karlsborg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1446;Karlsborg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1446;Karlsborg;Humanistisk demokrati (HD);HD;1480;;
KF;1446;Karlsborg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1446;Karlsborg;Kalle ankapartiet; ;1579;;
KF;1446;Karlsborg;Kapitalism med vänligt ansikte; ;1495;;
KF;1446;Karlsborg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1446;Karlsborg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1446;Karlsborg;Kristdemokraterna;KD;68;4.5501766050280485;https://kristdemokraterna.se/
