VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1080;Karlskrona;Alternativ för Sverige;AfS;1325;
KF;1080;Karlskrona;ANDOPARTIET; ;1602;
KF;1080;Karlskrona;Arbetarepartiet-Socialdemokraterna;S;2;32.344454463480616
KF;1080;Karlskrona;Basinkomstpartiet; ;1525;
KF;1080;Karlskrona;Centerpartiet;C;4;7.457168620378719
KF;1080;Karlskrona;Common sense in Sweden;CSIS;1318;0.0
KF;1080;Karlskrona;Direktdemokraterna;DD;1150;0.0
KF;1080;Karlskrona;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1080;Karlskrona;Enad Politik; ;1589;
KF;1080;Karlskrona;Enade Sverige; ;1448;
KF;1080;Karlskrona;Enhet;ENH;189;0.0
KF;1080;Karlskrona;EUSEC; ;1534;
KF;1080;Karlskrona;Feministiskt initiativ;FI;532;0.26149684400360684
KF;1080;Karlskrona;FOLKOMROSTA2021.SE; ;1489;
KF;1080;Karlskrona;FramtidsTro;FT;1449;
KF;1080;Karlskrona;Fredspartiet; ;1484;
KF;1080;Karlskrona;Fria Wermland; ;1548;
KF;1080;Karlskrona;Frihetsrörelsen; ;1573;
KF;1080;Karlskrona;Fritt val; ;1479;
KF;1080;Karlskrona;Förenade Demokratiska Partiet; ;1577;
KF;1080;Karlskrona;Företaget Sverige; ;1510;
KF;1080;Karlskrona;GRÖNA DEMOKRATER; ;1601;
KF;1080;Karlskrona;Gula västarna; ;1436;
KF;1080;Karlskrona;Humanistisk demokrati (HD);HD;1480;
KF;1080;Karlskrona;John Mikkonen; ;1598;
KF;1080;Karlskrona;Kalle ankapartiet; ;1579;
KF;1080;Karlskrona;Kapitalism med vänligt ansikte; ;1495;
KF;1080;Karlskrona;Klassiskt liberala partiet;KLP;638;0.0
KF;1080;Karlskrona;Knapptryckarna; ;1505;
KF;1080;Karlskrona;Kristdemokraterna;KD;68;5.685302073940487
KF;1080;Karlskrona;Kristna Värdepartiet; ;1551;
KF;1080;Karlskrona;Kärlek; ;1465;
KF;1080;Karlskrona;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1080;Karlskrona;Liberalerna (tidigare Folkpartiet);L;3;5.931018935978359
KF;1080;Karlskrona;Majspartiet; ;1471;
KF;1080;Karlskrona;Medborgarresan; ;1330;
KF;1080;Karlskrona;Medborgerlig Samling;MED;1296;0.0
KF;1080;Karlskrona;Miljöpartiet de gröna;MP;55;3.2326420198376913
KF;1080;Karlskrona;Min röst; ;1437;
KF;1080;Karlskrona;MITT SVERIGE; ;1591;
KF;1080;Karlskrona;Moderaterna;M;1;20.892696122633005
KF;1080;Karlskrona;Monisterna; ;1502;
KF;1080;Karlskrona;Mälaröarnas parti; ;1440;
KF;1080;Karlskrona;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1080;Karlskrona;NaturFilosoferna; ;1460;
KF;1080;Karlskrona;Nix to the Six; ;1519;
KF;1080;Karlskrona;NY REFORM; ;1528;
KF;1080;Karlskrona;Nya Frihetspartiet; ;1443;
KF;1080;Karlskrona;Nya Samhällspartiet; ;1438;
KF;1080;Karlskrona;OK; ;1478;
KF;1080;Karlskrona;Ond Kyckling Partiet; ;1472;
KF;1080;Karlskrona;Partiet Folkomröstning; ;1578;
KF;1080;Karlskrona;Partiet Nyans; ;1439;
KF;1080;Karlskrona;Partiet Vändpunkt;PV;1430;
KF;1080;Karlskrona;Pax; ;1491;
KF;1080;Karlskrona;Piratpartiet;PP;524;0.0
KF;1080;Karlskrona;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1080;Karlskrona;Rastliberalerna; ;1508;
KF;1080;Karlskrona;Rikspolitiska partiet; ;1496;
KF;1080;Karlskrona;SKP; ;1586;
KF;1080;Karlskrona;SKÅNEPARTIET;SKÅ;54;0.0
KF;1080;Karlskrona;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1080;Karlskrona;Sociallibertarianerna; ;1507;
KF;1080;Karlskrona;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1080;Karlskrona;Stram Kurs Sverige; ;1592;
KF;1080;Karlskrona;Svenska Rikslagen; ;1513;
KF;1080;Karlskrona;SVENSKARNA; ;1444;
KF;1080;Karlskrona;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1080;Karlskrona;Sverigedemokraterna;SD;110;18.381424706943193
KF;1080;Karlskrona;Sverigepartiet; ;1457;
KF;1080;Karlskrona;Swexitpartiet; ;1461;
KF;1080;Karlskrona;Säkerhetspartiet; ;1466;
KF;1080;Karlskrona;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1080;Karlskrona;Valsamverkanspartiet; ;1526;
KF;1080;Karlskrona;Vinningspartiet; ;1468;
KF;1080;Karlskrona;Vänsterpartiet;V;5;5.610910730387737
KF;1080;Karlskrona;Yggdrasil; ;1454;
KF;1080;Karlskrona;Ändrings partiet revolution; ;1404;
