VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1715;Kil;Alternativ för Sverige;AfS;1325;
KF;1715;Kil;ANDOPARTIET; ;1602;
KF;1715;Kil;Arbetarepartiet-Socialdemokraterna;S;2;33.191489361702125
KF;1715;Kil;Basinkomstpartiet; ;1525;
KF;1715;Kil;Centerpartiet;C;4;19.899874843554443
KF;1715;Kil;Common sense in Sweden;CSIS;1318;0.0
KF;1715;Kil;Direktdemokraterna;DD;1150;0.0
KF;1715;Kil;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1715;Kil;Enad Politik; ;1589;
KF;1715;Kil;Enade Sverige; ;1448;
KF;1715;Kil;Enhet;ENH;189;0.0
KF;1715;Kil;EUSEC; ;1534;
KF;1715;Kil;Feministiskt initiativ;FI;532;0.11264080100125157
KF;1715;Kil;FOLKOMROSTA2021.SE; ;1489;
KF;1715;Kil;FramtidsTro;FT;1449;
KF;1715;Kil;Fredspartiet; ;1484;
KF;1715;Kil;Fria Wermland; ;1548;
KF;1715;Kil;Frihetsrörelsen; ;1573;
KF;1715;Kil;Fritt val; ;1479;
KF;1715;Kil;Förenade Demokratiska Partiet; ;1577;
KF;1715;Kil;Företaget Sverige; ;1510;
KF;1715;Kil;GRÖNA DEMOKRATER; ;1601;
KF;1715;Kil;Gula västarna; ;1436;
KF;1715;Kil;Humanistisk demokrati (HD);HD;1480;
KF;1715;Kil;John Mikkonen; ;1598;
KF;1715;Kil;Kalle ankapartiet; ;1579;
KF;1715;Kil;Kapitalism med vänligt ansikte; ;1495;
KF;1715;Kil;Klassiskt liberala partiet;KLP;638;0.0
KF;1715;Kil;Knapptryckarna; ;1505;
KF;1715;Kil;Kristdemokraterna;KD;68;1.4267834793491865
KF;1715;Kil;Kristna Värdepartiet; ;1551;
KF;1715;Kil;Kärlek; ;1465;
KF;1715;Kil;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1715;Kil;Liberalerna (tidigare Folkpartiet);L;3;4.643304130162703
KF;1715;Kil;Majspartiet; ;1471;
KF;1715;Kil;Medborgarresan; ;1330;
KF;1715;Kil;Medborgerlig Samling;MED;1296;0.0
KF;1715;Kil;Miljöpartiet de gröna;MP;55;4.380475594493117
KF;1715;Kil;Min röst; ;1437;
KF;1715;Kil;MITT SVERIGE; ;1591;
KF;1715;Kil;Moderaterna;M;1;14.993742177722153
KF;1715;Kil;Monisterna; ;1502;
KF;1715;Kil;Mälaröarnas parti; ;1440;
KF;1715;Kil;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1715;Kil;NaturFilosoferna; ;1460;
KF;1715;Kil;Nix to the Six; ;1519;
KF;1715;Kil;NY REFORM; ;1528;
KF;1715;Kil;Nya Frihetspartiet; ;1443;
KF;1715;Kil;Nya Samhällspartiet; ;1438;
KF;1715;Kil;OK; ;1478;
KF;1715;Kil;Ond Kyckling Partiet; ;1472;
KF;1715;Kil;Partiet Folkomröstning; ;1578;
KF;1715;Kil;Partiet Nyans; ;1439;
KF;1715;Kil;Partiet Vändpunkt;PV;1430;
KF;1715;Kil;Pax; ;1491;
KF;1715;Kil;Piratpartiet;PP;524;0.0
KF;1715;Kil;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1715;Kil;Rastliberalerna; ;1508;
KF;1715;Kil;Rikspolitiska partiet; ;1496;
KF;1715;Kil;SKP; ;1586;
KF;1715;Kil;SKÅNEPARTIET;SKÅ;54;0.0
KF;1715;Kil;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1715;Kil;Sociallibertarianerna; ;1507;
KF;1715;Kil;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1715;Kil;Stram Kurs Sverige; ;1592;
KF;1715;Kil;Svenska Rikslagen; ;1513;
KF;1715;Kil;SVENSKARNA; ;1444;
KF;1715;Kil;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1715;Kil;Sverigedemokraterna;SD;110;15.794743429286608
KF;1715;Kil;Sverigepartiet; ;1457;
KF;1715;Kil;Swexitpartiet; ;1461;
KF;1715;Kil;Säkerhetspartiet; ;1466;
KF;1715;Kil;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1715;Kil;Valsamverkanspartiet; ;1526;
KF;1715;Kil;Vinningspartiet; ;1468;
KF;1715;Kil;Vänsterpartiet;V;5;5.506883604505632
KF;1715;Kil;Yggdrasil; ;1454;
KF;1715;Kil;Ändrings partiet revolution; ;1404;
