VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;513;Kinda;Alternativ för Sverige;AfS;1325;
KF;513;Kinda;ANDOPARTIET; ;1602;
KF;513;Kinda;Arbetarepartiet-Socialdemokraterna;S;2;22.702702702702705
KF;513;Kinda;Basinkomstpartiet; ;1525;
KF;513;Kinda;Centerpartiet;C;4;13.138138138138139
KF;513;Kinda;Common sense in Sweden;CSIS;1318;0.0
KF;513;Kinda;Direktdemokraterna;DD;1150;0.0
KF;513;Kinda;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;513;Kinda;Enad Politik; ;1589;
KF;513;Kinda;Enade Sverige; ;1448;
KF;513;Kinda;Enhet;ENH;189;0.0
KF;513;Kinda;EUSEC; ;1534;
KF;513;Kinda;Feministiskt initiativ;FI;532;0.10510510510510511
KF;513;Kinda;FOLKOMROSTA2021.SE; ;1489;
KF;513;Kinda;FramtidsTro;FT;1449;
KF;513;Kinda;Fredspartiet; ;1484;
KF;513;Kinda;Fria Wermland; ;1548;
KF;513;Kinda;Frihetsrörelsen; ;1573;
KF;513;Kinda;Fritt val; ;1479;
KF;513;Kinda;Förenade Demokratiska Partiet; ;1577;
KF;513;Kinda;Företaget Sverige; ;1510;
KF;513;Kinda;GRÖNA DEMOKRATER; ;1601;
KF;513;Kinda;Gula västarna; ;1436;
KF;513;Kinda;Humanistisk demokrati (HD);HD;1480;
KF;513;Kinda;John Mikkonen; ;1598;
KF;513;Kinda;Kalle ankapartiet; ;1579;
KF;513;Kinda;Kapitalism med vänligt ansikte; ;1495;
KF;513;Kinda;Klassiskt liberala partiet;KLP;638;0.0
KF;513;Kinda;Knapptryckarna; ;1505;
KF;513;Kinda;Kristdemokraterna;KD;68;6.996996996996997
KF;513;Kinda;Kristna Värdepartiet; ;1551;
KF;513;Kinda;Kärlek; ;1465;
KF;513;Kinda;Landsbygdspartiet Oberoende;LPo;1011;6.936936936936937
KF;513;Kinda;Liberalerna (tidigare Folkpartiet);L;3;7.777777777777778
KF;513;Kinda;Majspartiet; ;1471;
KF;513;Kinda;Medborgarresan; ;1330;
KF;513;Kinda;Medborgerlig Samling;MED;1296;0.0
KF;513;Kinda;Miljöpartiet de gröna;MP;55;3.7687687687687688
KF;513;Kinda;Min röst; ;1437;
KF;513;Kinda;MITT SVERIGE; ;1591;
KF;513;Kinda;Moderaterna;M;1;15.75075075075075
KF;513;Kinda;Monisterna; ;1502;
KF;513;Kinda;Mälaröarnas parti; ;1440;
KF;513;Kinda;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;513;Kinda;NaturFilosoferna; ;1460;
KF;513;Kinda;Nix to the Six; ;1519;
KF;513;Kinda;NY REFORM; ;1528;
KF;513;Kinda;Nya Frihetspartiet; ;1443;
KF;513;Kinda;Nya Samhällspartiet; ;1438;
KF;513;Kinda;OK; ;1478;
KF;513;Kinda;Ond Kyckling Partiet; ;1472;
KF;513;Kinda;Partiet Folkomröstning; ;1578;
KF;513;Kinda;Partiet Nyans; ;1439;
KF;513;Kinda;Partiet Vändpunkt;PV;1430;
KF;513;Kinda;Pax; ;1491;
KF;513;Kinda;Piratpartiet;PP;524;0.0
KF;513;Kinda;Positivt Samhällsinitiativ (PSI); ;1475;
KF;513;Kinda;Rastliberalerna; ;1508;
KF;513;Kinda;Rikspolitiska partiet; ;1496;
KF;513;Kinda;SKP; ;1586;
KF;513;Kinda;SKÅNEPARTIET;SKÅ;54;0.0
KF;513;Kinda;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;513;Kinda;Sociallibertarianerna; ;1507;
KF;513;Kinda;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;513;Kinda;Stram Kurs Sverige; ;1592;
KF;513;Kinda;Svenska Rikslagen; ;1513;
KF;513;Kinda;SVENSKARNA; ;1444;
KF;513;Kinda;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;513;Kinda;Sverigedemokraterna;SD;110;14.384384384384386
KF;513;Kinda;Sverigepartiet; ;1457;
KF;513;Kinda;Swexitpartiet; ;1461;
KF;513;Kinda;Säkerhetspartiet; ;1466;
KF;513;Kinda;TRYGGHETSPARTIET;TRP;1309;0.0
KF;513;Kinda;Valsamverkanspartiet; ;1526;
KF;513;Kinda;Vinningspartiet; ;1468;
KF;513;Kinda;Vänsterpartiet;V;5;8.378378378378379
KF;513;Kinda;Yggdrasil; ;1454;
KF;513;Kinda;Ändrings partiet revolution; ;1404;
