VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2584;Kiruna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2584;Kiruna;ANDOPARTIET; ;1602;;
KF;2584;Kiruna;Arbetarepartiet-Socialdemokraterna;S;2;25.172160192551985;https://www.socialdemokraterna.se/
KF;2584;Kiruna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2584;Kiruna;Centerpartiet;C;4;32.887611151968976;https://www.centerpartiet.se/
KF;2584;Kiruna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2584;Kiruna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2584;Kiruna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2584;Kiruna;Enad Politik; ;1589;;
KF;2584;Kiruna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2584;Kiruna;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2584;Kiruna;EUSEC; ;1534;;
KF;2584;Kiruna;Feministiskt initiativ;FI;532;3.5301196764056963;https://feministisktinitiativ.se/
KF;2584;Kiruna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2584;Kiruna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2584;Kiruna;Fredspartiet; ;1484;;
KF;2584;Kiruna;Fria Wermland; ;1548;;https://friawermland.se/
KF;2584;Kiruna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2584;Kiruna;Fritt val; ;1479;;
KF;2584;Kiruna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2584;Kiruna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
