VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;330;Knivsta;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;330;Knivsta;ANARKISTERNA; ;1628;;
KF;330;Knivsta;ANDOPARTIET; ;1602;;
KF;330;Knivsta;Arbetarepartiet-Socialdemokraterna;S;2;16.800629040712913;https://www.socialdemokraterna.se/
KF;330;Knivsta;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;330;Knivsta;Bjornpartiet; ;1629;;
KF;330;Knivsta;Centerpartiet;C;4;9.28708719203215;https://www.centerpartiet.se/
KF;330;Knivsta;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;330;Knivsta;Det minst dåliga partiet; ;1622;;
KF;330;Knivsta;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;330;Knivsta;Drivkraft; ;1621;;
KF;330;Knivsta;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;330;Knivsta;Enad Politik; ;1589;;
KF;330;Knivsta;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;330;Knivsta;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;330;Knivsta;Enskild person/Riksdagen val; ;1614;;
KF;330;Knivsta;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;330;Knivsta;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;330;Knivsta;EUSEC; ;1534;;
KF;330;Knivsta;FAMILJENS FRIHET; ;1606;;
KF;330;Knivsta;Fattigmans parti; ;1618;;
KF;330;Knivsta;Feministiskt initiativ;FI;532;0.15726017822820199;https://feministisktinitiativ.se/
KF;330;Knivsta;FN Parti art.27; ;1631;;
KF;330;Knivsta;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;330;Knivsta;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;330;Knivsta;Fredspartiet; ;1484;;
KF;330;Knivsta;Fria Wermland; ;1548;;https://friawermland.se/
KF;330;Knivsta;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;330;Knivsta;Fritt val; ;1479;;
KF;330;Knivsta;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;330;Knivsta;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;330;Knivsta;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;330;Knivsta;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;330;Knivsta;Humanistisk demokrati (HD);HD;1480;;
KF;330;Knivsta;Invandrarpartiet; ;1624;;
KF;330;Knivsta;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;330;Knivsta;Kalle ankapartiet; ;1579;;
KF;330;Knivsta;Kapitalism med vänligt ansikte; ;1495;;
KF;330;Knivsta;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;330;Knivsta;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;330;Knivsta;Knivsta.Nu;KNU;303;15.691071116547265;https://www.knivsta.nu/
KF;330;Knivsta;Kristdemokraterna;KD;68;12.755547789620827;https://kristdemokraterna.se/
KF;330;Knivsta;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;330;Knivsta;KSP; ;1612;;
KF;330;Knivsta;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;330;Knivsta;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;330;Knivsta;Liberalerna (tidigare Folkpartiet);L;3;5.792416564738773;https://www.liberalerna.se/
KF;330;Knivsta;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;330;Knivsta;Medborgarresan; ;1330;;https://citizenwell.se/
KF;330;Knivsta;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;330;Knivsta;Miljöpartiet de gröna;MP;55;5.1895858815306655;https://www.mp.se/
KF;330;Knivsta;Min röst; ;1437;;
KF;330;Knivsta;MITT SVERIGE; ;1591;;
KF;330;Knivsta;MoD; ;1568;;https://partietmod.se/
KF;330;Knivsta;Moderaterna;M;1;16.826839070417613;https://moderaterna.se/
KF;330;Knivsta;Monisterna; ;1502;;
KF;330;Knivsta;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;330;Knivsta;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;330;Knivsta;NaturFilosoferna; ;1460;;
