VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1290;Kristianstad;Alternativ för Sverige;AfS;1325;
KF;1290;Kristianstad;ANDOPARTIET; ;1602;
KF;1290;Kristianstad;Arbetarepartiet-Socialdemokraterna;S;2;25.537718635383456
KF;1290;Kristianstad;Basinkomstpartiet; ;1525;
KF;1290;Kristianstad;Centerpartiet;C;4;5.9457765818235435
KF;1290;Kristianstad;Common sense in Sweden;CSIS;1318;0.0
KF;1290;Kristianstad;Direktdemokraterna;DD;1150;0.0
KF;1290;Kristianstad;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1290;Kristianstad;Enad Politik; ;1589;
KF;1290;Kristianstad;Enade Sverige; ;1448;
KF;1290;Kristianstad;Enhet;ENH;189;0.0
KF;1290;Kristianstad;EUSEC; ;1534;
KF;1290;Kristianstad;Feministiskt initiativ;FI;532;0.2230126988222718
KF;1290;Kristianstad;FOLKOMROSTA2021.SE; ;1489;
KF;1290;Kristianstad;FramtidsTro;FT;1449;
KF;1290;Kristianstad;Fredspartiet; ;1484;
KF;1290;Kristianstad;Fria Wermland; ;1548;
KF;1290;Kristianstad;Frihetsrörelsen; ;1573;
KF;1290;Kristianstad;Fritt val; ;1479;
KF;1290;Kristianstad;Förenade Demokratiska Partiet; ;1577;
KF;1290;Kristianstad;Företaget Sverige; ;1510;
KF;1290;Kristianstad;GRÖNA DEMOKRATER; ;1601;
KF;1290;Kristianstad;Gula västarna; ;1436;
KF;1290;Kristianstad;Humanistisk demokrati (HD);HD;1480;
KF;1290;Kristianstad;John Mikkonen; ;1598;
KF;1290;Kristianstad;Kalle ankapartiet; ;1579;
KF;1290;Kristianstad;Kapitalism med vänligt ansikte; ;1495;
KF;1290;Kristianstad;Klassiskt liberala partiet;KLP;638;0.0
KF;1290;Kristianstad;Knapptryckarna; ;1505;
KF;1290;Kristianstad;Kristdemokraterna;KD;68;4.6095434690454695
KF;1290;Kristianstad;Kristna Värdepartiet; ;1551;
KF;1290;Kristianstad;Kärlek; ;1465;
KF;1290;Kristianstad;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1290;Kristianstad;Liberalerna (tidigare Folkpartiet);L;3;13.740162559669718
KF;1290;Kristianstad;Majspartiet; ;1471;
KF;1290;Kristianstad;Medborgarresan; ;1330;
KF;1290;Kristianstad;Medborgerlig Samling;MED;1296;0.0
KF;1290;Kristianstad;Miljöpartiet de gröna;MP;55;2.7627771531783916
KF;1290;Kristianstad;Min röst; ;1437;
KF;1290;Kristianstad;MITT SVERIGE; ;1591;
KF;1290;Kristianstad;Moderaterna;M;1;19.438966400648763
KF;1290;Kristianstad;Monisterna; ;1502;
KF;1290;Kristianstad;Mälaröarnas parti; ;1440;
KF;1290;Kristianstad;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1290;Kristianstad;NaturFilosoferna; ;1460;
KF;1290;Kristianstad;Nix to the Six; ;1519;
KF;1290;Kristianstad;NY REFORM; ;1528;
KF;1290;Kristianstad;Nya Frihetspartiet; ;1443;
KF;1290;Kristianstad;Nya Samhällspartiet; ;1438;
KF;1290;Kristianstad;OK; ;1478;
KF;1290;Kristianstad;Ond Kyckling Partiet; ;1472;
KF;1290;Kristianstad;Partiet Folkomröstning; ;1578;
KF;1290;Kristianstad;Partiet Nyans; ;1439;
KF;1290;Kristianstad;Partiet Vändpunkt;PV;1430;
KF;1290;Kristianstad;Pax; ;1491;
KF;1290;Kristianstad;Piratpartiet;PP;524;0.0
KF;1290;Kristianstad;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1290;Kristianstad;Rastliberalerna; ;1508;
KF;1290;Kristianstad;Rikspolitiska partiet; ;1496;
KF;1290;Kristianstad;Sakpolitikerna;Sak;205;
KF;1290;Kristianstad;SKP; ;1586;
KF;1290;Kristianstad;SKÅNEPARTIET;SKÅ;54;0.0
KF;1290;Kristianstad;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1290;Kristianstad;Sociallibertarianerna; ;1507;
KF;1290;Kristianstad;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1290;Kristianstad;Stram Kurs Sverige; ;1592;
KF;1290;Kristianstad;Svenska Rikslagen; ;1513;
KF;1290;Kristianstad;SVENSKARNA; ;1444;
KF;1290;Kristianstad;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1290;Kristianstad;Sverigedemokraterna;SD;110;23.045874265071788
KF;1290;Kristianstad;Sverigepartiet; ;1457;
KF;1290;Kristianstad;Swexitpartiet; ;1461;
KF;1290;Kristianstad;Säkerhetspartiet; ;1466;
KF;1290;Kristianstad;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1290;Kristianstad;Valsamverkanspartiet; ;1526;
KF;1290;Kristianstad;Vinningspartiet; ;1468;
KF;1290;Kristianstad;Vänsterpartiet;V;5;4.194850434045376
KF;1290;Kristianstad;Yggdrasil; ;1454;
KF;1290;Kristianstad;Ändrings partiet revolution; ;1404;
