VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2309;Krokom;Alternativ för Sverige;AfS;1325;
KF;2309;Krokom;ANDOPARTIET; ;1602;
KF;2309;Krokom;Arbetarepartiet-Socialdemokraterna;S;2;30.96176376610928
KF;2309;Krokom;Basinkomstpartiet; ;1525;
KF;2309;Krokom;Centerpartiet;C;4;28.554691660453724
KF;2309;Krokom;Common sense in Sweden;CSIS;1318;0.0
KF;2309;Krokom;Direktdemokraterna;DD;1150;0.0
KF;2309;Krokom;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2309;Krokom;Enad Politik; ;1589;
KF;2309;Krokom;Enade Sverige; ;1448;
KF;2309;Krokom;Enhet;ENH;189;0.0
KF;2309;Krokom;EUSEC; ;1534;
KF;2309;Krokom;Feministiskt initiativ;FI;532;0.1171583768239429
KF;2309;Krokom;FOLKOMROSTA2021.SE; ;1489;
KF;2309;Krokom;FramtidsTro;FT;1449;
KF;2309;Krokom;Fredspartiet; ;1484;
KF;2309;Krokom;Fria Wermland; ;1548;
KF;2309;Krokom;Frihetsrörelsen; ;1573;
KF;2309;Krokom;Fritt val; ;1479;
KF;2309;Krokom;Förenade Demokratiska Partiet; ;1577;
KF;2309;Krokom;Företaget Sverige; ;1510;
KF;2309;Krokom;GRÖNA DEMOKRATER; ;1601;
KF;2309;Krokom;Gula västarna; ;1436;
KF;2309;Krokom;Humanistisk demokrati (HD);HD;1480;
KF;2309;Krokom;John Mikkonen; ;1598;
KF;2309;Krokom;Jämtlands Väl Krokom;JVK;1312;3.0993716050697624
KF;2309;Krokom;Kalle ankapartiet; ;1579;
KF;2309;Krokom;Kapitalism med vänligt ansikte; ;1495;
KF;2309;Krokom;Klassiskt liberala partiet;KLP;638;0.0
KF;2309;Krokom;Knapptryckarna; ;1505;
KF;2309;Krokom;Kristdemokraterna;KD;68;3.237831504952604
KF;2309;Krokom;Kristna Värdepartiet; ;1551;
KF;2309;Krokom;Kärlek; ;1465;
KF;2309;Krokom;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2309;Krokom;Liberalerna (tidigare Folkpartiet);L;3;1.1928852912983279
KF;2309;Krokom;Majspartiet; ;1471;
KF;2309;Krokom;Medborgarresan; ;1330;
KF;2309;Krokom;Medborgerlig Samling;MED;1296;0.0
KF;2309;Krokom;Miljöpartiet de gröna;MP;55;2.5561827670678454
KF;2309;Krokom;Min röst; ;1437;
KF;2309;Krokom;MITT SVERIGE; ;1591;
KF;2309;Krokom;Moderaterna;M;1;12.812866119927573
KF;2309;Krokom;Monisterna; ;1502;
KF;2309;Krokom;Mälaröarnas parti; ;1440;
KF;2309;Krokom;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2309;Krokom;NaturFilosoferna; ;1460;
KF;2309;Krokom;Nix to the Six; ;1519;
KF;2309;Krokom;NY REFORM; ;1528;
KF;2309;Krokom;Nya Frihetspartiet; ;1443;
KF;2309;Krokom;Nya Samhällspartiet; ;1438;
KF;2309;Krokom;OK; ;1478;
KF;2309;Krokom;Ond Kyckling Partiet; ;1472;
KF;2309;Krokom;Partiet Folkomröstning; ;1578;
KF;2309;Krokom;Partiet Nyans; ;1439;
KF;2309;Krokom;Partiet Vändpunkt;PV;1430;
KF;2309;Krokom;Pax; ;1491;
KF;2309;Krokom;Piratpartiet;PP;524;0.0
KF;2309;Krokom;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2309;Krokom;Rastliberalerna; ;1508;
KF;2309;Krokom;Rikspolitiska partiet; ;1496;
KF;2309;Krokom;SKP; ;1586;
KF;2309;Krokom;SKÅNEPARTIET;SKÅ;54;0.0
KF;2309;Krokom;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2309;Krokom;Sociallibertarianerna; ;1507;
KF;2309;Krokom;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2309;Krokom;Stram Kurs Sverige; ;1592;
KF;2309;Krokom;Svenska Rikslagen; ;1513;
KF;2309;Krokom;SVENSKARNA; ;1444;
KF;2309;Krokom;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2309;Krokom;Sverigedemokraterna;SD;110;9.23421024603259
KF;2309;Krokom;Sverigepartiet; ;1457;
KF;2309;Krokom;Swexitpartiet; ;1461;
KF;2309;Krokom;Säkerhetspartiet; ;1466;
KF;2309;Krokom;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2309;Krokom;Valsamverkanspartiet; ;1526;
KF;2309;Krokom;Vinningspartiet; ;1468;
KF;2309;Krokom;Vänsterpartiet;V;5;8.137181808499308
KF;2309;Krokom;Yggdrasil; ;1454;
KF;2309;Krokom;Ändrings partiet revolution; ;1404;
