VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1960;Kungsör;Alternativ för Sverige;AfS;1325;
KF;1960;Kungsör;ANDOPARTIET; ;1602;
KF;1960;Kungsör;Arbetarepartiet-Socialdemokraterna;S;2;35.75100991553434
KF;1960;Kungsör;Basinkomstpartiet; ;1525;
KF;1960;Kungsör;Centerpartiet;C;4;13.734851266984943
KF;1960;Kungsör;Common sense in Sweden;CSIS;1318;0.0
KF;1960;Kungsör;Direktdemokraterna;DD;1150;0.0
KF;1960;Kungsör;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1960;Kungsör;Enad Politik; ;1589;
KF;1960;Kungsör;Enade Sverige; ;1448;
KF;1960;Kungsör;Enhet;ENH;189;0.0
KF;1960;Kungsör;EUSEC; ;1534;
KF;1960;Kungsör;Feministiskt initiativ;FI;532;0.07344840249724569
KF;1960;Kungsör;FOLKOMROSTA2021.SE; ;1489;
KF;1960;Kungsör;FramtidsTro;FT;1449;
KF;1960;Kungsör;Fredspartiet; ;1484;
KF;1960;Kungsör;Fria Wermland; ;1548;
KF;1960;Kungsör;Frihetsrörelsen; ;1573;
KF;1960;Kungsör;Fritt val; ;1479;
KF;1960;Kungsör;Förenade Demokratiska Partiet; ;1577;
KF;1960;Kungsör;Företaget Sverige; ;1510;
KF;1960;Kungsör;GRÖNA DEMOKRATER; ;1601;
KF;1960;Kungsör;Gula västarna; ;1436;
KF;1960;Kungsör;Humanistisk demokrati (HD);HD;1480;
KF;1960;Kungsör;John Mikkonen; ;1598;
KF;1960;Kungsör;Kalle ankapartiet; ;1579;
KF;1960;Kungsör;Kapitalism med vänligt ansikte; ;1495;
KF;1960;Kungsör;Klassiskt liberala partiet;KLP;638;0.0
KF;1960;Kungsör;Knapptryckarna; ;1505;
KF;1960;Kungsör;Kristdemokraterna;KD;68;3.5622475211164155
KF;1960;Kungsör;Kristna Värdepartiet; ;1551;
KF;1960;Kungsör;Kärlek; ;1465;
KF;1960;Kungsör;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1960;Kungsör;Liberalerna (tidigare Folkpartiet);L;3;4.7374219610723465
KF;1960;Kungsör;Majspartiet; ;1471;
KF;1960;Kungsör;Medborgarresan; ;1330;
KF;1960;Kungsör;Medborgerlig Samling;MED;1296;0.7712082262210797
KF;1960;Kungsör;Miljöpartiet de gröna;MP;55;1.5791406536907822
KF;1960;Kungsör;Min röst; ;1437;
KF;1960;Kungsör;MITT SVERIGE; ;1591;
KF;1960;Kungsör;Moderaterna;M;1;17.09511568123393
KF;1960;Kungsör;Monisterna; ;1502;
KF;1960;Kungsör;Mälaröarnas parti; ;1440;
KF;1960;Kungsör;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1960;Kungsör;NaturFilosoferna; ;1460;
KF;1960;Kungsör;Nix to the Six; ;1519;
KF;1960;Kungsör;NY REFORM; ;1528;
KF;1960;Kungsör;Nya Frihetspartiet; ;1443;
KF;1960;Kungsör;Nya Samhällspartiet; ;1438;
KF;1960;Kungsör;OK; ;1478;
KF;1960;Kungsör;Ond Kyckling Partiet; ;1472;
KF;1960;Kungsör;Partiet Folkomröstning; ;1578;
KF;1960;Kungsör;Partiet Nyans; ;1439;
KF;1960;Kungsör;Partiet Vändpunkt;PV;1430;
KF;1960;Kungsör;Pax; ;1491;
KF;1960;Kungsör;Piratpartiet;PP;524;0.0
KF;1960;Kungsör;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1960;Kungsör;Rastliberalerna; ;1508;
KF;1960;Kungsör;Rikspolitiska partiet; ;1496;
KF;1960;Kungsör;SKP; ;1586;
KF;1960;Kungsör;SKÅNEPARTIET;SKÅ;54;0.0
KF;1960;Kungsör;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1960;Kungsör;Sociallibertarianerna; ;1507;
KF;1960;Kungsör;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1960;Kungsör;Stram Kurs Sverige; ;1592;
KF;1960;Kungsör;Svenska Rikslagen; ;1513;
KF;1960;Kungsör;SVENSKARNA; ;1444;
KF;1960;Kungsör;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1960;Kungsör;Sverigedemokraterna;SD;110;17.792875504957767
KF;1960;Kungsör;Sverigepartiet; ;1457;
KF;1960;Kungsör;Swexitpartiet; ;1461;
KF;1960;Kungsör;Säkerhetspartiet; ;1466;
KF;1960;Kungsör;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1960;Kungsör;Valsamverkanspartiet; ;1526;
KF;1960;Kungsör;Vinningspartiet; ;1468;
KF;1960;Kungsör;Vänsterpartiet;V;5;4.865956665442527
KF;1960;Kungsör;Yggdrasil; ;1454;
KF;1960;Kungsör;Ändrings partiet revolution; ;1404;
