VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1482;Kungälv;Alternativ för Sverige;AfS;1325;
KF;1482;Kungälv;ANDOPARTIET; ;1602;
KF;1482;Kungälv;Arbetarepartiet-Socialdemokraterna;S;2;25.286442810782173
KF;1482;Kungälv;Basinkomstpartiet; ;1525;
KF;1482;Kungälv;BOHUSLÄNPARTIET; ;1506;
KF;1482;Kungälv;Centerpartiet;C;4;7.556791840519239
KF;1482;Kungälv;Common sense in Sweden;CSIS;1318;0.0
KF;1482;Kungälv;Direktdemokraterna;DD;1150;0.0
KF;1482;Kungälv;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1482;Kungälv;Enad Politik; ;1589;
KF;1482;Kungälv;Enade Sverige; ;1448;
KF;1482;Kungälv;Enhet;ENH;189;0.0
KF;1482;Kungälv;EUSEC; ;1534;
KF;1482;Kungälv;Feministiskt initiativ;FI;532;0.2914100271541162
KF;1482;Kungälv;FOLKOMROSTA2021.SE; ;1489;
KF;1482;Kungälv;FramtidsTro;FT;1449;
KF;1482;Kungälv;Fredspartiet; ;1484;
KF;1482;Kungälv;Fria Wermland; ;1548;
KF;1482;Kungälv;Frihetsrörelsen; ;1573;
KF;1482;Kungälv;Fritt val; ;1479;
KF;1482;Kungälv;Förenade Demokratiska Partiet; ;1577;
KF;1482;Kungälv;Företaget Sverige; ;1510;
KF;1482;Kungälv;GRÖNA DEMOKRATER; ;1601;
KF;1482;Kungälv;Gula västarna; ;1436;
KF;1482;Kungälv;Humanistisk demokrati (HD);HD;1480;
KF;1482;Kungälv;John Mikkonen; ;1598;
KF;1482;Kungälv;Kalle ankapartiet; ;1579;
KF;1482;Kungälv;Kapitalism med vänligt ansikte; ;1495;
KF;1482;Kungälv;Klassiskt liberala partiet;KLP;638;0.0
KF;1482;Kungälv;Knapptryckarna; ;1505;
KF;1482;Kungälv;Kristdemokraterna;KD;68;6.060003973773098
KF;1482;Kungälv;Kristna Värdepartiet; ;1551;
KF;1482;Kungälv;Kärlek; ;1465;
KF;1482;Kungälv;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1482;Kungälv;Liberalerna (tidigare Folkpartiet);L;3;7.586595138750911
KF;1482;Kungälv;Majspartiet; ;1471;
KF;1482;Kungälv;Medborgarresan; ;1330;
KF;1482;Kungälv;Medborgerlig Samling;MED;1296;0.22518047552818068
KF;1482;Kungälv;Miljöpartiet de gröna;MP;55;3.5201006689184715
KF;1482;Kungälv;Min röst; ;1437;
KF;1482;Kungälv;MITT SVERIGE; ;1591;
KF;1482;Kungälv;Moderaterna;M;1;19.994701635869923
KF;1482;Kungälv;Monisterna; ;1502;
KF;1482;Kungälv;Mälaröarnas parti; ;1440;
KF;1482;Kungälv;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1482;Kungälv;NaturFilosoferna; ;1460;
KF;1482;Kungälv;Nix to the Six; ;1519;
KF;1482;Kungälv;NY REFORM; ;1528;
KF;1482;Kungälv;Nya Frihetspartiet; ;1443;
KF;1482;Kungälv;Nya Samhällspartiet; ;1438;
KF;1482;Kungälv;OK; ;1478;
KF;1482;Kungälv;Ond Kyckling Partiet; ;1472;
KF;1482;Kungälv;Partiet Folkomröstning; ;1578;
KF;1482;Kungälv;Partiet Nyans; ;1439;
KF;1482;Kungälv;Partiet Vändpunkt;PV;1430;
KF;1482;Kungälv;Pax; ;1491;
KF;1482;Kungälv;Piratpartiet;PP;524;0.0
KF;1482;Kungälv;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1482;Kungälv;Rastliberalerna; ;1508;
KF;1482;Kungälv;Rikspolitiska partiet; ;1496;
KF;1482;Kungälv;SKP; ;1586;
KF;1482;Kungälv;SKÅNEPARTIET;SKÅ;54;0.0
KF;1482;Kungälv;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1482;Kungälv;Sociallibertarianerna; ;1507;
KF;1482;Kungälv;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1482;Kungälv;Stram Kurs Sverige; ;1592;
KF;1482;Kungälv;Svenska Rikslagen; ;1513;
KF;1482;Kungälv;SVENSKARNA; ;1444;
KF;1482;Kungälv;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1482;Kungälv;Sverigedemokraterna;SD;110;13.464467845552686
KF;1482;Kungälv;Sverigepartiet; ;1457;
KF;1482;Kungälv;Swexitpartiet; ;1461;
KF;1482;Kungälv;Säkerhetspartiet; ;1466;
KF;1482;Kungälv;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1482;Kungälv;Utvecklingspartiet;UtvP;978;10.083449235048679
KF;1482;Kungälv;Valsamverkanspartiet; ;1526;
KF;1482;Kungälv;Vinningspartiet; ;1468;
KF;1482;Kungälv;Vänsterpartiet;V;5;5.536790515928207
KF;1482;Kungälv;Yggdrasil; ;1454;
KF;1482;Kungälv;Ändrings partiet revolution; ;1404;
